index,portLOCAL,port4,port1,port2,port3
0,0.0,480.0,480.0,480.0,480.0
1,0.0,640.0,480.0,480.0,640.0
2,0.0,640.0,640.0,826.6666666666666,826.6666666666666
3,0.0,666.6666666666666,480.0,480.0,480.0
4,0.0,973.3333333333334,1000.0,813.3333333333334,973.3333333333334
5,0.0,480.0,640.0,640.0,640.0
6,0.0,480.0,480.0,480.0,480.0
7,0.0,640.0,480.0,480.0,640.0
8,0.0,480.0,640.0,640.0,480.0
9,0.0,480.0,480.0,480.0,480.0
10,0.0,752.0,480.0,480.0,752.0
11,0.0,640.0,640.0,826.6666666666666,666.6666666666666
12,0.0,480.0,480.0,480.0,480.0
13,0.0,826.6666666666666,480.0,480.0,640.0
14,0.0,813.3333333333334,973.3333333333334,973.3333333333334,813.3333333333334
15,0.0,640.0,666.6666666666666,480.0,480.0
16,0.0,640.0,480.0,480.0,640.0
17,0.0,480.0,640.0,640.0,480.0
18,0.0,480.0,480.0,480.0,480.0
19,0.0,640.0,480.0,480.0,640.0
20,0.0,480.0,640.0,752.0,592.0
21,0.0,480.0,480.0,480.0,480.0
22,0.0,640.0,480.0,480.0,640.0
23,0.0,480.0,640.0,640.0,480.0
24,0.0,480.0,480.0,480.0,480.0
25,0.0,640.0,480.0,480.0,640.0
26,0.0,480.0,640.0,640.0,480.0
27,0.0,480.0,480.0,480.0,480.0
28,0.0,640.0,480.0,480.0,640.0
29,0.0,480.0,640.0,752.0,592.0
30,0.0,480.0,480.0,666.6666666666666,480.0
31,0.0,640.0,480.0,480.0,826.6666666666666
32,0.0,480.0,640.0,640.0,480.0
33,0.0,480.0,480.0,480.0,480.0
34,0.0,826.6666666666666,480.0,480.0,640.0
35,0.0,813.3333333333334,973.3333333333334,973.3333333333334,813.3333333333334
36,0.0,480.0,480.0,480.0,480.0
37,0.0,640.0,480.0,480.0,640.0
38,0.0,480.0,826.6666666666666,640.0,480.0
39,0.0,480.0,480.0,480.0,480.0
40,0.0,640.0,480.0,480.0,640.0
41,0.0,2048.0,640.0,2730.6666666666665,2048.0
42,0.0,480.0,480.0,480.0,480.0
43,0.0,1312.0,480.0,1376.0,1312.0
44,0.0,480.0,640.0,640.0,480.0
45,0.0,8544.0,480.0,480.0,480.0
46,0.0,4510549.333333333,480.0,97829.33333333331,640.0
47,0.0,6651360.0,640.0,154309.33333333334,358826.6666666667
48,0.0,6998112.0,480.0,155008.0,358261.3333333333
49,0.0,7099072.0,480.0,162400.0,715722.6666666666
50,0.0,1722848.0,640.0,33024.0,358277.3333333333
51,0.0,653824.0,480.0,16320.0,716058.6666666666
52,0.0,645712.0,640.0,8560.0,358213.3333333333
53,0.0,1354128.0,480.0,12912.0,729296.0
54,0.0,1248266.6666666667,480.0,9792.0,3374597.333333333
55,0.0,1154485.3333333333,640.0,157056.0,11469642.666666666
56,0.0,1147306.6666666667,480.0,441504.0,11047429.333333334
57,0.0,1147578.6666666667,480.0,452901.3333333333,11727125.333333334
58,0.0,1143274.6666666667,640.0,458800.0,11738384.0
59,0.0,1149050.6666666667,480.0,6798005.333333333,12142234.666666666
60,0.0,1150480.0,640.0,8797434.666666666,12212565.333333334
61,0.0,715898.6666666666,480.0,8922816.0,11541946.666666666
62,0.0,1074229.3333333333,480.0,8619029.333333334,11870650.666666666
63,0.0,722016.0,640.0,15172517.333333334,12493386.666666666
64,0.0,716106.6666666666,8961632.0,7940565.333333333,13291098.666666666
65,0.0,1073696.0,8567008.0,7036698.666666667,12689818.666666666
66,0.0,4672.0,9481152.0,6911328.0,12782613.333333334
67,0.0,516576.0,9433792.0,4681744.0,12532874.666666666
68,0.0,895584.0,9455488.0,640.0,12475402.666666666
69,0.0,1585584.0,9464730.666666666,8576.0,11589445.333333334
70,0.0,1578906.6666666667,9270608.0,640.0,11598234.666666666
71,0.0,1607242.6666666667,5378026.666666667,4512.0,9787120.0
72,0.0,1952640.0,724720.0,8576.0,1157434.6666666667
73,0.0,1955829.3333333333,715882.6666666666,752.0,808357.3333333334
74,0.0,2670490.6666666665,716074.6666666666,656.0,805792.0
75,0.0,6667477.333333333,1001136.0,4672.0,1204026.6666666667
76,0.0,10197954.666666666,797576.0,813.3333333333334,836061.3333333334
77,0.0,9130538.666666666,1029.3333333333333,331104.0,801269.3333333334
78,0.0,8779445.333333334,1074384.0,976384.0,822720.0
79,0.0,8774501.333333334,722058.6666666666,1008480.0,1190997.3333333333
80,0.0,9495877.333333334,716234.6666666666,984288.0,5710421.333333333
81,0.0,9130202.666666666,716426.6666666666,976384.0,11428976.0
82,0.0,9486400.0,716426.6666666666,984400.0,11430496.0
83,0.0,9136714.666666666,4672.0,976384.0,10956144.0
84,0.0,8776805.333333334,480.0,984288.0,10711200.0
85,0.0,8776613.333333334,480.0,1012512.0,11009552.0
86,0.0,8776453.333333334,640.0,980416.0,10719088.0
87,0.0,8782618.666666666,666.6666666666666,1338602.6666666667,10686112.0
88,0.0,8779621.333333334,640.0,1020736.0,11106784.0
89,0.0,9138234.666666666,480.0,1366213.3333333333,11594496.0
90,0.0,8789109.333333334,480.0,1362245.3333333333,11643216.0
91,0.0,716602.6666666666,640.0,1342245.3333333333,11311136.0
92,0.0,363893.3333333333,480.0,1378485.3333333333,11700928.0
93,0.0,366885.3333333333,640.0,1636581.3333333333,3621408.0
94,0.0,5936.0,480.0,1366389.3333333333,674288.0
95,0.0,5680.0,480.0,1757381.3333333333,649904.0
96,0.0,5936.0,640.0,2209125.333333333,653664.0
97,0.0,6288.0,480.0,2209317.333333333,657856.0
98,0.0,640.0,480.0,1843104.0,746400.0
99,0.0,4512.0,640.0,1847296.0,363360.0
100,0.0,17205.333333333332,480.0,2213546.6666666665,3282554.6666666665
101,0.0,27584.0,640.0,1851168.0,10638208.0
102,0.0,25824.0,480.0,1912032.0,10635984.0
103,0.0,28272.0,480.0,2221061.333333333,10643312.0
104,0.0,454800.0,640.0,1960192.0,10285002.666666666
105,0.0,572880.0,480.0,1952080.0,10635040.0
106,0.0,573141.3333333334,480.0,2104389.333333333,10651680.0
107,0.0,571904.0,640.0,980416.0,10287290.666666666
108,0.0,579120.0,480.0,1012736.0,10762816.0
