00:00:00:00:00:08,00:00:00:00:00:02,00:00:00:00:00:07,00:00:00:00:00:03,00:00:00:00:00:04,00:00:00:00:00:01,00:00:00:00:00:05,00:00:00:00:00:06
423360.0,,,,,,,
846720.0,157248.0,,,,,,
842688.0,947520.0,,,,,,
983808.0,1104768.0,,,,,,
846720.0,951552.0,677376.0,,,,,
842688.0,951552.0,2056320.0,,,,,
846720.0,951552.0,2064384.0,633024.0,,,,
983808.0,1108800.0,2403072.0,1108800.0,,,,
842688.0,951552.0,2056320.0,947520.0,,,,
846720.0,4032.0,1714058.6666666667,955584.0,,,,
1028160.0,0.0,0.0,947520.0,516096.0,,,
983808.0,0.0,0.0,1104768.0,1201536.0,,,
1028160.0,0.0,0.0,947520.0,1028160.0,,,
1032192.0,0.0,173376.0,951552.0,1032192.0,,,
1040256.0,0.0,532224.0,636336.0,1040256.0,4032.0,641088.0,
983808.0,0.0,612864.0,0.0,1201536.0,0.0,1104768.0,
1512000.0,0.0,487872.0,0.0,947520.0,4032.0,874944.0,
1770048.0,0.0,524160.0,0.0,1032192.0,0.0,947520.0,
0.0,0.0,0.0,0.0,233136.0,0.0,1020096.0,
1226186.6666666667,0.0,4032.0,0.0,0.0,0.0,935424.0,
874944.0,0.0,624960.0,56448.0,0.0,0.0,1124928.0,
737856.0,0.0,0.0,8209152.0,0.0,0.0,947520.0,
0.0,0.0,528192.0,8233344.0,0.0,0.0,951552.0,
4032.0,0.0,528192.0,5419813.333333333,0.0,0.0,951552.0,
0.0,0.0,608832.0,0.0,0.0,0.0,790272.0,
0.0,0.0,0.0,0.0,423360.0,0.0,951552.0,
0.0,0.0,0.0,0.0,842688.0,0.0,951552.0,
737856.0,0.0,528192.0,0.0,842688.0,0.0,947520.0,
745920.0,0.0,0.0,4032.0,854784.0,0.0,959616.0,
858816.0,0.0,0.0,0.0,983808.0,0.0,1108800.0,
741888.0,0.0,0.0,2678773.333333333,846720.0,0.0,4032.0,
4032.0,0.0,0.0,0.0,846720.0,0.0,0.0,
951552.0,0.0,0.0,0.0,842688.0,0.0,0.0,
562693.3333333334,0.0,0.0,0.0,983808.0,0.0,0.0,
1044288.0,0.0,0.0,0.0,842688.0,0.0,947520.0,
4032.0,0.0,0.0,0.0,895104.0,0.0,367370.6666666667,
0.0,0.0,0.0,0.0,790272.0,0.0,0.0,516096.0
1475712.0,0.0,0.0,0.0,842688.0,0.0,0.0,1032192.0
0.0,701568.0,0.0,0.0,4032.0,0.0,0.0,1213632.0
0.0,1028160.0,0.0,0.0,0.0,0.0,0.0,1028160.0
1475712.0,1028160.0,0.0,0.0,0.0,0.0,0.0,1028160.0
0.0,1028160.0,0.0,0.0,0.0,0.0,0.0,667525.3333333334
0.0,1104768.0,0.0,0.0,157248.0,0.0,0.0,0.0
4032.0,1032192.0,0.0,6189120.0,0.0,0.0,0.0,0.0
0.0,951552.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,947520.0,0.0,0.0,0.0,0.0,0.0,439488.0
0.0,1201536.0,0.0,7217280.0,1108800.0,314496.0,0.0,616896.0
0.0,1028160.0,0.0,0.0,947520.0,0.0,0.0,524160.0
0.0,951552.0,0.0,0.0,0.0,0.0,0.0,528192.0
0.0,1108800.0,0.0,0.0,100800.0,0.0,0.0,616896.0
0.0,1028160.0,0.0,0.0,947520.0,0.0,0.0,528192.0
0.0,146677.33333333334,0.0,0.0,624960.0,2620800.0,0.0,520128.0
0.0,947520.0,0.0,0.0,633024.0,0.0,0.0,528192.0
0.0,1120896.0,0.0,0.0,0.0,3556224.0,0.0,620928.0
