index,portLOCAL,port4,port1,port2,port5,port3
0,0.0,640.0,640.0,640.0,640.0,640.0
1,0.0,480.0,480.0,480.0,480.0,480.0
2,0.0,592.0,480.0,480.0,480.0,666.6666666666666
3,0.0,640.0,826.6666666666666,640.0,826.6666666666666,640.0
4,0.0,1000.0,813.3333333333334,1000.0,813.3333333333334,813.3333333333334
5,0.0,480.0,480.0,480.0,592.0,480.0
6,0.0,640.0,640.0,640.0,640.0,640.0
7,0.0,480.0,480.0,480.0,480.0,480.0
8,0.0,480.0,480.0,480.0,480.0,480.0
9,0.0,640.0,640.0,640.0,640.0,640.0
10,0.0,480.0,480.0,480.0,480.0,480.0
11,0.0,480.0,480.0,480.0,480.0,666.6666666666666
12,0.0,640.0,640.0,640.0,640.0,640.0
13,0.0,480.0,480.0,480.0,480.0,480.0
14,0.0,813.3333333333334,813.3333333333334,813.3333333333334,813.3333333333334,813.3333333333334
15,0.0,640.0,826.6666666666666,640.0,826.6666666666666,640.0
16,0.0,666.6666666666666,480.0,666.6666666666666,480.0,480.0
17,0.0,480.0,480.0,480.0,480.0,640.0
18,0.0,640.0,640.0,640.0,640.0,480.0
19,0.0,480.0,480.0,480.0,480.0,480.0
20,0.0,592.0,592.0,480.0,480.0,640.0
21,0.0,800.0,640.0,640.0,640.0,480.0
22,0.0,480.0,480.0,480.0,480.0,480.0
23,0.0,480.0,480.0,480.0,480.0,640.0
24,0.0,800.0,640.0,640.0,640.0,480.0
25,0.0,480.0,480.0,480.0,480.0,480.0
26,0.0,480.0,480.0,480.0,480.0,640.0
27,0.0,640.0,640.0,640.0,640.0,480.0
28,0.0,480.0,480.0,480.0,480.0,480.0
29,0.0,480.0,592.0,480.0,592.0,640.0
30,0.0,640.0,640.0,640.0,640.0,666.6666666666666
31,0.0,480.0,480.0,480.0,640.0,480.0
32,0.0,480.0,480.0,480.0,480.0,640.0
33,0.0,640.0,640.0,640.0,640.0,480.0
34,0.0,480.0,480.0,480.0,640.0,480.0
35,0.0,813.3333333333334,813.3333333333334,813.3333333333334,813.3333333333334,973.3333333333334
36,0.0,640.0,826.6666666666666,640.0,640.0,480.0
37,0.0,480.0,480.0,480.0,666.6666666666666,480.0
