port1,port4,port2,port3
6984.0,7464.0,6984.0,7224.0
605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334
320.0,320.0,320.0,506.6666666666667
792.0,792.0,504506.6666666667,605.3333333333334
320.0,270464.0,867485.3333333334,320.0
320.0,976064.0,867200.0,320.0
160.0,975904.0,867200.0,160.0
320.0,976064.0,1645376.0,506.6666666666667
320.0,980096.0,2988032.0,320.0
792.0,980568.0,3008504.0,605.3333333333334
320.0,1080896.0,3302528.0,320.0
320.0,980096.0,2996096.0,320.0
320.0,980096.0,2343370.6666666665,1004288.0
320.0,980096.0,871232.0,1064768.0
320.0,976064.0,871232.0,1060736.0
320.0,980096.0,871232.0,1060736.0
160.0,988000.0,1105088.0,1072858.6666666667
320.0,988160.0,1427648.0,1834880.0
320.0,988160.0,1427648.0,2064704.0
605.3333333333334,984413.3333333334,602738.6666666666,2698013.333333333
506.6666666666667,984314.6666666666,544826.6666666666,2810624.0
320.0,980096.0,1048640.0,2810624.0
320.0,992192.0,1097024.0,2133706.6666666665
320.0,1121216.0,1088960.0,1750208.0
320.0,9519872.0,1097024.0,1746176.0
320.0,9527936.0,1092992.0,1754240.0
160.0,5690277.333333333,1097024.0,1742144.0
320.0,1790368.0,1105088.0,1770208.0
320.0,1967936.0,1088960.0,1750208.0
320.0,1971968.0,1528448.0,1668848.0
320.0,1967936.0,1854880.0,984128.0
320.0,1984064.0,1389573.3333333333,992192.0
320.0,1967936.0,1314752.0,988160.0
320.0,1976000.0,1310720.0,984128.0
320.0,1967936.0,1419584.0,984128.0
320.0,1967936.0,2298560.0,988346.6666666666
320.0,1996160.0,2006469.3333333333,992192.0
160.0,1967936.0,1657472.0,988160.0
320.0,1298922.6666666667,2076800.0,983968.0
605.3333333333334,988445.3333333334,2084864.0,984413.3333333334
506.6666666666667,984128.0,2081117.3333333333,988160.0
320.0,988346.6666666666,1884629.3333333333,992192.0
320.0,988160.0,1536698.6666666667,988160.0
320.0,988160.0,1536512.0,988160.0
320.0,992192.0,1544576.0,1145408.0
320.0,988160.0,1540544.0,1043514.6666666666
320.0,432176.0,1544576.0,988160.0
320.0,320.0,1540544.0,988160.0
160.0,160.0,1536512.0,992192.0
320.0,320.0,1564736.0,1004128.0
320.0,320.0,1544576.0,992192.0
320.0,320.0,1556672.0,1000256.0
320.0,125312.0,1544416.0,992192.0
320.0,657536.0,1536512.0,992192.0
320.0,661568.0,1540544.0,988160.0
320.0,657536.0,1540544.0,988160.0
320.0,661568.0,1540544.0,992192.0
320.0,665600.0,1387786.6666666667,992192.0
320.0,661568.0,992192.0,988160.0
160.0,661408.0,992192.0,992032.0
320.0,661568.0,992192.0,992192.0
320.0,1609088.0,992192.0,996224.0
320.0,1738112.0,992032.0,992192.0
320.0,1746176.0,1355072.0,996224.0
320.0,1798592.0,1548608.0,996224.0
320.0,2830784.0,1601024.0,1024448.0
320.0,2838848.0,1605056.0,1032512.0
830912.0,2830784.0,1601024.0,1032512.0
887360.0,2754176.0,1560704.0,1000256.0
895424.0,2770304.0,1560704.0,1008320.0
