index,portLOCAL,port1,port2,port3
0,0.0,480.0,480.0,480.0
1,0.0,640.0,480.0,480.0
2,0.0,480.0,640.0,826.6666666666666
3,0.0,480.0,480.0,480.0
4,0.0,1160.0,1000.0,813.3333333333334
5,0.0,480.0,640.0,640.0
6,0.0,480.0,480.0,480.0
7,0.0,640.0,480.0,480.0
8,0.0,480.0,640.0,640.0
9,0.0,480.0,480.0,480.0
10,0.0,640.0,480.0,480.0
11,0.0,480.0,640.0,640.0
12,0.0,480.0,480.0,480.0
13,0.0,640.0,480.0,666.6666666666666
14,0.0,813.3333333333334,973.3333333333334,973.3333333333334
15,0.0,480.0,666.6666666666666,480.0
16,0.0,826.6666666666666,480.0,480.0
17,0.0,480.0,640.0,640.0
18,0.0,640.0,480.0,480.0
19,0.0,480.0,640.0,480.0
20,0.0,592.0,592.0,640.0
21,0.0,640.0,480.0,480.0
22,0.0,480.0,640.0,480.0
23,0.0,480.0,480.0,640.0
24,0.0,640.0,480.0,480.0
25,0.0,480.0,640.0,480.0
26,0.0,480.0,480.0,640.0
27,0.0,640.0,480.0,480.0
28,0.0,480.0,640.0,480.0
29,0.0,592.0,592.0,640.0
30,0.0,640.0,480.0,480.0
31,0.0,480.0,640.0,480.0
32,0.0,480.0,480.0,826.6666666666666
33,0.0,640.0,480.0,480.0
34,0.0,480.0,640.0,480.0
35,0.0,813.3333333333334,813.3333333333334,973.3333333333334
36,0.0,640.0,480.0,480.0
37,0.0,480.0,826.6666666666666,480.0
38,0.0,666.6666666666666,480.0,640.0
39,0.0,640.0,480.0,480.0
40,0.0,480.0,640.0,480.0
41,0.0,2570.6666666666665,2570.6666666666665,640.0
42,0.0,640.0,480.0,480.0
43,0.0,1376.0,1536.0,480.0
44,0.0,480.0,480.0,640.0
45,0.0,12736.0,480.0,480.0
46,0.0,4506357.333333333,97989.33333333331,480.0
47,0.0,7009706.666666667,153445.33333333334,640.0
48,0.0,7017205.333333333,155712.0,480.0
49,0.0,7374666.666666667,162560.0,640.0
50,0.0,1649221.3333333333,32864.0,480.0
51,0.0,933786.6666666666,16320.0,480.0
52,0.0,571797.3333333334,8560.0,640.0
53,0.0,929882.6666666666,12912.0,480.0
54,0.0,3471141.333333333,9952.0,480.0
55,0.0,11456437.333333334,152864.0,640.0
56,0.0,11031077.333333334,445536.0,480.0
57,0.0,11718949.333333334,453061.3333333333,640.0
58,0.0,11726064.0,458640.0,480.0
59,0.0,12132538.666666666,6795824.0,480.0
60,0.0,12200240.0,8764848.0,640.0
61,0.0,11506784.0,8922656.0,480.0
62,0.0,12205093.333333334,8654117.333333334,480.0
63,0.0,12488048.0,15142117.333333334,640.0
64,0.0,11733744.0,7958869.333333333,480.0
65,0.0,11365461.333333334,7036352.0,640.0
66,0.0,10963648.0,6911328.0,480.0
67,0.0,11479696.0,4694000.0,640.0
68,0.0,11794080.0,480.0,480.0
69,0.0,11841397.333333334,8736.0,480.0
70,0.0,11483616.0,480.0,640.0
71,0.0,9782272.0,4512.0,480.0
72,0.0,1237077.3333333333,8736.0,826.6666666666666
73,0.0,891664.0,592.0,480.0
74,0.0,888032.0,656.0,480.0
75,0.0,327072.0,4672.0,640.0
76,0.0,973.3333333333334,813.3333333333334,813.3333333333334
77,0.0,480.0,331264.0,480.0
78,0.0,480.0,976410.6666666666,640.0
79,0.0,640.0,1004448.0,480.0
80,0.0,480.0,988480.0,640.0
81,0.0,480.0,976224.0,480.0
82,0.0,752.0,980528.0,480.0
83,0.0,480.0,980256.0,640.0
84,0.0,640.0,984288.0,480.0
85,0.0,480.0,1008640.0,640.0
86,0.0,480.0,984288.0,480.0
87,0.0,7008.0,1338602.6666666667,480.0
88,0.0,656.0,1016704.0,640.0
89,0.0,8848.0,1362181.3333333333,480.0
90,0.0,8752.0,1370469.3333333333,480.0
91,0.0,7696.0,1342085.3333333333,640.0
92,0.0,6208.0,1378485.3333333333,480.0
93,0.0,9264.0,1636581.3333333333,640.0
94,0.0,5856.0,1366389.3333333333,480.0
95,0.0,5408.0,1757541.3333333333,480.0
96,0.0,5936.0,2208965.333333333,640.0
97,0.0,6448.0,2209317.333333333,480.0
98,0.0,97248.0,1843264.0,480.0
99,0.0,109344.0,1843104.0,640.0
100,0.0,122181.33333333331,2217578.6666666665,480.0
101,0.0,109344.0,1851328.0,640.0
102,0.0,109728.0,1903808.0,480.0
103,0.0,117616.0,2229285.333333333,480.0
104,0.0,536736.0,1960032.0,640.0
105,0.0,653936.0,1952080.0,480.0
106,0.0,673989.3333333334,2104549.333333333,640.0
107,0.0,654016.0,980256.0,480.0
108,0.0,662112.0,1012736.0,480.0
109,0.0,589152.0,988480.0,640.0
110,0.0,915808.0,1298864.0,480.0
111,0.0,1976341.3333333333,142768.0,480.0
112,0.0,1988085.3333333333,145232.0,640.0
113,0.0,1996746.6666666667,856816.0,480.0
114,0.0,1332384.0,844970.6666666666,640.0
115,0.0,1948448.0,2219658.6666666665,480.0
116,0.0,1992101.3333333333,9308789.333333334,480.0
117,0.0,1991765.3333333333,9344090.666666666,640.0
118,0.0,1719178.6666666667,12230245.333333334,480.0
119,0.0,1492304.0,19978362.666666668,640.0
120,0.0,1137584.0,20044245.33333333,480.0
121,0.0,396592.0,19888757.33333333,480.0
122,0.0,1029248.0,19546442.666666668,640.0
123,0.0,1036032.0,19896106.666666668,480.0
124,0.0,1029424.0,19498885.33333333,640.0
125,0.0,1037328.0,19876661.33333333,480.0
126,0.0,1046112.0,18406042.666666668,640.0
127,0.0,1069712.0,11237088.0,480.0
128,0.0,1556816.0,10695680.0,640.0
129,0.0,1205029.3333333333,10701317.333333334,480.0
130,0.0,1880874.6666666667,10985408.0,640.0
131,0.0,1693306.6666666667,10702021.333333334,480.0
132,0.0,1965477.3333333333,10978016.0,480.0
133,0.0,2024816.0,11085120.0,640.0
134,0.0,1699813.3333333333,7877818.666666667,480.0
135,0.0,1641722.6666666667,801957.3333333334,640.0
136,0.0,1769066.6666666667,1069637.3333333333,480.0
137,0.0,1371845.3333333333,1032613.3333333334,640.0
138,0.0,1000128.0,1369082.6666666667,480.0
139,0.0,1008496.0,1027749.3333333334,480.0
140,0.0,786576.0,1535621.3333333333,640.0
141,0.0,548848.0,1660613.3333333333,480.0
142,0.0,558320.0,1672869.3333333333,640.0
143,0.0,1466416.0,2062586.6666666667,480.0
144,0.0,1577456.0,1713141.3333333333,480.0
145,0.0,2586944.0,1608181.3333333333,640.0
146,0.0,2570560.0,358565.3333333333,480.0
147,0.0,2512416.0,640.0,480.0
148,0.0,2496288.0,480.0,640.0
149,0.0,2504512.0,480.0,480.0
150,0.0,2548704.0,640.0,640.0
151,0.0,2056800.0,4512.0,480.0
152,0.0,1299056.0,4784.0,480.0
153,0.0,980256.0,480.0,640.0
154,0.0,984448.0,173856.0,480.0
155,0.0,992352.0,448192.0,666.6666666666666
156,0.0,1000725.3333333334,440224.0,640.0
157,0.0,992957.3333333334,444445.3333333333,813.3333333333334
158,0.0,1000416.0,444160.0,640.0
159,0.0,629632.0,453637.3333333333,480.0
160,0.0,323152.0,432176.0,480.0
161,0.0,327072.0,435936.0,640.0
162,0.0,339733.3333333333,798314.6666666666,480.0
163,0.0,351360.0,1505456.0,640.0
164,0.0,342912.0,1151530.6666666667,480.0
165,0.0,706874.6666666666,1913296.0,480.0
166,0.0,710149.3333333334,1567194.6666666667,640.0
167,0.0,709045.3333333334,1863056.0,480.0
168,0.0,706469.3333333334,1507226.6666666667,480.0
169,0.0,1619306.6666666667,1890832.0,640.0
170,0.0,973269.3333333334,1491642.6666666667,480.0
171,0.0,918261.3333333334,1841360.0,640.0
172,0.0,1275168.0,1494320.0,480.0
173,0.0,2244256.0,1634170.6666666667,480.0
