index,portLOCAL,port1,port2
0,0.0,640.0,480.0
1,0.0,480.0,640.0
2,0.0,480.0,666.6666666666666
3,0.0,640.0,480.0
4,0.0,1000.0,973.3333333333334
5,0.0,480.0,480.0
6,0.0,640.0,480.0
7,0.0,480.0,640.0
8,0.0,480.0,480.0
9,0.0,640.0,480.0
10,0.0,480.0,640.0
11,0.0,480.0,666.6666666666666
12,0.0,640.0,480.0
13,0.0,480.0,640.0
14,0.0,813.3333333333334,813.3333333333334
15,0.0,640.0,480.0
16,0.0,666.6666666666666,640.0
17,0.0,480.0,480.0
18,0.0,640.0,480.0
19,0.0,480.0,640.0
20,0.0,480.0,480.0
21,0.0,640.0,480.0
22,0.0,480.0,640.0
23,0.0,480.0,480.0
24,0.0,640.0,480.0
25,0.0,480.0,640.0
26,0.0,480.0,480.0
27,0.0,640.0,480.0
28,0.0,480.0,640.0
29,0.0,480.0,666.6666666666666
30,0.0,640.0,480.0
31,0.0,480.0,640.0
32,0.0,480.0,480.0
33,0.0,640.0,480.0
34,0.0,480.0,640.0
35,0.0,813.3333333333334,813.3333333333334
36,0.0,640.0,480.0
37,0.0,480.0,640.0
38,0.0,666.6666666666666,480.0
39,0.0,640.0,480.0
40,0.0,480.0,640.0
41,0.0,480.0,480.0
42,0.0,640.0,480.0
43,0.0,480.0,640.0
44,0.0,480.0,480.0
45,0.0,640.0,480.0
46,0.0,480.0,640.0
47,0.0,480.0,480.0
48,0.0,640.0,480.0
49,0.0,480.0,640.0
50,0.0,480.0,480.0
51,0.0,640.0,480.0
52,0.0,480.0,640.0
53,0.0,640.0,480.0
54,0.0,480.0,640.0
55,0.0,480.0,480.0
56,0.0,640.0,480.0
57,0.0,480.0,640.0
58,0.0,480.0,480.0
59,0.0,640.0,480.0
60,0.0,480.0,640.0
61,0.0,640.0,480.0
62,0.0,480.0,640.0
63,0.0,480.0,480.0
64,0.0,1534906.6666666667,8937146.666666666
65,0.0,1686954.6666666667,8592549.333333334
66,0.0,1819605.3333333333,9434298.666666666
67,0.0,1577994.6666666667,9480832.0
68,0.0,1564442.6666666667,9400197.333333334
69,0.0,963520.0,9470608.0
70,0.0,970352.0,9312122.666666666
71,0.0,889728.0,5385925.333333333
72,0.0,1141082.6666666667,724880.0
73,0.0,792720.0,715722.6666666666
74,0.0,787088.0,716234.6666666666
75,0.0,1143333.3333333333,965344.0
76,0.0,771645.3333333334,833208.0
77,0.0,759045.3333333334,1189.3333333333333
78,0.0,782240.0,1040448.0
79,0.0,1159125.3333333333,755834.6666666666
80,0.0,783104.0,716234.6666666666
81,0.0,775024.0,716426.6666666666
82,0.0,778730.6666666666,716586.6666666666
83,0.0,290784.0,4512.0
84,0.0,640.0,480.0
85,0.0,480.0,640.0
86,0.0,480.0,480.0
87,0.0,640.0,640.0
88,0.0,480.0,480.0
89,0.0,640.0,480.0
90,0.0,480.0,640.0
91,0.0,480.0,480.0
92,0.0,640.0,480.0
93,0.0,480.0,640.0
94,0.0,640.0,480.0
95,0.0,480.0,640.0
96,0.0,480.0,480.0
97,0.0,640.0,480.0
98,0.0,480.0,640.0
99,0.0,480.0,480.0
100,0.0,640.0,480.0
101,0.0,480.0,640.0
102,0.0,640.0,480.0
103,0.0,480.0,640.0
104,0.0,480.0,480.0
105,0.0,640.0,480.0
106,0.0,480.0,640.0
107,0.0,480.0,480.0
108,0.0,640.0,480.0
109,0.0,480.0,640.0
110,0.0,640.0,480.0
111,0.0,480.0,640.0
112,0.0,480.0,480.0
113,0.0,640.0,480.0
114,0.0,480.0,640.0
115,0.0,640.0,480.0
116,0.0,480.0,640.0
117,0.0,480.0,480.0
118,0.0,640.0,480.0
119,0.0,480.0,640.0
120,0.0,16656.0,716250.6666666666
121,0.0,16320.0,716234.6666666666
122,0.0,8560.0,397770.6666666667
123,0.0,16320.0,676741.3333333334
124,0.0,16320.0,716074.6666666666
125,0.0,19493.33333333333,949882.6666666666
126,0.0,38496.0,1556368.0
127,0.0,380634.6666666667,1794928.0
128,0.0,376581.3333333333,1439765.3333333333
129,0.0,380613.3333333333,1763962.6666666667
130,0.0,368661.3333333333,754410.6666666666
131,0.0,371109.3333333333,997984.0
132,0.0,368485.3333333333,802682.6666666666
133,0.0,370245.3333333333,1012901.3333333334
134,0.0,368469.3333333333,786357.3333333334
135,0.0,372357.3333333333,1078448.0
136,0.0,303626.6666666667,759264.0
137,0.0,78698.66666666667,1036122.6666666666
138,0.0,358789.3333333333,8576.0
139,0.0,358277.3333333333,8746.666666666666
140,0.0,358277.3333333333,8400.0
141,0.0,992.0,656.0
142,0.0,17397.333333333332,716784.0
143,0.0,16320.0,716074.6666666666
144,0.0,23344.0,1074032.0
145,0.0,17376.0,716074.6666666666
146,0.0,16480.0,716074.6666666666
147,0.0,16320.0,716234.6666666666
148,0.0,16320.0,716074.6666666666
149,0.0,8560.0,358453.3333333333
150,0.0,9125.333333333334,358986.6666666667
151,0.0,16832.0,716074.6666666666
152,0.0,8400.0,358437.3333333333
153,0.0,16320.0,869290.6666666666
154,0.0,8560.0,576005.3333333334
155,0.0,16320.0,937994.6666666666
156,0.0,9280.0,698517.3333333334
157,0.0,15933.333333333334,819688.0
158,0.0,368682.6666666667,943648.0
159,0.0,5568.0,580389.3333333334
160,0.0,480.0,218368.0
161,0.0,357925.3333333333,226128.0
162,0.0,640.0,218208.0
163,0.0,480.0,218368.0
164,0.0,480.0,218208.0
165,0.0,358437.3333333333,226480.0
166,0.0,480.0,226432.0
167,0.0,5024.0,12752.0
168,0.0,375456.0,640.0
169,0.0,32736.0,480.0
170,0.0,640.0,640.0
171,0.0,480.0,480.0
172,0.0,640.0,480.0
173,0.0,480.0,640.0
174,0.0,480.0,480.0
175,0.0,826.6666666666666,480.0
176,0.0,480.0,640.0
177,0.0,640.0,480.0
178,0.0,480.0,640.0
179,0.0,480.0,480.0
180,0.0,640.0,480.0
181,0.0,480.0,640.0
182,0.0,640.0,480.0
183,0.0,480.0,640.0
184,0.0,480.0,480.0
185,0.0,640.0,480.0
186,0.0,480.0,640.0
187,0.0,480.0,480.0
188,0.0,640.0,640.0
189,0.0,480.0,480.0
190,0.0,640.0,480.0
191,0.0,480.0,640.0
192,0.0,480.0,480.0
193,0.0,640.0,480.0
194,0.0,480.0,640.0
195,0.0,640.0,480.0
196,0.0,480.0,640.0
197,0.0,480.0,480.0
198,0.0,640.0,480.0
199,0.0,480.0,640.0
200,0.0,480.0,480.0
201,0.0,640.0,480.0
202,0.0,480.0,640.0
203,0.0,640.0,480.0
204,0.0,480.0,640.0
205,0.0,480.0,480.0
206,0.0,640.0,480.0
207,0.0,480.0,640.0
208,0.0,480.0,480.0
209,0.0,640.0,640.0
210,0.0,480.0,480.0
211,0.0,640.0,480.0
212,0.0,480.0,640.0
213,0.0,480.0,480.0
214,0.0,640.0,480.0
215,0.0,480.0,640.0
216,0.0,480.0,480.0
217,0.0,640.0,480.0
218,0.0,480.0,640.0
219,0.0,480.0,480.0
220,0.0,640.0,640.0
221,0.0,480.0,480.0
222,0.0,640.0,480.0
223,0.0,480.0,640.0
224,0.0,480.0,480.0
225,0.0,640.0,480.0
226,0.0,480.0,640.0
227,0.0,480.0,480.0
228,0.0,640.0,640.0
229,0.0,480.0,480.0
230,0.0,640.0,480.0
231,0.0,480.0,640.0
232,0.0,480.0,480.0
233,0.0,640.0,480.0
234,0.0,480.0,640.0
235,0.0,640.0,480.0
236,0.0,480.0,640.0
237,0.0,480.0,480.0
238,0.0,640.0,480.0
239,0.0,480.0,640.0
240,0.0,480.0,480.0
241,0.0,640.0,640.0
242,0.0,480.0,480.0
243,0.0,640.0,480.0
244,0.0,480.0,640.0
245,0.0,480.0,480.0
246,0.0,640.0,480.0
247,0.0,480.0,640.0
248,0.0,640.0,480.0
249,0.0,480.0,640.0
250,0.0,480.0,480.0
251,0.0,640.0,480.0
252,0.0,480.0,640.0
253,0.0,480.0,480.0
254,0.0,640.0,640.0
255,0.0,480.0,480.0
256,0.0,640.0,480.0
257,0.0,480.0,640.0
258,0.0,480.0,480.0
259,0.0,640.0,480.0
260,0.0,480.0,640.0
261,0.0,480.0,480.0
262,0.0,640.0,480.0
263,0.0,480.0,640.0
264,0.0,480.0,480.0
265,0.0,640.0,480.0
266,0.0,480.0,640.0
267,0.0,640.0,480.0
268,0.0,480.0,640.0
269,0.0,480.0,480.0
270,0.0,640.0,480.0
271,0.0,480.0,640.0
272,0.0,480.0,480.0
273,0.0,640.0,480.0
274,0.0,480.0,640.0
275,0.0,640.0,480.0
276,0.0,480.0,640.0
277,0.0,480.0,480.0
278,0.0,640.0,480.0
279,0.0,480.0,640.0
280,0.0,480.0,480.0
281,0.0,640.0,480.0
282,0.0,480.0,640.0
283,0.0,480.0,480.0
284,0.0,640.0,480.0
285,0.0,480.0,640.0
286,0.0,640.0,666.6666666666666
287,0.0,480.0,640.0
288,0.0,480.0,480.0
289,0.0,640.0,480.0
290,0.0,480.0,640.0
291,0.0,480.0,480.0
292,0.0,640.0,480.0
293,0.0,480.0,640.0
294,0.0,480.0,480.0
295,0.0,640.0,480.0
296,0.0,480.0,640.0
297,0.0,480.0,480.0
298,0.0,640.0,480.0
299,0.0,480.0,640.0
300,0.0,640.0,480.0
301,0.0,480.0,640.0
302,0.0,480.0,480.0
303,0.0,640.0,480.0
304,0.0,480.0,640.0
305,0.0,640.0,480.0
306,0.0,480.0,640.0
307,0.0,480.0,480.0
308,0.0,640.0,480.0
309,0.0,480.0,640.0
310,0.0,640.0,480.0
311,0.0,480.0,640.0
312,0.0,480.0,480.0
313,0.0,640.0,480.0
314,0.0,480.0,640.0
315,0.0,480.0,480.0
316,0.0,640.0,480.0
317,0.0,480.0,640.0
318,0.0,640.0,480.0
319,0.0,480.0,640.0
320,0.0,480.0,480.0
321,0.0,973.3333333333334,813.3333333333334
322,0.0,480.0,640.0
323,0.0,480.0,480.0
324,0.0,640.0,480.0
325,0.0,480.0,640.0
326,0.0,480.0,480.0
327,0.0,640.0,640.0
328,0.0,480.0,480.0
329,0.0,640.0,480.0
330,0.0,480.0,640.0
331,0.0,480.0,480.0
332,0.0,640.0,640.0
333,0.0,480.0,480.0
