port1,port4,port2,port3
6984.0,6877.333333333333,6984.0,7304.0
605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334
320.0,506.6666666666667,506.6666666666667,320.0
506.6666666666667,605.3333333333334,782528.0,792.0
605.3333333333334,320.0,980381.3333333334,1088960.0
160.0,320.0,1080896.0,7056320.0
320.0,320.0,996224.0,6475712.0
320.0,506.6666666666667,1234138.6666666667,6378944.0
320.0,445.3333333333333,1633280.0,6379416.0
792.0,431744.0,1673885.3333333333,6523936.0
320.0,560768.0,1673600.0,6540224.0
320.0,552704.0,1657472.0,6471680.0
320.0,552704.0,8282048.0,6475712.0
320.0,564800.0,12721280.0,6624896.0
320.0,972032.0,12297920.0,6391040.0
160.0,1645376.0,12449536.0,6524096.0
320.0,1641344.0,11842304.0,6512000.0
320.0,2137466.6666666665,11931008.0,2831536.0
320.0,2544797.333333333,11930848.0,605.3333333333334
605.3333333333334,2163557.333333333,11931293.333333334,160.0
506.6666666666667,1455872.0,11943104.0,506.6666666666667
320.0,1423616.0,11664896.0,80960.0
320.0,1455872.0,6301882.666666667,669632.0
320.0,1439744.0,996224.0,665600.0
320.0,5624960.0,1004288.0,669632.0
320.0,10936629.333333334,1004288.0,665600.0
160.0,1451840.0,1008320.0,669632.0
320.0,1423616.0,984128.0,657536.0
320.0,1447808.0,1000096.0,669632.0
320.0,1419584.0,984128.0,653504.0
320.0,1459744.0,1012352.0,673504.0
320.0,1463936.0,1012352.0,1097024.0
320.0,1455872.0,1008320.0,1342976.0
320.0,1455872.0,1004288.0,1342976.0
320.0,1439744.0,1000442.6666666666,1330880.0
320.0,1423616.0,988160.0,9112640.0
320.0,1427834.6666666667,988160.0,16313792.0
160.0,1463936.0,1008320.0,16680704.0
320.0,1790528.0,992192.0,4343216.0
605.3333333333334,1988381.3333333333,8560541.333333334,1323101.3333333333
320.0,1976000.0,11709088.0,1318784.0
506.6666666666667,1975840.0,11717312.0,1318624.0
320.0,1251045.3333333333,11721344.0,993904.0
320.0,1105088.0,11737472.0,657536.0
320.0,1097024.0,11125040.0,843008.0
320.0,1105088.0,10729472.0,1318784.0
320.0,1101056.0,10347184.0,1318784.0
320.0,1113152.0,320.0,1334912.0
160.0,720261.3333333334,320.0,1322816.0
320.0,548672.0,320.0,1318784.0
320.0,552704.0,320.0,1318784.0
320.0,548672.0,160.0,1318784.0
320.0,552544.0,4352.0,715349.3333333334
320.0,548672.0,320.0,661568.0
320.0,552704.0,320.0,665600.0
320.0,556736.0,320.0,665600.0
320.0,1762304.0,320.0,685760.0
320.0,8112704.0,320.0,665600.0
4352.0,7982586.666666667,320.0,665600.0
320.0,7584512.0,320.0,665600.0
320.0,7842560.0,320.0,689792.0
320.0,7765952.0,320.0,685760.0
320.0,7572416.0,320.0,665600.0
160.0,7572416.0,320.0,665600.0
320.0,7588544.0,320.0,665600.0
320.0,7612736.0,320.0,669632.0
320.0,7705472.0,160.0,669632.0
320.0,5891824.0,4352.0,665600.0
320.0,1084768.0,506.6666666666667,669472.0
320.0,1145408.0,6677312.0,702048.0
320.0,1088960.0,10858496.0,669472.0
320.0,978309.3333333334,16317824.0,673664.0
11132672.0,320.0,8580416.0,709952.0
10862528.0,320.0,7604672.0,669632.0
10874624.0,320.0,7616768.0,669632.0
10995584.0,320.0,7697408.0,673664.0
9544816.0,506.6666666666667,7600640.0,673664.0
320.0,320.0,17378240.0,689792.0
14087034.666666666,4352.0,6698432.0,722048.0
605.3333333333334,5459933.333333333,605.3333333333334,669917.3333333334
320.0,15906560.0,320.0,665600.0
320.0,9137637.333333334,4352.0,689792.0
320.0,7649024.0,320.0,669632.0
320.0,5742693.333333333,4352.0,1137344.0
160.0,320.0,320.0,1467968.0
320.0,320.0,4352.0,1160442.6666666667
320.0,320.0,320.0,774464.0
320.0,320.0,320.0,778496.0
506.6666666666667,320.0,160.0,782714.6666666666
320.0,334976.0,320.0,774464.0
320.0,1201696.0,4352.0,349157.3333333333
320.0,1222016.0,320.0,320.0
320.0,1222016.0,320.0,320.0
320.0,1230080.0,320.0,320.0
320.0,1217984.0,320.0,320.0
320.0,1226048.0,320.0,320.0
320.0,1222016.0,320.0,847040.0
320.0,1217984.0,320.0,891392.0
320.0,1222016.0,320.0,887360.0
160.0,1234112.0,320.0,895424.0
320.0,1222016.0,459968.0,891392.0
320.0,1226048.0,2177600.0,891392.0
320.0,1250240.0,2217920.0,907520.0
320.0,1242176.0,2201632.0,903488.0
320.0,1226048.0,1269680.0,895424.0
320.0,1225888.0,669632.0,895264.0
320.0,1230080.0,669632.0,5145152.0
320.0,1226048.0,669632.0,8507840.0
320.0,1242176.0,677696.0,8636864.0
320.0,1226048.0,669632.0,8523968.0
320.0,1754240.0,669632.0,8495744.0
320.0,1895360.0,665600.0,8499776.0
320.0,2153408.0,669632.0,8503808.0
320.0,3028352.0,3842816.0,8886848.0
320.0,2939648.0,13660736.0,8648960.0
160.0,3008192.0,19720512.0,8810240.0
669792.0,3145280.0,20691450.666666668,9233600.0
685600.0,2967872.0,18256490.666666668,8725568.0
718176.0,3125120.0,453749.3333333333,9144896.0
685600.0,3705728.0,320.0,8725568.0
685760.0,3770240.0,4352.0,4906810.666666667
685760.0,3762176.0,320.0,911552.0
693824.0,3428325.333333333,5979776.0,927680.0
685760.0,3088832.0,11156704.0,915584.0
669632.0,3020288.0,10918976.0,891392.0
681728.0,3116896.0,11039936.0,907360.0
681728.0,3653312.0,2057072.0,301626.6666666667
673664.0,3580736.0,320.0,320.0
685760.0,3263013.333333333,7278080.0,320.0
693824.0,3113024.0,7882880.0,320.0
673664.0,3040448.0,7693376.0,320.0
697856.0,4733888.0,4559418.666666667,320.0
689792.0,9709834.666666666,4352.0,320.0
673664.0,8843301.333333334,506.6666666666667,320.0
689632.0,7975616.0,4352.0,320.0
681728.0,7027002.666666667,4352.0,320.0
689792.0,1262336.0,320.0,320.0
685760.0,1258304.0,320.0,4233920.0
673664.0,1234112.0,160.0,10931072.0
689792.0,1262336.0,320.0,11193152.0
685760.0,874384.0,4352.0,11201056.0
685760.0,685760.0,320.0,11096384.0
685760.0,685760.0,4352.0,6207413.333333333
689792.0,4754048.0,320.0,320.0
685760.0,8483648.0,320.0,320.0
681728.0,8334464.0,320.0,572864.0
685760.0,5661248.0,320.0,12305984.0
734144.0,1775973.3333333333,320.0,14955008.0
709952.0,770432.0,320.0,17479040.0
705920.0,782528.0,320.0,17898368.0
689792.0,116154.66666666669,320.0,15531584.0
689792.0,320.0,320.0,15700928.0
685760.0,320.0,7915136.0,14192506.666666666
689792.0,320.0,8882816.0,320.0
685600.0,506.6666666666667,8806208.0,320.0
693824.0,320.0,8947328.0,320.0
685760.0,320.0,8858624.0,320.0
713984.0,320.0,9185216.0,320.0
694109.3333333334,605.3333333333334,8876597.333333334,605.3333333333334
685760.0,320.0,1032637.3333333334,4352.0
673664.0,320.0,1008320.0,320.0
673664.0,160.0,1008320.0,320.0
689792.0,320.0,1036544.0,160.0
673664.0,320.0,1012352.0,320.0
609584.0,209984.0,1028480.0,4352.0
320.0,572864.0,1032512.0,980096.0
320.0,572864.0,1032512.0,2238080.0
320.0,584960.0,1052672.0,2286464.0
320.0,5282240.0,1032512.0,2238080.0
506.6666666666667,7132928.0,1008320.0,2189696.0
320.0,7221632.0,1024448.0,1045066.6666666666
320.0,7302272.0,1036544.0,320.0
320.0,7386944.0,1088960.0,320.0
160.0,7644992.0,1685696.0,320.0
320.0,6695685.333333333,1580864.0,320.0
320.0,6814400.0,1629248.0,320.0
320.0,6733760.0,1609088.0,320.0
320.0,6697472.0,1600864.0,320.0
320.0,14834048.0,1609088.0,320.0
320.0,15769312.0,1621184.0,506.6666666666667
320.0,15596096.0,1592960.0,160.0
320.0,15446912.0,2439680.0,320.0
320.0,13036208.0,2641280.0,320.0
320.0,6737792.0,2645312.0,320.0
320.0,4088314.6666666665,2617088.0,4352.0
320.0,320.0,2588864.0,320.0
320.0,320.0,2621120.0,320.0
320.0,320.0,2721920.0,320.0
320.0,11721344.0,2584832.0,320.0
320.0,1997685.3333333333,2613056.0,320.0
160.0,320.0,2580800.0,320.0
320.0,320.0,2600960.0,320.0
320.0,4352.0,2194160.0,320.0
320.0,320.0,1584896.0,320.0
320.0,320.0,1621024.0,320.0
320.0,320.0,7044224.0,320.0
