port4,port1,port2,port3
7224.0,6984.0,6984.0,7277.333333333333
605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334
346.6666666666667,160.0,160.0,506.6666666666667
605.3333333333334,506.6666666666667,81146.66666666667,445.3333333333333
320.0,605.3333333333334,544925.3333333334,320.0
320.0,320.0,601088.0,320.0
320.0,320.0,552704.0,320.0
506.6666666666667,320.0,544640.0,254336.0
605.3333333333334,506.6666666666667,544826.6666666666,653976.0
320.0,605.3333333333334,992477.3333333334,669632.0
320.0,320.0,1117184.0,669632.0
320.0,320.0,1105088.0,661568.0
160.0,320.0,1105088.0,7257920.0
320.0,160.0,966053.3333333334,11705216.0
320.0,320.0,980096.0,11309920.0
320.0,320.0,1649408.0,11453445.333333334
320.0,320.0,1637312.0,10838336.0
506.6666666666667,320.0,1653440.0,10927040.0
320.0,320.0,8713472.0,10923480.0
4637.333333333333,792.0,8917789.333333334,10918976.0
320.0,320.0,8213504.0,10931072.0
320.0,320.0,5611770.666666667,10681088.0
320.0,320.0,564800.0,5338234.666666667
160.0,160.0,552704.0,320.0
320.0,320.0,556576.0,160.0
12416.0,320.0,556736.0,320.0
1088960.0,320.0,560768.0,320.0
1068800.0,320.0,544640.0,320.0
1084928.0,320.0,556736.0,320.0
1068800.0,320.0,548672.0,320.0
1097024.0,320.0,560768.0,320.0
1101056.0,320.0,984128.0,320.0
1092992.0,320.0,1234112.0,320.0
1092992.0,320.0,1226048.0,320.0
1080736.0,160.0,1221856.0,320.0
1073018.6666666667,320.0,9052160.0,160.0
1072832.0,320.0,16204928.0,320.0
1097024.0,544640.0,16027520.0,506.6666666666667
1076864.0,548672.0,3629552.0,320.0
1077149.3333333333,552989.3333333334,665885.3333333334,7536413.333333333
1072832.0,548672.0,657536.0,10717376.0
1072832.0,548858.6666666666,657722.6666666666,10729472.0
931712.0,552704.0,661568.0,16551680.0
976064.0,548672.0,673664.0,17850624.0
1097024.0,552704.0,838976.0,10947200.0
1072672.0,548512.0,1318784.0,10729472.0
1072832.0,548672.0,1322656.0,10379280.0
1084928.0,556736.0,1334912.0,320.0
1076864.0,552704.0,1318784.0,320.0
1072832.0,548672.0,1318784.0,320.0
1072832.0,548672.0,1318784.0,320.0
434682.6666666667,548672.0,1322816.0,320.0
4352.0,552704.0,724949.3333333334,2036480.0
320.0,552704.0,1084928.0,7536128.0
320.0,552704.0,1326848.0,12612416.0
320.0,552704.0,1330880.0,15120320.0
320.0,1222016.0,722048.0,15592064.0
160.0,1217824.0,665600.0,15140480.0
4352.0,1063674.6666666667,665440.0,15168544.0
320.0,665600.0,669632.0,15180800.0
629312.0,689792.0,689792.0,15708992.0
8894912.0,685760.0,685760.0,11561909.333333334
8657024.0,665600.0,665600.0,7572416.0
8657024.0,665600.0,665600.0,7568384.0
14709056.0,665600.0,665600.0,7592576.0
15241280.0,669632.0,669632.0,7616768.0
15237248.0,669632.0,669632.0,7604672.0
15209024.0,669632.0,669632.0,927226.6666666666
15378368.0,669632.0,665600.0,320.0
17079872.0,52736.0,1359104.0,320.0
5904352.0,4352.0,1338944.0,320.0
1000256.0,320.0,1334912.0,320.0
1072832.0,320.0,1427648.0,320.0
1000256.0,320.0,1330880.0,320.0
1004474.6666666666,320.0,1338944.0,506.6666666666667
1012352.0,320.0,1351040.0,320.0
1000256.0,320.0,1334912.0,320.0
1036544.0,320.0,1387328.0,320.0
1064768.0,320.0,1415552.0,320.0
1000381.3333333334,605.3333333333334,1335197.3333333333,605.3333333333334
1020416.0,160.0,2278400.0,320.0
1012352.0,320.0,9011680.0,1064608.0
243765.3333333333,4352.0,8991680.0,2185664.0
4352.0,320.0,7053093.333333333,2169536.0
320.0,320.0,1355072.0,2205824.0
4352.0,320.0,1051578.6666666667,2165504.0
320.0,320.0,661568.0,2161472.0
320.0,320.0,665600.0,2169536.0
320.0,506.6666666666667,673850.6666666666,2177600.0
320.0,320.0,1000256.0,2165504.0
320.0,320.0,1222016.0,2177600.0
320.0,320.0,1222016.0,2161472.0
320.0,320.0,1467968.0,2169536.0
320.0,320.0,3423488.0,2185664.0
320.0,320.0,2809530.6666666665,2173568.0
160.0,160.0,2725952.0,2169536.0
320.0,320.0,3568480.0,2169376.0
320.0,320.0,3612992.0,2165504.0
320.0,320.0,3617024.0,2173568.0
320.0,320.0,3629120.0,2177600.0
320.0,320.0,3633152.0,968432.0
320.0,320.0,3625088.0,320.0
320.0,320.0,3693632.0,320.0
320.0,320.0,6721664.0,320.0
320.0,320.0,11257664.0,320.0
4352.0,320.0,10087290.666666666,320.0
320.0,320.0,9084416.0,320.0
320.0,320.0,9060224.0,320.0
320.0,320.0,9201344.0,320.0
320.0,320.0,9088448.0,320.0
160.0,320.0,7904885.333333333,4352.0
320.0,160.0,2112928.0,320.0
320.0,320.0,2117120.0,160.0
320.0,320.0,2246144.0,320.0
320.0,320.0,2951744.0,320.0
320.0,320.0,15644480.0,320.0
320.0,8569125.333333334,3858944.0,4352.0
320.0,320.0,5689472.0,320.0
320.0,320.0,10156928.0,320.0
320.0,320.0,10394816.0,320.0
4352.0,320.0,9536805.333333334,320.0
320.0,320.0,4439552.0,320.0
320.0,320.0,4508096.0,320.0
320.0,320.0,4451648.0,320.0
320.0,320.0,4358912.0,320.0
4875008.0,320.0,4419392.0,320.0
6677312.0,320.0,3829626.6666666665,320.0
6935360.0,320.0,3471872.0,320.0
7407104.0,320.0,3142053.333333333,4352.0
7443392.0,320.0,3000128.0,320.0
7261792.0,160.0,2923520.0,320.0
3706160.0,320.0,2999968.0,320.0
9814208.0,320.0,2855434.6666666665,4192.0
10560128.0,320.0,2141312.0,320.0
6541029.333333333,320.0,2173568.0,4352.0
1790528.0,320.0,2528384.0,770432.0
1810688.0,320.0,2867072.0,919616.0
1802624.0,320.0,7136960.0,915584.0
1770368.0,320.0,13729280.0,895424.0
