port1,port4,port2,port3
6984.0,7178.666666666667,6984.0,7224.0
445.3333333333333,445.3333333333333,445.3333333333333,605.3333333333334
320.0,506.6666666666667,320.0,160.0
792.0,605.3333333333334,506.6666666666667,774936.0
320.0,320.0,1129565.3333333333,980096.0
320.0,320.0,7056320.0,1084928.0
320.0,320.0,6475712.0,992192.0
320.0,506.6666666666667,6374912.0,980096.0
792.0,605.3333333333334,6387194.666666667,984600.0
320.0,320.0,6520349.333333333,1000256.0
320.0,320.0,6540224.0,1004288.0
160.0,160.0,6475712.0,996224.0
320.0,320.0,6475552.0,992032.0
320.0,320.0,6620864.0,1020416.0
320.0,320.0,6391040.0,980096.0
320.0,506.6666666666667,6520064.0,1004288.0
320.0,320.0,6512000.0,1000256.0
320.0,320.0,2791216.0,1012352.0
605.3333333333334,605.3333333333334,506.6666666666667,1004288.0
506.6666666666667,320.0,605.3333333333334,1008605.3333333334
320.0,320.0,320.0,1008506.6666666666
320.0,320.0,826880.0,984128.0
160.0,160.0,1092832.0,4762112.0
320.0,320.0,1080896.0,8552032.0
320.0,320.0,1092992.0,3392757.333333333
320.0,320.0,1084928.0,1000256.0
320.0,320.0,1092992.0,1004288.0
320.0,320.0,1064768.0,984128.0
320.0,320.0,1088960.0,2713856.0
320.0,320.0,1068800.0,3125120.0
320.0,320.0,1097024.0,3201728.0
320.0,320.0,1097024.0,3209792.0
320.0,320.0,1097024.0,3201728.0
160.0,346.6666666666667,1088800.0,3185440.0
320.0,528512.0,1088960.0,2102517.333333333
320.0,657536.0,1072832.0,988160.0
320.0,661568.0,1068800.0,988160.0
320.0,673664.0,1097210.6666666667,1012352.0
320.0,657536.0,1072832.0,988160.0
605.3333333333334,665885.3333333334,1081181.3333333333,992477.3333333334
506.6666666666667,657536.0,1072832.0,988160.0
320.0,657536.0,1072832.0,992192.0
320.0,661568.0,9862592.0,988346.6666666666
320.0,661568.0,5976384.0,1004288.0
160.0,661408.0,1076704.0,399920.0
320.0,657536.0,1076864.0,160.0
320.0,661568.0,648378.6666666666,4352.0
320.0,665600.0,320.0,568832.0
320.0,661568.0,320.0,7515968.0
320.0,3693632.0,4352.0,5634549.333333333
320.0,7100672.0,320.0,320.0
320.0,7092608.0,320.0,320.0
320.0,7108736.0,2084864.0,9760.0
320.0,7120832.0,7536128.0,2794496.0
320.0,7140992.0,12660800.0,8221568.0
160.0,6504208.0,15128224.0,8241728.0
7499840.0,5899136.0,9346496.0,8499616.0
7556288.0,7145024.0,15128384.0,8233664.0
7584512.0,7165184.0,15176768.0,17942720.0
7584512.0,7169216.0,15184832.0,12173360.0
7842560.0,7419200.0,15708992.0,7559226.666666667
7765952.0,7346624.0,11513525.333333334,685760.0
7572416.0,7157120.0,7572416.0,665600.0
7568384.0,7149056.0,7568384.0,665600.0
7592576.0,7181312.0,13664768.0,665600.0
7612736.0,7189376.0,14136512.0,669632.0
7604672.0,7193408.0,14124416.0,669632.0
882874.6666666666,6666208.0,11282608.0,677696.0
320.0,6507968.0,6701504.0,669632.0
320.0,6882944.0,7939328.0,705920.0
320.0,6520064.0,3093296.0,669632.0
320.0,6516032.0,1000256.0,669632.0
320.0,6152698.666666667,1068800.0,713984.0
320.0,320.0,1004288.0,669632.0
320.0,320.0,15358394.666666666,669632.0
160.0,160.0,16406528.0,673664.0
320.0,320.0,16200736.0,669472.0
996224.0,320.0,15789632.0,689792.0
1064768.0,320.0,16136544.0,710112.0
1004573.3333333334,605.3333333333334,5456493.333333333,673789.3333333334
1020416.0,320.0,320.0,681728.0
1008320.0,320.0,1076864.0,673664.0
239733.3333333333,4352.0,2189696.0,669632.0
506.6666666666667,320.0,2165504.0,669632.0
320.0,320.0,2205824.0,677696.0
320.0,320.0,2165504.0,661568.0
320.0,320.0,2165504.0,665600.0
320.0,320.0,2165504.0,665600.0
320.0,320.0,2177600.0,669818.6666666666
320.0,320.0,2169536.0,669632.0
320.0,320.0,2173568.0,665600.0
320.0,320.0,2165504.0,665600.0
320.0,320.0,2165504.0,903488.0
160.0,320.0,2189696.0,2863040.0
320.0,160.0,2173408.0,2256986.6666666665
320.0,320.0,2165504.0,2165504.0
320.0,320.0,2169536.0,2169536.0
320.0,320.0,2165504.0,2165504.0
320.0,320.0,2173568.0,6725696.0
320.0,320.0,2181632.0,13080128.0
320.0,451904.0,952304.0,13068032.0
320.0,2173568.0,320.0,13047872.0
320.0,2221952.0,320.0,13313984.0
320.0,2197760.0,320.0,13205120.0
320.0,1189040.0,4352.0,13076096.0
320.0,320.0,4352.0,11921850.666666666
4352.0,320.0,4306496.0,1190512.0
320.0,320.0,7612736.0,320.0
320.0,320.0,7733696.0,32576.0
160.0,160.0,7628864.0,556736.0
320.0,320.0,7604512.0,556576.0
320.0,320.0,7608704.0,556736.0
320.0,320.0,7878848.0,556736.0
320.0,3092864.0,9007808.0,580928.0
