port_1,port_2,port_3,port_4,port_5
10904.0,10904.0,11384.0,11024.0,11104.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
760.0,760.0,760.0,760.0,760.0
1148.0,908.0,908.0,908.0,908.0
480.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,1978176.0
760.0,760.0,480.0,480.0,2062848.0
720.0,720.0,480.0,1482240.0,2056800.0
908.0,908.0,1428.0,3079340.0,2057748.0
480.0,480.0,480.0,3091528.0,2056800.0
480.0,480.0,2945856.0,3091008.0,2062848.0
480.0,480.0,4542528.0,3091008.0,2062848.0
720.0,720.0,6175488.0,3091008.0,2056800.0
480.0,480.0,6169680.0,3084960.0,2057040.0
480.0,480.0,6181536.0,5032656.0,2062848.0
480.0,480.0,6181536.0,7221792.0,2062848.0
720.0,480.0,6169440.0,7197600.0,2056800.0
480.0,720.0,6175488.0,7203648.0,2056800.0
480.0,480.0,6175728.0,7209936.0,2057040.0
480.0,480.0,6163392.0,7185504.0,2056800.0
480.0,480.0,6235968.0,7270176.0,2080992.0
720.0,480.0,6121056.0,7149216.0,2038656.0
760.0,720.0,6163632.0,7185504.0,2056800.0
480.0,760.0,6181536.0,7209936.0,2057040.0
908.0,908.0,6181964.0,7216172.0,2063276.0
480.0,480.0,6175768.0,7209696.0,2057080.0
480.0,480.0,3129024.0,7185504.0,2056800.0
720.0,720.0,3078912.0,7179736.0,2050752.0
480.0,480.0,3097296.0,5267168.0,2068896.0
480.0,480.0,3091008.0,3091248.0,2057040.0
480.0,480.0,3091008.0,3091008.0,2062848.0
480.0,480.0,3084960.0,1554216.0,2056800.0
720.0,720.0,3084960.0,480.0,2056800.0
480.0,480.0,3097296.0,480.0,2063088.0
480.0,480.0,3078912.0,720.0,2050752.0
480.0,480.0,3091008.0,480.0,2062848.0
720.0,480.0,3091008.0,480.0,2053000.0
480.0,720.0,3078912.0,480.0,6528.0
480.0,480.0,559904.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
760.0,480.0,480.0,480.0,480.0
720.0,1000.0,480.0,480.0,798816.0
908.0,908.0,1148.0,908.0,1029308.0
480.0,480.0,480.0,720.0,1028640.0
480.0,480.0,480.0,480.0,1028640.0
720.0,480.0,760.0,480.0,1034688.0
480.0,720.0,480.0,480.0,1034688.0
480.0,480.0,720.0,720.0,1029160.0
480.0,480.0,480.0,480.0,1028640.0
480.0,480.0,480.0,480.0,1028640.0
720.0,720.0,480.0,520888.0,1820928.0
480.0,480.0,720.0,2056800.0,2057040.0
480.0,480.0,480.0,2057040.0,2062848.0
480.0,480.0,480.0,2056800.0,2056800.0
480.0,480.0,480.0,2062848.0,2056800.0
720.0,720.0,480.0,2056800.0,2056800.0
480.0,480.0,720.0,2062848.0,2057040.0
480.0,480.0,480.0,2057040.0,2062848.0
480.0,480.0,480.0,2056800.0,2056800.0
720.0,720.0,480.0,2056800.0,2056800.0
480.0,480.0,720.0,2050752.0,2050752.0
480.0,480.0,480.0,2063088.0,2069136.0
480.0,480.0,480.0,2062848.0,2056800.0
480.0,480.0,480.0,2056800.0,2056800.0
720.0,720.0,480.0,2062848.0,2062848.0
480.0,480.0,720.0,2056800.0,2063088.0
480.0,480.0,480.0,2057040.0,2050752.0
480.0,480.0,480.0,2062848.0,2062848.0
480.0,480.0,480.0,2056800.0,2056800.0
720.0,720.0,480.0,2056800.0,2062848.0
480.0,480.0,720.0,2057040.0,2057040.0
480.0,480.0,6528.0,2062848.0,2062848.0
480.0,480.0,480.0,2050752.0,2050752.0
720.0,720.0,480.0,2062848.0,2068896.0
480.0,480.0,720.0,1514208.0,2050752.0
480.0,480.0,480.0,720.0,2063088.0
480.0,480.0,480.0,480.0,2056800.0
480.0,480.0,480.0,480.0,2062848.0
720.0,720.0,480.0,480.0,1257904.0
480.0,480.0,720.0,480.0,1028880.0
480.0,480.0,480.0,720.0,1034688.0
480.0,480.0,480.0,480.0,1028640.0
720.0,480.0,480.0,480.0,1028640.0
480.0,720.0,720.0,480.0,1028640.0
480.0,480.0,480.0,720.0,1034928.0
480.0,480.0,480.0,480.0,1028640.0
480.0,480.0,480.0,480.0,1034688.0
720.0,720.0,480.0,480.0,1028640.0
480.0,480.0,720.0,480.0,1028880.0
480.0,480.0,480.0,720.0,1028640.0
480.0,480.0,480.0,480.0,1034688.0
480.0,480.0,480.0,480.0,1028640.0
720.0,720.0,480.0,480.0,1028640.0
480.0,480.0,720.0,480.0,215728.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,1000.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
760.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
1148.0,1148.0,908.0,908.0,908.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,760.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,480.0,6528.0,480.0,480.0
480.0,720.0,6528.0,480.0,480.0
480.0,480.0,720.0,720.0,720.0
480.0,480.0,480.0,6528.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,6528.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,760.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,6768.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,1000.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,79344.0
480.0,480.0,6528.0,480.0,950016.0
480.0,480.0,480.0,480.0,950016.0
720.0,720.0,480.0,480.0,950016.0
480.0,480.0,720.0,480.0,950256.0
480.0,480.0,480.0,720.0,943968.0
480.0,480.0,480.0,480.0,950016.0
720.0,480.0,480.0,480.0,943968.0
480.0,720.0,480.0,480.0,956064.0
480.0,480.0,720.0,720.0,950256.0
480.0,480.0,484320.0,480.0,943968.0
480.0,480.0,841152.0,480.0,950016.0
720.0,720.0,847200.0,480.0,950016.0
480.0,480.0,841392.0,480.0,944208.0
480.0,480.0,847200.0,720.0,956064.0
480.0,480.0,847200.0,480.0,943968.0
480.0,480.0,841152.0,480.0,950016.0
720.0,720.0,853248.0,480.0,962112.0
480.0,480.0,2589264.0,480.0,938160.0
480.0,480.0,3949824.0,720.0,1161696.0
480.0,480.0,3925632.0,480.0,4034496.0
480.0,480.0,3901440.0,480.0,4010304.0
720.0,720.0,3919584.0,480.0,3661808.0
480.0,480.0,3218944.0,480.0,3073104.0
480.0,480.0,847200.0,720.0,3091008.0
480.0,480.0,841152.0,480.0,3084960.0
720.0,720.0,847200.0,480.0,3091008.0
480.0,480.0,841392.0,480.0,3091008.0
480.0,480.0,841152.0,720.0,3085200.0
480.0,480.0,847200.0,480.0,3091008.0
480.0,480.0,841152.0,480.0,3084960.0
720.0,720.0,847200.0,480.0,3097056.0
480.0,480.0,841392.0,480.0,3079152.0
480.0,480.0,841152.0,720.0,845560.0
480.0,480.0,853248.0,480.0,480.0
480.0,480.0,835104.0,480.0,480.0
720.0,720.0,841152.0,480.0,480.0
480.0,480.0,2504592.0,480.0,720.0
480.0,480.0,3931680.0,720.0,480.0
480.0,480.0,3937728.0,480.0,480.0
720.0,720.0,3925632.0,6528.0,480.0
480.0,480.0,3925872.0,480.0,480.0
480.0,480.0,3931680.0,720.0,6768.0
480.0,480.0,3931680.0,480.0,480.0
480.0,480.0,1236560.0,480.0,480.0
720.0,720.0,847200.0,480.0,480.0
480.0,480.0,841392.0,480.0,720.0
480.0,480.0,847200.0,720.0,480.0
480.0,480.0,841152.0,480.0,480.0
720.0,720.0,406904.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,6768.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,1688112.0,480.0,720.0
480.0,480.0,6181536.0,720.0,480.0
480.0,480.0,6169440.0,480.0,480.0
720.0,480.0,6235968.0,480.0,480.0
480.0,720.0,9260208.0,480.0,480.0
480.0,480.0,9266016.0,720.0,720.0
480.0,480.0,9272064.0,2123328.0,480.0
480.0,480.0,9259968.0,4113120.0,480.0
720.0,720.0,9266016.0,4119168.0,480.0
480.0,480.0,9254160.0,5679552.0,720.0
480.0,480.0,9278112.0,7222032.0,480.0
480.0,480.0,9247872.0,7191552.0,480.0
720.0,480.0,9253920.0,7197600.0,480.0
480.0,720.0,9260208.0,7203648.0,480.0
480.0,480.0,9272064.0,7209936.0,720.0
480.0,480.0,9266016.0,7209696.0,480.0
480.0,480.0,9253920.0,7197600.0,480.0
720.0,720.0,9272064.0,7209696.0,480.0
480.0,480.0,9242064.0,5058336.0,720.0
480.0,480.0,6597728.0,3091248.0,480.0
480.0,480.0,6163392.0,3084960.0,480.0
720.0,480.0,6181536.0,3091008.0,480.0
480.0,720.0,6175488.0,3084960.0,480.0
480.0,480.0,6169680.0,3085200.0,720.0
480.0,480.0,6084168.0,3091008.0,480.0
480.0,480.0,946216.0,3084960.0,480.0
720.0,720.0,480.0,3091008.0,480.0
480.0,480.0,720.0,3084960.0,720.0
480.0,480.0,480.0,3091248.0,480.0
480.0,480.0,480.0,3084960.0,480.0
480.0,480.0,480.0,3084960.0,480.0
720.0,720.0,480.0,3084960.0,480.0
480.0,480.0,720.0,3091008.0,720.0
480.0,480.0,480.0,3091248.0,480.0
480.0,760.0,480.0,3084960.0,480.0
720.0,720.0,480.0,3084960.0,480.0
480.0,480.0,720.0,462896.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,714144.0,480.0
908.0,908.0,908.0,841580.0,908.0
720.0,720.0,720.0,877440.0,480.0
480.0,480.0,480.0,810912.0,720.0
760.0,480.0,480.0,841392.0,480.0
480.0,480.0,480.0,841152.0,480.0
720.0,480.0,480.0,847200.0,480.0
480.0,720.0,720.0,841152.0,480.0
480.0,480.0,480.0,847440.0,720.0
480.0,480.0,480.0,841152.0,480.0
480.0,480.0,480.0,841152.0,480.0
720.0,720.0,480.0,847200.0,480.0
480.0,480.0,720.0,841152.0,720.0
480.0,480.0,760.0,847440.0,480.0
480.0,480.0,480.0,841152.0,480.0
720.0,480.0,480.0,841152.0,480.0
480.0,720.0,480.0,847200.0,480.0
480.0,480.0,720.0,841392.0,720.0
480.0,480.0,480.0,841152.0,480.0
480.0,480.0,480.0,847200.0,480.0
720.0,720.0,480.0,841152.0,480.0
480.0,480.0,720.0,847200.0,720.0
480.0,480.0,480.0,841392.0,480.0
480.0,480.0,480.0,841152.0,480.0
480.0,480.0,272640.0,847200.0,480.0
720.0,720.0,841152.0,841152.0,480.0
480.0,480.0,1107504.0,847200.0,720.0
480.0,480.0,1681824.0,841392.0,480.0
480.0,480.0,1693920.0,841152.0,480.0
720.0,720.0,1681824.0,847200.0,480.0
480.0,480.0,1688112.0,841152.0,480.0
480.0,480.0,1687872.0,847440.0,720.0
480.0,480.0,1681824.0,841152.0,480.0
480.0,480.0,1693920.0,841152.0,480.0
720.0,720.0,1681824.0,847200.0,480.0
480.0,480.0,1694160.0,841152.0,720.0
480.0,480.0,1681824.0,841392.0,480.0
480.0,480.0,1681824.0,853248.0,760.0
720.0,720.0,1693920.0,841152.0,480.0
480.0,480.0,1688112.0,847200.0,605280.0
480.0,480.0,1687872.0,841392.0,2063088.0
480.0,480.0,1687872.0,841152.0,2056800.0
480.0,480.0,1681824.0,847200.0,2062848.0
720.0,720.0,1687872.0,841152.0,2050752.0
480.0,480.0,1688112.0,847200.0,2063088.0
480.0,480.0,1681824.0,841392.0,2056800.0
480.0,480.0,1693920.0,841152.0,2062848.0
720.0,480.0,1681824.0,847200.0,2056800.0
480.0,720.0,1694160.0,815320.0,2056800.0
480.0,480.0,1687872.0,720.0,2057040.0
480.0,480.0,1681824.0,480.0,2056800.0
480.0,480.0,1687872.0,480.0,2062848.0
720.0,720.0,1687872.0,480.0,2056800.0
480.0,480.0,1688112.0,480.0,2057040.0
480.0,480.0,1687872.0,1000.0,2353152.0
480.0,480.0,1681824.0,480.0,3084960.0
720.0,480.0,1687872.0,480.0,3084960.0
480.0,720.0,1687872.0,6528.0,3084960.0
480.0,480.0,1560544.0,720.0,3091248.0
480.0,480.0,841152.0,480.0,3084960.0
480.0,480.0,725680.0,480.0,5486016.0
720.0,720.0,480.0,480.0,6163392.0
480.0,480.0,720.0,480.0,6175728.0
480.0,480.0,480.0,6768.0,6169440.0
480.0,480.0,480.0,480.0,6169440.0
720.0,480.0,480.0,480.0,5561920.0
480.0,720.0,480.0,480.0,4113120.0
480.0,480.0,720.0,480.0,4125456.0
480.0,480.0,480.0,720.0,4113120.0
480.0,480.0,480.0,480.0,4288512.0
480.0,480.0,480.0,480.0,3943776.0
720.0,720.0,480.0,480.0,4119168.0
480.0,480.0,720.0,720.0,4113360.0
480.0,480.0,480.0,480.0,4119168.0
480.0,480.0,480.0,480.0,3825104.0
720.0,720.0,480.0,480.0,3084960.0
480.0,480.0,720.0,480.0,691920.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,6528.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,6768.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,720.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,720.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,720.0,480.0,6528.0,480.0
480.0,480.0,720.0,720.0,6768.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,6528.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,6528.0,720.0
480.0,480.0,480.0,720.0,6528.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,683904.0,480.0,480.0
480.0,480.0,877680.0,480.0,720.0
480.0,480.0,804864.0,720.0,480.0
480.0,480.0,847200.0,480.0,480.0
480.0,480.0,841152.0,480.0,480.0
720.0,720.0,847200.0,480.0,480.0
480.0,480.0,841392.0,480.0,720.0
480.0,480.0,847200.0,720.0,480.0
480.0,480.0,841152.0,480.0,480.0
720.0,480.0,841152.0,480.0,480.0
480.0,720.0,841152.0,480.0,480.0
480.0,480.0,847440.0,480.0,720.0
480.0,480.0,841152.0,720.0,480.0
480.0,480.0,847200.0,480.0,1627392.0
720.0,720.0,841152.0,480.0,2062848.0
480.0,480.0,847440.0,480.0,2057040.0
480.0,480.0,841152.0,720.0,2062848.0
480.0,480.0,841152.0,480.0,2056800.0
480.0,480.0,847200.0,480.0,2056800.0
720.0,720.0,841152.0,480.0,2056800.0
480.0,480.0,841392.0,272640.0,2063088.0
480.0,480.0,847200.0,950256.0,2056800.0
480.0,480.0,841152.0,943968.0,2056800.0
720.0,720.0,841152.0,950016.0,2056800.0
480.0,480.0,847440.0,950016.0,2063088.0
480.0,480.0,841152.0,950256.0,2056800.0
480.0,480.0,847200.0,950016.0,2056800.0
480.0,480.0,841152.0,950016.0,2062848.0
720.0,720.0,841152.0,943968.0,2056800.0
480.0,480.0,847440.0,950016.0,2057040.0
480.0,480.0,841152.0,950256.0,2056800.0
480.0,480.0,847200.0,950016.0,2062848.0
720.0,720.0,841152.0,950016.0,2056800.0
480.0,480.0,841392.0,950016.0,416152.0
480.0,480.0,847200.0,950256.0,720.0
480.0,480.0,841152.0,950016.0,480.0
480.0,480.0,847200.0,1681824.0,480.0
720.0,720.0,841152.0,1899552.0,480.0
480.0,480.0,841392.0,1887456.0,720.0
480.0,480.0,847200.0,1905840.0,480.0
480.0,480.0,841152.0,1899552.0,480.0
720.0,480.0,841152.0,1899552.0,6528.0
480.0,720.0,847440.0,1899552.0,480.0
480.0,480.0,841152.0,1899792.0,720.0
480.0,480.0,847200.0,1887456.0,480.0
480.0,480.0,841152.0,1899552.0,480.0
720.0,720.0,841152.0,1899552.0,480.0
480.0,480.0,847440.0,1899552.0,720.0
480.0,480.0,841152.0,1887696.0,480.0
480.0,480.0,841152.0,1899552.0,480.0
720.0,480.0,847200.0,1899552.0,480.0
480.0,720.0,841152.0,1034128.0,6528.0
480.0,480.0,847440.0,950256.0,720.0
480.0,480.0,841152.0,943968.0,480.0
480.0,480.0,841152.0,950016.0,480.0
720.0,720.0,847200.0,950016.0,480.0
480.0,480.0,841392.0,950016.0,720.0
480.0,480.0,847200.0,950256.0,480.0
480.0,480.0,643296.0,943968.0,480.0
720.0,480.0,480.0,950016.0,480.0
480.0,720.0,480.0,950016.0,480.0
480.0,480.0,720.0,950256.0,720.0
480.0,480.0,480.0,950016.0,480.0
480.0,480.0,480.0,950016.0,6528.0
720.0,720.0,480.0,950016.0,480.0
480.0,480.0,720.0,950016.0,720.0
480.0,480.0,480.0,574720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,720.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,6528.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,720.0,720.0,480.0,6528.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,6528.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,720.0,720.0,480.0,480.0
480.0,760.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
1148.0,908.0,908.0,908.0,908.0
