port_1,port_2,port_3,port_4,port_5
10664.0,10664.0,11144.0,11144.0,10784.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
760.0,1000.0,760.0,760.0,760.0
1148.0,908.0,908.0,908.0,908.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,187968.0
480.0,480.0,480.0,480.0,2056800.0
1000.0,720.0,480.0,480.0,3853056.0
480.0,480.0,760.0,480.0,5486016.0
908.0,1188.0,1148.0,1188.0,9248820.0
480.0,480.0,1778592.0,720.0,9278112.0
480.0,720.0,3091008.0,480.0,9253920.0
720.0,480.0,3084960.0,1766496.0,9272064.0
480.0,480.0,3091248.0,3091008.0,9266016.0
480.0,480.0,3084960.0,3091248.0,9266256.0
480.0,480.0,3084960.0,3078912.0,9241824.0
720.0,720.0,3084960.0,3084960.0,9253920.0
480.0,480.0,3091008.0,3097056.0,9278112.0
480.0,480.0,3091248.0,3091008.0,9278352.0
480.0,480.0,3091008.0,3085200.0,9259968.0
480.0,720.0,3091008.0,3091008.0,8880672.0
720.0,480.0,3078912.0,3084960.0,5141280.0
480.0,480.0,3091248.0,3084960.0,5153376.0
760.0,480.0,3084960.0,3085200.0,5141520.0
480.0,480.0,3091288.0,3091008.0,5153376.0
908.0,1148.0,3085388.0,3091436.0,5141708.0
720.0,760.0,3091008.0,3085240.0,5141560.0
480.0,480.0,3084960.0,3084960.0,5147328.0
480.0,480.0,3091248.0,3091248.0,5153616.0
480.0,480.0,3084960.0,3084960.0,5141280.0
480.0,720.0,3091008.0,3091008.0,5153376.0
720.0,480.0,3078912.0,247328.0,5123136.0
480.0,480.0,3085200.0,480.0,5147328.0
480.0,480.0,3091008.0,720.0,5147568.0
480.0,480.0,1263912.0,480.0,2271248.0
720.0,720.0,480.0,480.0,2050752.0
480.0,480.0,480.0,480.0,2062848.0
480.0,480.0,720.0,480.0,1841560.0
480.0,480.0,480.0,720.0,6528.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,48864.0,480.0,480.0
480.0,480.0,847200.0,480.0,480.0
480.0,480.0,877680.0,720.0,720.0
480.0,480.0,804864.0,480.0,480.0
480.0,720.0,847200.0,480.0,480.0
720.0,480.0,841152.0,480.0,480.0
480.0,480.0,841392.0,480.0,480.0
480.0,480.0,847200.0,720.0,720.0
480.0,480.0,841152.0,480.0,480.0
720.0,720.0,847200.0,480.0,480.0
480.0,480.0,841152.0,480.0,480.0
480.0,480.0,841392.0,480.0,720.0
480.0,480.0,847200.0,720.0,480.0
480.0,720.0,841152.0,480.0,480.0
720.0,480.0,847200.0,480.0,480.0
480.0,480.0,841392.0,480.0,480.0
760.0,480.0,841152.0,720.0,720.0
908.0,908.0,847628.0,908.0,908.0
720.0,1000.0,847480.0,480.0,760.0
480.0,480.0,847200.0,760.0,6528.0
480.0,480.0,841392.0,480.0,720.0
480.0,480.0,847200.0,720.0,480.0
480.0,480.0,841152.0,480.0,480.0
720.0,720.0,841152.0,480.0,480.0
480.0,480.0,847200.0,480.0,480.0
480.0,480.0,853488.0,480.0,720.0
480.0,480.0,841152.0,720.0,480.0
480.0,720.0,847200.0,480.0,480.0
720.0,480.0,841152.0,480.0,480.0
480.0,480.0,841392.0,480.0,480.0
480.0,480.0,847200.0,720.0,720.0
480.0,480.0,841152.0,480.0,480.0
720.0,720.0,847200.0,480.0,480.0
480.0,480.0,847200.0,480.0,480.0
480.0,480.0,841392.0,480.0,720.0
480.0,480.0,847200.0,720.0,480.0
480.0,720.0,841152.0,480.0,480.0
720.0,480.0,841152.0,480.0,480.0
480.0,480.0,847440.0,480.0,480.0
480.0,480.0,841152.0,720.0,720.0
480.0,480.0,847200.0,480.0,480.0
720.0,720.0,841152.0,480.0,480.0
480.0,480.0,841152.0,480.0,1052832.0
480.0,480.0,847440.0,1046784.0,2063088.0
480.0,480.0,841152.0,2063088.0,2056800.0
480.0,480.0,847200.0,2056800.0,2062848.0
720.0,720.0,841152.0,2056800.0,2056800.0
480.0,480.0,841152.0,2062848.0,2056800.0
480.0,480.0,847440.0,2068896.0,2105424.0
480.0,480.0,841152.0,2050992.0,5117088.0
480.0,480.0,841152.0,2050752.0,5135232.0
720.0,720.0,847200.0,2062848.0,5153376.0
480.0,480.0,841392.0,2056800.0,5141280.0
480.0,480.0,841152.0,1006976.0,5141520.0
480.0,480.0,847200.0,480.0,5159424.0
720.0,720.0,841152.0,480.0,4091216.0
480.0,480.0,847200.0,480.0,2062848.0
480.0,480.0,841392.0,480.0,2057040.0
480.0,480.0,847200.0,720.0,2062848.0
480.0,480.0,841152.0,480.0,2050752.0
720.0,720.0,841152.0,480.0,2062848.0
480.0,480.0,841152.0,480.0,2056800.0
480.0,480.0,847440.0,6528.0,990952.0
480.0,480.0,841152.0,720.0,480.0
480.0,720.0,330400.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,720.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,6528.0,480.0,480.0
480.0,720.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
760.0,760.0,720.0,480.0,1000.0
908.0,908.0,908.0,1148.0,908.0
480.0,480.0,480.0,6528.0,480.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,720.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
720.0,720.0,760.0,760.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,6768.0
480.0,480.0,480.0,720.0,480.0
480.0,720.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,480.0,1639728.0,720.0
480.0,480.0,480.0,3078912.0,73056.0
720.0,720.0,480.0,3103104.0,4445760.0
480.0,480.0,480.0,3084960.0,5661408.0
480.0,480.0,85392.0,3097056.0,5679792.0
480.0,480.0,4101024.0,3079152.0,5643264.0
480.0,480.0,5721888.0,3097056.0,5667456.0
720.0,720.0,7161312.0,3066816.0,5631168.0
480.0,480.0,7227840.0,3103104.0,5679552.0
480.0,480.0,7203888.0,3085200.0,5655600.0
480.0,480.0,7221792.0,3091008.0,5673504.0
480.0,720.0,7179456.0,3078912.0,5649312.0
720.0,480.0,7215744.0,3097056.0,5667456.0
480.0,480.0,7197840.0,3084960.0,5655600.0
480.0,480.0,7197600.0,3085200.0,5655360.0
480.0,480.0,7209696.0,3084960.0,5661408.0
720.0,720.0,7209696.0,3091008.0,5667456.0
480.0,480.0,7191552.0,3084960.0,5649312.0
480.0,480.0,7209936.0,3091008.0,5661648.0
480.0,480.0,7197600.0,3085200.0,5661408.0
480.0,480.0,7209696.0,3091008.0,5661408.0
720.0,720.0,7191552.0,2446120.0,4810368.0
480.0,480.0,7203648.0,480.0,3084960.0
480.0,480.0,7203888.0,480.0,3085200.0
480.0,480.0,7151984.0,720.0,3133344.0
480.0,720.0,416672.0,480.0,2939208.0
720.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
480.0,480.0,943968.0,720.0,720.0
480.0,480.0,950016.0,480.0,480.0
720.0,720.0,950016.0,480.0,480.0
480.0,480.0,950016.0,480.0,480.0
480.0,480.0,950256.0,480.0,720.0
480.0,480.0,950016.0,720.0,480.0
480.0,720.0,943968.0,480.0,480.0
720.0,480.0,950016.0,480.0,480.0
480.0,480.0,950256.0,480.0,480.0
480.0,480.0,950016.0,720.0,998640.0
480.0,480.0,950016.0,480.0,2062848.0
720.0,720.0,943968.0,480.0,2050752.0
480.0,480.0,950016.0,480.0,2062848.0
480.0,480.0,950256.0,480.0,2057040.0
480.0,480.0,950016.0,720.0,2062848.0
480.0,720.0,1458048.0,480.0,2074944.0
720.0,480.0,1966080.0,480.0,2044704.0
480.0,480.0,2093328.0,480.0,2177760.0
480.0,480.0,1869312.0,480.0,1948176.0
480.0,480.0,1972128.0,720.0,2050752.0
480.0,480.0,1966080.0,480.0,2044704.0
720.0,720.0,1978176.0,480.0,2056800.0
480.0,480.0,1978176.0,480.0,2062848.0
480.0,480.0,1972368.0,480.0,2057040.0
480.0,480.0,1978176.0,720.0,2056800.0
480.0,720.0,1978176.0,480.0,2056800.0
720.0,480.0,1984224.0,480.0,2062848.0
480.0,480.0,1978416.0,480.0,2057040.0
480.0,480.0,1972128.0,720.0,2056800.0
480.0,480.0,1978176.0,480.0,2062848.0
720.0,720.0,1978176.0,6528.0,2056800.0
480.0,480.0,1978176.0,480.0,2056800.0
480.0,480.0,1978416.0,480.0,2057040.0
480.0,480.0,1978176.0,720.0,2062848.0
480.0,720.0,1978176.0,2909568.0,2056800.0
720.0,480.0,1978176.0,3084960.0,1050112.0
480.0,480.0,1978416.0,3091008.0,480.0
480.0,480.0,1978176.0,3085200.0,720.0
480.0,480.0,1978176.0,3091008.0,798816.0
720.0,720.0,1972128.0,3084960.0,841152.0
480.0,480.0,1984224.0,3084960.0,847200.0
480.0,480.0,1978416.0,3091008.0,841392.0
480.0,480.0,1978176.0,3085200.0,841152.0
480.0,720.0,1978176.0,3091008.0,847200.0
720.0,480.0,1972128.0,3084960.0,841152.0
480.0,480.0,1978416.0,4058688.0,847200.0
480.0,480.0,1978176.0,4107312.0,841392.0
480.0,480.0,1984224.0,2218456.0,841152.0
720.0,720.0,1978176.0,1028640.0,847200.0
480.0,480.0,1972128.0,1028640.0,841152.0
480.0,480.0,1978416.0,1028640.0,841392.0
480.0,480.0,1990272.0,1034928.0,847200.0
480.0,480.0,1978176.0,1028640.0,847200.0
720.0,720.0,1972128.0,1028640.0,835104.0
480.0,480.0,2014704.0,1046784.0,865344.0
480.0,480.0,1438264.0,1016544.0,829296.0
480.0,480.0,384832.0,1028880.0,847200.0
480.0,480.0,480.0,1040736.0,847200.0
720.0,720.0,480.0,1016544.0,835104.0
480.0,480.0,480.0,1028640.0,847200.0
480.0,480.0,720.0,1028880.0,841392.0
480.0,480.0,480.0,1034688.0,847200.0
480.0,720.0,480.0,1028640.0,841152.0
720.0,480.0,480.0,1028640.0,847200.0
480.0,480.0,720.0,1034688.0,841392.0
480.0,480.0,480.0,1028880.0,847200.0
480.0,480.0,480.0,1028640.0,841152.0
720.0,720.0,480.0,1028640.0,841152.0
480.0,480.0,480.0,1034688.0,847200.0
480.0,480.0,720.0,1028640.0,841392.0
480.0,480.0,480.0,1028880.0,847200.0
480.0,720.0,480.0,1028640.0,841432.0
720.0,480.0,480.0,1028640.0,841152.0
480.0,480.0,720.0,1028640.0,847200.0
480.0,480.0,480.0,1028880.0,841392.0
480.0,480.0,480.0,1034688.0,847200.0
720.0,720.0,480.0,1028640.0,841152.0
480.0,480.0,480.0,1028640.0,847200.0
480.0,480.0,720.0,1028640.0,841392.0
760.0,760.0,480.0,1028880.0,841152.0
480.0,720.0,480.0,1028640.0,847200.0
720.0,480.0,480.0,1034688.0,841152.0
908.0,908.0,1148.0,1029068.0,841580.0
480.0,480.0,480.0,1028880.0,847440.0
480.0,480.0,480.0,1028640.0,841152.0
720.0,720.0,480.0,47224.0,841152.0
480.0,480.0,480.0,480.0,883488.0
480.0,480.0,720.0,480.0,810912.0
480.0,480.0,480.0,720.0,847440.0
480.0,480.0,480.0,480.0,841152.0
720.0,720.0,480.0,480.0,841152.0
