index,00:00:00:00:00:06,00:00:00:00:00:03,00:00:00:00:00:08,00:00:00:00:00:07,00:00:00:00:00:05,00:00:00:00:00:02,00:00:00:00:00:01,00:00:00:00:00:04
77,0.0,1274224.0,4875952.0,1500128.0,1399216.0,810656.0,1291269.3333333333,156528.0
78,0.0,1141488.0,423360.0,1374912.0,1479744.0,742000.0,737968.0,0.0
79,0.0,733824.0,492016.0,1596672.0,1846768.0,858928.0,859040.0,0.0
80,112.0,637168.0,419328.0,1370992.0,1572480.0,737968.0,9233504.0,0.0
81,4032.0,628992.0,423360.0,1370880.0,1584576.0,737856.0,5964853.333333333,0.0
82,112.0,742112.0,491904.0,1600704.0,1842736.0,862848.0,858816.0,0.0
83,419440.0,628992.0,423360.0,1357690.6666666667,1588608.0,737856.0,737968.0,0.0
84,645232.0,750064.0,427392.0,753984.0,1613136.0,749952.0,753984.0,112.0
85,633024.0,947520.0,423472.0,737968.0,1580768.0,737856.0,733824.0,0.0
86,741888.0,1108800.0,491904.0,1006906.6666666666,1846656.0,862848.0,866880.0,0.0
87,633024.0,947520.0,419328.0,1052352.0,1576512.0,737968.0,733936.0,0.0
88,629104.0,951552.0,423360.0,1060640.0,1588720.0,738080.0,915264.0,0.0
89,737856.0,1104768.0,774144.0,1225728.0,1842624.0,858816.0,1104768.0,0.0
90,633024.0,951664.0,838768.0,1052352.0,1572592.0,737856.0,947520.0,112.0
91,742000.0,1104768.0,983920.0,1183733.3333333333,1846656.0,862960.0,1108800.0,0.0
92,633136.0,951664.0,846720.0,104832.0,1580768.0,737856.0,951664.0,161392.0
93,669312.0,943488.0,842800.0,104832.0,1580656.0,737856.0,947520.0,314496.0
94,842800.0,951664.0,842688.0,104944.0,1584576.0,462586.6666666667,951552.0,318640.0
95,983920.0,1104768.0,983808.0,129136.0,1846656.0,0.0,1108912.0,995904.0
96,846720.0,947744.0,846720.0,520128.0,1580768.0,224.0,947856.0,1266160.0
97,854784.0,1109024.0,854784.0,532336.0,1604848.0,0.0,967680.0,1286320.0
98,983808.0,1600704.0,983808.0,616896.0,1842624.0,0.0,1104768.0,1475712.0
99,842800.0,1366960.0,846720.0,528304.0,1742048.0,112.0,947520.0,1266048.0
100,983808.0,1604736.0,1197504.0,612864.0,2951424.0,0.0,1108800.0,1475712.0
101,842688.0,1362816.0,1048320.0,528192.0,2532208.0,4032.0,947520.0,1262128.0
102,846720.0,1374912.0,1056496.0,532224.0,2528176.0,524160.0,947520.0,1270080.0
103,983920.0,1596672.0,1229760.0,10188976.0,2955456.0,612976.0,1104768.0,1471792.0
104,838768.0,1487808.0,1048432.0,8757616.0,2524144.0,528304.0,951552.0,1262128.0
105,842688.0,2112768.0,1060528.0,8765568.0,2532096.0,528304.0,947520.0,1270080.0
106,988064.0,2459632.0,1229760.0,1998778.6666666667,3032176.0,612864.0,1104768.0,734282.6666666666
107,842688.0,2112880.0,1048320.0,524160.0,2729776.0,528192.0,947520.0,318528.0
108,846832.0,2104816.0,1124928.0,252453.3333333333,2745904.0,528192.0,955696.0,318752.0
109,983808.0,2459856.0,1475712.0,124992.0,3193568.0,612864.0,1104768.0,371056.0
110,842688.0,2104928.0,1270192.0,104944.0,2741872.0,528304.0,947520.0,314496.0
111,842800.0,2185344.0,1266048.0,104944.0,2484170.6666666665,528192.0,610789.3333333334,318528.0
112,983808.0,2947392.0,1475824.0,124992.0,2757280.0,612976.0,371168.0,371056.0
113,846832.0,2537045.333333333,1266048.0,104832.0,1282832.0,528304.0,318640.0,318528.0
114,842688.0,2213568.0,1262016.0,104832.0,1116976.0,528192.0,314496.0,314608.0
115,999936.0,2628144.0,1512000.0,125104.0,1637104.0,624960.0,374976.0,374976.0
116,842800.0,1798272.0,1257984.0,108864.0,1366960.0,528192.0,314496.0,318528.0
