index,portLOCAL,port1,port2
0,0.0,506.6666666666667,506.6666666666667
1,0.0,909.3333333333334,909.3333333333334
2,0.0,320.0,320.0
3,0.0,320.0,320.0
4,0.0,160.0,320.0
5,0.0,320.0,320.0
6,0.0,320.0,320.0
7,0.0,320.0,320.0
8,0.0,282560.0,320.0
9,0.0,435962.6666666667,506.6666666666667
10,0.0,435776.0,160.0
11,0.0,440397.3333333333,320.0
12,0.0,435776.0,909.3333333333334
13,0.0,435776.0,320.0
14,0.0,435616.0,320.0
15,0.0,649472.0,320.0
16,0.0,1310720.0,320.0
17,0.0,1318784.0,320.0
18,0.0,1314752.0,320.0
19,0.0,1310720.0,320.0
20,0.0,1314864.0,160.0
21,0.0,1322816.0,320.0
22,0.0,1314752.0,320.0
23,0.0,1310720.0,320.0
24,0.0,1568768.0,320.0
25,0.0,1011472.0,320.0
26,0.0,1846976.0,320.0
27,0.0,1867322.6666666667,320.0
28,0.0,1867248.0,506.6666666666667
29,0.0,2165504.0,320.0
30,0.0,2528384.0,320.0
31,0.0,3286400.0,160.0
32,0.0,3408061.333333333,909.3333333333334
33,0.0,3411616.0,320.0
34,0.0,3435088.0,320.0
35,0.0,3084864.0,320.0
36,0.0,3104960.0,320.0
37,0.0,3080880.0,320.0
38,0.0,3085024.0,320.0
39,0.0,3076736.0,320.0
40,0.0,3064752.0,320.0
41,0.0,3508160.0,320.0
42,0.0,3520368.0,160.0
43,0.0,3161866.6666666665,320.0
44,0.0,2641280.0,320.0
45,0.0,2649568.0,320.0
46,0.0,2633168.0,320.0
47,0.0,2641280.0,320.0
48,0.0,2645424.0,320.0
49,0.0,2677680.0,320.0
50,0.0,2179125.333333333,320.0
51,0.0,2036480.0,320.0
52,0.0,2532416.0,320.0
53,0.0,2552576.0,160.0
54,0.0,2556832.0,320.0
55,0.0,2653376.0,320.0
56,0.0,2653376.0,320.0
57,0.0,5806464.0,320.0
58,0.0,11322176.0,320.0
59,0.0,11277824.0,320.0
60,0.0,11326208.0,320.0
61,0.0,11354432.0,320.0
62,0.0,17943056.0,320.0
63,0.0,17243520.0,320.0
64,0.0,9140864.0,160.0
65,0.0,9149040.0,320.0
66,0.0,4910314.666666667,506.6666666666667
67,0.0,6653925.333333333,320.0
68,0.0,9499824.0,320.0
69,0.0,3875594.6666666665,320.0
70,0.0,3458682.6666666665,320.0
71,0.0,13225850.666666666,320.0
72,0.0,13370656.0,320.0
73,0.0,13568813.333333334,909.3333333333334
74,0.0,10354320.0,320.0
75,0.0,1730048.0,320.0
76,0.0,5733936.0,160.0
77,0.0,3369509.333333333,320.0
78,0.0,1883264.0,320.0
79,0.0,1867360.0,320.0
80,0.0,1887136.0,320.0
81,0.0,1891328.0,320.0
82,0.0,1883600.0,320.0
83,0.0,1883264.0,320.0
84,0.0,1887520.0,320.0
85,0.0,1907456.0,320.0
86,0.0,1883264.0,320.0
87,0.0,1887296.0,160.0
88,0.0,1891552.0,320.0
89,0.0,2197760.0,320.0
90,0.0,2327008.0,320.0
91,0.0,2379152.0,320.0
92,0.0,2330928.0,320.0
93,0.0,2326784.0,320.0
94,0.0,2339104.0,320.0
95,0.0,2387264.0,320.0
96,0.0,2770528.0,320.0
97,0.0,2774560.0,320.0
98,0.0,2802560.0,160.0
99,0.0,3076960.0,320.0
100,0.0,4056624.0,320.0
101,0.0,4012160.0,320.0
102,0.0,4040384.0,320.0
103,0.0,3999904.0,320.0
104,0.0,4028512.0,320.0
105,0.0,4064688.0,320.0
106,0.0,4024368.0,320.0
107,0.0,3996144.0,320.0
108,0.0,3780773.3333333335,320.0
109,0.0,3778528.0,320.0
110,0.0,3774384.0,160.0
111,0.0,3790400.0,320.0
112,0.0,3692912.0,320.0
113,0.0,2440224.0,320.0
114,0.0,1883216.0,320.0
115,0.0,1911488.0,320.0
116,0.0,1891328.0,320.0
117,0.0,2561184.0,320.0
118,0.0,3347216.0,320.0
119,0.0,3331088.0,320.0
120,0.0,3342960.0,320.0
121,0.0,3613104.0,160.0
122,0.0,3661712.0,320.0
123,0.0,3550725.333333333,320.0
124,0.0,2790464.0,320.0
125,0.0,2794448.0,320.0
126,0.0,2818912.0,320.0
127,0.0,2778480.0,320.0
128,0.0,2798528.0,320.0
129,0.0,3129152.0,320.0
130,0.0,3343072.0,320.0
131,0.0,3334896.0,320.0
132,0.0,2870496.0,160.0
133,0.0,2613936.0,320.0
134,0.0,6052874.666666667,320.0
135,0.0,11826512.0,320.0
136,0.0,13876640.0,320.0
137,0.0,2366944.0,320.0
138,0.0,2677680.0,320.0
139,0.0,2734016.0,320.0
140,0.0,3701696.0,320.0
141,0.0,3790736.0,320.0
142,0.0,3786816.0,320.0
143,0.0,3790400.0,160.0
144,0.0,3786368.0,320.0
145,0.0,3830832.0,506.6666666666667
146,0.0,3782448.0,320.0
147,0.0,3786368.0,320.0
148,0.0,3802336.0,320.0
149,0.0,3790512.0,320.0
150,0.0,3798800.0,320.0
151,0.0,3794544.0,320.0
152,0.0,3790400.0,320.0
153,0.0,3803309.3333333335,320.0
154,0.0,3822768.0,749.3333333333334
155,0.0,3826912.0,320.0
156,0.0,3782336.0,320.0
157,0.0,3794768.0,320.0
158,0.0,3790400.0,320.0
159,0.0,3806752.0,320.0
160,0.0,3814432.0,320.0
161,0.0,3798576.0,320.0
162,0.0,5653296.0,320.0
163,0.0,12608608.0,320.0
164,0.0,12394416.0,320.0
165,0.0,12451360.0,320.0
166,0.0,11980309.333333334,320.0
167,0.0,7270560.0,320.0
168,0.0,4016416.0,160.0
169,0.0,4028512.0,320.0
170,0.0,3907786.6666666665,320.0
171,0.0,3677728.0,320.0
172,0.0,3693744.0,320.0
173,0.0,3677616.0,320.0
174,0.0,3685632.0,320.0
175,0.0,3718272.0,320.0
176,0.0,3693968.0,320.0
177,0.0,3654949.3333333335,320.0
178,0.0,3258746.6666666665,320.0
179,0.0,2564784.0,320.0
180,0.0,2565008.0,160.0
181,0.0,2564784.0,320.0
182,0.0,2576880.0,320.0
183,0.0,2584944.0,320.0
184,0.0,2593120.0,320.0
185,0.0,2564624.0,320.0
186,0.0,2560640.0,320.0
187,0.0,2572848.0,320.0
188,0.0,2564896.0,320.0
189,0.0,11906928.0,320.0
190,0.0,7203221.333333333,320.0
191,0.0,3254144.0,160.0
192,0.0,3242160.0,320.0
193,0.0,3242384.0,320.0
194,0.0,3270272.0,320.0
195,0.0,3230176.0,320.0
196,0.0,3230016.0,320.0
197,0.0,3262432.0,320.0
198,0.0,3225920.0,320.0
199,0.0,3242048.0,320.0
200,0.0,3226144.0,320.0
201,0.0,3238128.0,320.0
202,0.0,3213162.6666666665,160.0
203,0.0,2347168.0,320.0
204,0.0,2379200.0,320.0
205,0.0,2351088.0,320.0
206,0.0,2359152.0,320.0
207,0.0,2347056.0,320.0
208,0.0,2346784.0,320.0
209,0.0,2343248.0,320.0
210,0.0,1667493.3333333333,320.0
211,0.0,1568880.0,320.0
212,0.0,1228117.3333333333,320.0
213,0.0,1472336.0,320.0
214,0.0,1467968.0,320.0
215,0.0,1447920.0,160.0
216,0.0,2000192.0,320.0
217,0.0,2121264.0,320.0
218,0.0,2528608.0,320.0
219,0.0,3580960.0,320.0
220,0.0,3588864.0,320.0
221,0.0,3572784.0,320.0
222,0.0,3511210.6666666665,320.0
223,0.0,3343296.0,320.0
224,0.0,3387312.0,320.0
225,0.0,3354944.0,320.0
226,0.0,2603205.333333333,160.0
227,0.0,2572848.0,320.0
228,0.0,2564784.0,320.0
229,0.0,2572848.0,320.0
230,0.0,2601296.0,320.0
231,0.0,3229792.0,320.0
232,0.0,3569424.0,320.0
233,0.0,4080704.0,320.0
234,0.0,4032544.0,320.0
235,0.0,4222048.0,320.0
236,0.0,4471808.0,320.0
237,0.0,3909797.3333333335,320.0
238,0.0,3580736.0,160.0
239,0.0,3588800.0,320.0
240,0.0,3609072.0,320.0
241,0.0,3576928.0,320.0
242,0.0,3585216.0,320.0
243,0.0,3633264.0,320.0
244,0.0,3589136.0,320.0
245,0.0,3584832.0,320.0
