index,portLOCAL,port4,port1,port2,port3
0,0.0,506.6666666666667,6290240.0,506.6666666666667,320.0
1,0.0,4941.333333333333,6417533.333333333,909.3333333333334,1096.0
2,0.0,320.0,320.0,320.0,320.0
3,0.0,432.0,432.0,320.0,320.0
4,0.0,320.0,320.0,320.0,320.0
5,0.0,363200.0,320.0,320.0,320.0
6,0.0,653504.0,320.0,320.0,320.0
7,0.0,653344.0,320.0,320.0,320.0
8,0.0,653504.0,160.0,160.0,160.0
9,0.0,657536.0,320.0,320.0,320.0
10,0.0,653690.6666666666,548672.0,506.6666666666667,480.0
11,0.0,658125.3333333334,7555568.0,320.0,4941.333333333333
12,0.0,653504.0,1096.0,909.3333333333334,506.6666666666667
13,0.0,657536.0,320.0,320.0,320.0
14,0.0,7782080.0,320.0,320.0,320.0
15,0.0,9201344.0,320.0,214016.0,480.0
16,0.0,9201344.0,320.0,875264.0,320.0
17,0.0,3728826.6666666665,320.0,875264.0,320.0
18,0.0,657536.0,160.0,879136.0,160.0
19,0.0,657536.0,320.0,875264.0,320.0
20,0.0,734144.0,320.0,875264.0,320.0
21,0.0,1544688.0,320.0,883328.0,320.0
22,0.0,1532704.0,320.0,875264.0,320.0
23,0.0,1532480.0,320.0,875264.0,367232.0
24,0.0,1532480.0,320.0,1129280.0,439808.0
25,0.0,1536512.0,320.0,572144.0,443840.0
26,0.0,1568928.0,320.0,1403456.0,447872.0
27,0.0,1536512.0,320.0,1427648.0,439808.0
28,0.0,1536352.0,320.0,1427760.0,439920.0
29,0.0,1540656.0,160.0,1726042.6666666667,435776.0
30,0.0,1536512.0,320.0,2092928.0,443840.0
31,0.0,1540544.0,320.0,2846912.0,439808.0
32,0.0,2029304.0,909.3333333333334,2964541.333333333,440557.3333333333
33,0.0,1545034.6666666667,320.0,2968096.0,440128.0
34,0.0,1226544.0,320.0,2999520.0,444000.0
35,0.0,1214176.0,506.6666666666667,2645536.0,439808.0
36,0.0,1217984.0,320.0,2661440.0,444026.6666666667
37,0.0,1218144.0,320.0,2637360.0,5784565.333333333
38,0.0,1209920.0,320.0,2641504.0,440032.0
39,0.0,1209760.0,320.0,2641280.0,443840.0
40,0.0,1210144.0,160.0,2629136.0,435728.0
41,0.0,1205888.0,320.0,2645312.0,443840.0
42,0.0,1222128.0,320.0,2633328.0,677696.0
43,0.0,1762304.0,320.0,2286922.6666666665,1101056.0
44,0.0,1762304.0,432.0,1754240.0,1101168.0
45,0.0,2290608.0,320.0,1762528.0,1097136.0
46,0.0,2423776.0,320.0,1762416.0,1101168.0
47,0.0,2419632.0,320.0,1762304.0,1101056.0
48,0.0,2427584.0,320.0,1766336.0,1407488.0
49,0.0,3415648.0,320.0,1782576.0,1447920.0
50,0.0,3528160.0,320.0,1296117.3333333333,1439744.0
51,0.0,3524288.0,160.0,1096864.0,1431520.0
