11672.0,11672.0
1000.0,480.0
480.0,760.0
980.0,980.0
480.0,720.0
720.0,480.0
480.0,480.0
480.0,480.0
480.0,42816.0
760.0,3084960.0
480.0,4663488.0
980.0,8770820.0
720.0,11322616.0
480.0,13427040.0
480.0,10536096.0
480.0,10348848.0
720.0,13348416.0
480.0,13360512.0
480.0,13372608.0
480.0,13390752.0
480.0,13366800.0
720.0,13378656.0
480.0,13402848.0
480.0,13348416.0
6528.0,13314096.0
6528.0,10306272.0
1000.0,10276032.0
980.0,10300724.0
480.0,10282080.0
6528.0,7662416.0
720.0,7209696.0
6528.0,5086528.0
480.0,3084960.0
