port1,port2
10952,10952
480,480
760,480
480,760
1220,1220
480,480
480,480
480,480
480,480
720,720
760,480
480,480
980,1260
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
760,480
1220,1500
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
5703744,720
6187824,480
6181536,480
6169440,480
6182316,980
6181536,720
6248304,760
6090816,480
6193632,480
6157344,480
5191632,720
3084960,480
3084960,480
3084960,480
3097056,480
3079152,720
2074344,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
980,980
480,480
480,480
480,480
720,720
760,760
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
7633056,480
8225760,480
8244144,720
8213664,480
8243904,480
8213664,480
8268096,480
8292288,720
5037584,6528
3097056,480
2143200,6528
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
1220,1220
480,480
480,480
480,480
480,480
720,720
480,480
480,480
760,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,760
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
4857024,480
5147328,480
5147328,720
5147568,480
5141280,480
5153376,480
5147328,480
5141520,720
5135232,480
4396776,6528
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,720
720,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
