port1,port2
2740464,3084960
2734176,3085200
2746272,3345024
2740224,4028448
2740224,4034496
2740464,4040544
2740224,4034736
2734176,4028448
2740224,5111040
2746512,7118976
2349392,7137360
1893504,7112928
1911648,7037632
1887456,4022400
1899792,4040544
1893504,4034736
1978176,6018240
1814880,5830752
1899552,6102912
1899792,6084768
1899552,6103152
1905600,6052888
1887456,2994240
1899792,4022400
1899552,6103152
1893504,6084768
1899960,6103320
2679744,6096864
2855376,6108960
2836992,6066864
2849088,6102912
2843040,6090816
2849328,6096864
2843040,5249824
2849088,5153376
2849088,5141280
2082720,3415960
1893744,3084960
1893504,3085200
1899552,3084960
1899552,3088288
1905840,480
1899552,480
1887456,720
1452688,6528
517888,6528
720,480
480,720
480,480
480,480
480,480
720,587136
480,6514416
480,13511712
480,17394528
720,15616416
480,12550320
480,12362592
480,12338400
480,12356544
720,12332352
480,12380976
6528,12182880
480,7173408
720,7191552
480,7524432
480,6877056
480,7215744
480,7197600
6768,6586152
480,3085200
480,3084960
480,3084960
480,3091008
720,3084960
480,3085200
480,3091008
480,3084960
720,3091008
480,3085200
480,3091008
6808,100016
480,480
720,889536
908,950684
908,950444
908,950444
720,943968
908,950684
480,950016
480,950016
480,950016
1148,2861612
480,3006576
480,3006336
480,3012384
720,3006336
480,3006576
480,3000288
480,3006336
908,3012812
1899792,3006336
2062848,1085600
2056800,950016
2056800,950016
2063088,950016
2056800,950016
2056800,950256
2062848,943968
2056800,950016
2057040,1724160
2056800,1790928
2062848,1790688
2056800,1790688
2056800,1790968
2063088,1796736
2057228,1791356
3308736,1790688
5147328,1796736
5147568,1784640
5141280,1796976
3234520,1796736
3091008,1790688
3084960,1790688
3091248,1790688
3084960,1790928
2866672,3125656
480,2897472
480,2897472
6768,2583664
480,2057040
480,3054720
480,2861184
720,3000288
480,3012624
480,3798624
480,5062656
480,5062656
720,5074752
480,5062896
2716032,5068704
3084960,5062656
3091008,5062656
3085200,5062656
3091008,5068944
3084960,5062656
3084960,5062656
3091248,5068704
3085388,5069372
3084960,5056608
3097056,3207648
3084960,3006336
3091248,3006336
1389880,3006576
480,3012384
480,3000288
720,3012384
480,3006576
480,3012384
480,2994240
480,3012384
12816,1708784
480,720
480,480
1548768,480
3085200,480
4621152,480
6187584,720
12804096,480
14382624,480
16427088,480
13693152,720
13366560,480
13384704,480
13390752,480
13366800,480
13366560,720
13390752,480
13348416,480
13408896,480
11796048,6528
10288128,720
10276032,480
10300224,480
10294956,1020
7705052,7308
5192452,7068
3091008,480
3084960,480
3091248,480
3084960,720
3084960,480
3084960,480
3091248,480
3084960,720
529424,6528
480,480
480,1681824
720,2056800
480,2057040
696000,2087040
841152,2050752
841152,2050752
841392,2050752
841152,2057040
841152,2056800
1675776,2056800
1875360,2062848
1869552,2056800
1875360,2057040
1869312,2056800
1875360,2062848
1869980,2057228
2159616,370856
2818848,480
2824896,480
2818848,480
2825136,480
4445760,720
4887264,480
4869120,480
4887504,480
4875168,1615296
4881216,2063088
4875168,2056800
4881216,2056800
4869360,2062848
4893312,2057040
4869120,2347104
4893312,3091008
4863072,3084960
4881456,3084960
3229552,1472672
2824896,1028640
2818848,1028640
2825136,1034688
2818848,1682064
2818848,1869312
2824896,1869312
2933760,1947936
2704176,1796736
2824896,1875600
2818848,1875360
2824896,1869312
2819088,1875360
2824896,2407584
2812800,3919824
2818848,3937728
2824896,3925632
2825136,3937728
2812800,3931920
2824896,3925632
2818848,3931680
2830944,3636016
1992240,2818848
1784640,2824896
1796736,3333168
930232,4887264
643296,4881216
720,4875168
480,4881456
480,4875168
480,4875168
480,4887264
720,4863072
480,4893552
480,4875168
480,4881216
720,4881216
480,4881456
12576,3851936
6528,1132144
480,1028640
720,1034688
480,1028880
480,1028640
480,1028640
720,1028640
480,1028640
480,1034928
6528,723520
