port1,port2,port3,port4,port5
5812608,720,480,950256,4125736
6562560,480,480,943968,4113120
6062544,480,6528,950016,4113120
4500192,480,480,950016,4113120
4518336,720,720,950016,4119408
4500192,480,480,950256,4113120
4506240,480,480,943968,4119168
4219504,480,480,956064,4113120
3472532,980,1220,950516,4119668
3496224,720,2123328,950256,1439584
3472032,480,3084960,950016,1028640
3641616,480,3236160,992352,1077024
3152696,480,2939808,901632,986304
2631360,480,3085200,950016,1028640
2637408,720,3091008,950256,1034928
2637408,480,3084960,950016,1028640
2625832,480,3091008,944248,1028640
2637408,480,3084960,950016,1028640
2637408,720,3091248,950016,1028880
2655552,480,3013592,956304,1034688
2625312,480,480,943968,1022592
2625552,480,480,943968,1028640
2631360,480,480,950016,1028640
2643456,720,720,950256,1034928
2631360,480,480,950016,1028640
2643696,760,480,950016,291992
2637408,480,480,950016,480
2625312,480,720,943968,720
2643456,720,480,950256,480
2631360,480,480,950016,480
2631600,480,480,943968,480
2637408,480,480,950016,480
2631360,720,720,950016,720
2643456,480,480,950256,480
2631600,480,480,950016,480
2631360,480,480,950016,480
2637408,480,720,943968,480
2631360,720,480,950256,720
1873720,480,480,956064,480
1790928,480,480,950016,480
1790688,480,480,950016,480
1790688,720,1000,943968,720
1820928,480,480,812880,480
1766496,480,480,480,480
1796976,480,480,480,480
1242048,480,6768,480,480
950016,720,480,720,720
943968,480,480,480,480
950256,480,480,480,480
950016,480,480,480,480
950016,480,720,480,720
943968,720,480,720,480
824736,480,6528,480,480
720,480,480,480,480
480,480,480,480,480
480,720,720,480,720
2800704,480,480,720,480
5322720,480,480,480,480
10911312,480,480,480,480
12471456,480,720,480,480
15422880,720,480,720,720
10566336,4881216,480,480,480
10391184,5153376,480,480,480
13372608,5141280,480,480,480
13390752,5153616,720,480,720
13354464,5135232,480,720,480
13402848,5159424,480,480,480
13378896,5141280,480,480,480
13378656,5147328,720,480,480
13156608,5135472,6528,720,720
9725664,4366536,480,480,6528
8800320,480,480,480,480
9266256,480,480,480,480
9247872,480,720,480,480
9272064,720,480,720,720
9266016,480,480,480,480
9254160,480,480,480,480
9247872,480,480,480,480
9278112,720,720,480,720
9241824,480,480,720,480
9284160,480,480,480,480
5934936,480,6528,6528,480
3091008,480,720,480,480
3084960,720,480,720,720
3091008,480,480,480,480
372416,480,480,480,6528
480,480,480,480,480
2595072,480,720,480,720
3091008,720,480,720,480
3084960,480,480,480,480
3091248,480,480,480,480
3084960,480,480,480,480
3091008,720,720,720,720
3084960,480,480,480,480
3091248,480,480,480,480
3084960,480,480,480,480
3091008,480,1706256,480,720
3078912,720,2056800,720,480
3097056,480,2062848,480,480
5643504,480,2056800,480,480
6181536,480,2062848,480,480
6169440,720,2057040,720,720
6181536,480,2056800,780672,480
6169680,480,2056800,950016,480
4588192,480,2062848,943968,6528
3084960,480,2057040,950016,720
3091008,720,347504,950256,480
3084960,480,480,950016,480
1554496,480,480,956064,480
480,480,480,943968,480
480,720,720,950016,720
480,480,480,2619504,480
480,480,480,3006336,480
720,480,480,3012384,480
480,480,720,3006336,480
266592,720,480,3000528,720
841152,480,677856,3012384,480
841392,480,841152,3006336,480
847200,480,847200,3006336,480
841152,480,841392,3000288,720
847200,720,1603200,3012624,480
847200,480,1790688,1333328,480
1512720,480,1796736,950016,480
1693920,480,1790688,950016,480
1681824,720,1790928,950256,720
1681824,480,1784640,943968,480
1693920,480,1796736,950016,480
1682064,480,1790688,950016,480
1693920,480,1796976,950016,720
1681824,720,1784640,950256,480
1687872,480,1796736,943968,480
1688112,480,2062848,950016,480
1687872,480,2740224,526096,480
1693920,720,2740464,480,720
1681824,480,2740224,720,480
1681824,480,2734176,480,480
1694160,480,2746272,480,480
1681824,480,2740464,480,480
1693920,720,2740224,720,720
1681824,480,2734176,480,480
1682064,480,2740224,480,480
1687872,480,2746272,480,480
1687872,720,2740464,480,720
1681824,480,2734176,720,480
1693920,480,2746272,480,480
1682064,480,2734176,480,480
1681824,480,2746512,480,480
1693920,720,2734176,720,720
1681824,480,2740224,480,480
1693920,480,2740224,480,480
1688112,480,2207440,480,480
1681824,480,1899792,480,480
1693920,720,1899552,720,720
1681824,480,1893504,480,480
1694160,480,1899552,480,480
