port1,port2
10952,10952
480,480
720,480
760,1000
980,980
480,480
480,480
480,480
720,480
480,720
480,480
480,480
980,1260
1000,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
980,980
480,760
760,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
5721888,720
6187584,480
6175488,480
6175488,480
6176228,980
6181536,1000
6254112,480
6084768,480
6193632,480
6157864,720
5185344,480
3084960,480
3084960,480
3091008,480
3091248,720
3084960,480
2062248,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,760
980,980
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
760,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
7651200,480
8226000,720
8243904,480
8219712,480
8243904,480
8207616,480
8268336,720
8298336,480
5019200,6528
3097056,480
2137152,6528
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
980,1260
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
760,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
4869120,480
5147328,480
5147568,720
5147328,480
5141280,480
5153376,480
5147568,720
5141280,480
5141280,480
4378632,6528
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
