index,1_port1,1_port2,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,4_port3,5_port4,5_port1,5_port2,5_port3,6_port1,6_port4,6_port2,6_port3,7_port1,7_port2,7_port3,8_port1,8_port2,8_port3,9_port4,9_port1,9_port2,9_port3,10_port1,10_port4,10_port2,10_port3,Host_1,Host_5,Host_2,Host_7,Host_6,Host_8,Host_3,Host_4
1654,320.0,320.0,4003328.0,3863088.0,320.0,117360.0,1520496.0,3867120.0,2806592.0,2249568.0,1052672.0,1520496.0,1052672.0,2226096.0,117360.0,2596320.0,3863088.0,1169712.0,320.0,320.0,320.0,3995424.0,1524640.0,3274416.0,1052896.0,320.0,1656976.0,1060736.0,320.0,1169824.0,3274416.0,2806704.0,2209648.0,318528.0,419328.0,540400.0,733936.0,1798496.0,1157184.0,217840.0
1655,320.0,320.0,3645248.0,3879104.0,320.0,117248.0,1092992.0,3879104.0,2826752.0,2318720.0,1056704.0,1088960.0,1496192.0,2238080.0,117248.0,2234048.0,3883136.0,1177664.0,320.0,320.0,320.0,3645248.0,1524416.0,3290432.0,1056704.0,320.0,1294592.0,1052672.0,320.0,1181696.0,3294464.0,2818688.0,2757888.0,391104.0,524160.0,649152.0,915264.0,2233728.0,1443456.0,258048.0
1656,320.0,320.0,3609184.0,3843040.0,320.0,117248.0,1048640.0,3839008.0,2794496.0,2327008.0,1048640.0,1048640.0,1512320.0,2205824.0,117248.0,2209968.0,3839008.0,1161648.0,320.0,320.0,160.0,3605152.0,1863216.0,3262320.0,1395392.0,320.0,1278576.0,1052784.0,320.0,1165680.0,3605040.0,2794496.0,2213568.0,318528.0,419328.0,524160.0,741888.0,2044224.0,1161328.0,213808.0
1657,320.0,320.0,3605264.0,3835088.0,320.0,117248.0,1044608.0,3835088.0,2794720.0,2322864.0,1048864.0,1048640.0,1512544.0,3036416.0,117248.0,2274368.0,3834864.0,1165680.0,320.0,320.0,320.0,3605264.0,2210080.0,3246192.0,1746400.0,320.0,1278528.0,1044832.0,320.0,1161648.0,3951792.0,2790464.0,2580480.0,367136.0,1258096.0,620928.0,859040.0,2826432.0,1411312.0,245952.0
1658,320.0,320.0,3629344.0,3863200.0,320.0,117248.0,1056704.0,3867232.0,2806592.0,2339104.0,1056816.0,1052672.0,1528448.0,3169584.0,117248.0,2339104.0,3863200.0,1173856.0,320.0,320.0,320.0,3625312.0,2225984.0,3278560.0,1754240.0,160.0,1290560.0,1052672.0,320.0,1169600.0,3980128.0,2806816.0,2213680.0,318528.0,1270192.0,524272.0,737856.0,2427264.0,1270304.0,209776.0
1659,320.0,320.0,3604928.0,3842816.0,320.0,157568.0,1044608.0,3834752.0,2467034.6666666665,2335072.0,1044720.0,1044608.0,1508512.0,2853994.6666666665,157568.0,2330928.0,3507290.6666666665,1165680.0,320.0,320.0,320.0,3612992.0,2213888.0,3254144.0,1742144.0,320.0,1278464.0,1048640.0,320.0,1161536.0,3963616.0,2794496.0,2584624.0,366912.0,1475824.0,608832.0,866880.0,2826432.0,1252970.6666666667,262192.0
1660,320.0,320.0,3625424.0,3859280.0,320.0,351104.0,1052672.0,3859280.0,1871280.0,2339104.0,1052672.0,1052672.0,1520496.0,2455920.0,351104.0,2339104.0,2923744.0,1169600.0,320.0,320.0,320.0,3625424.0,2218256.0,3274752.0,1754192.0,320.0,1286864.0,1052896.0,320.0,1173856.0,3976320.0,2176730.6666666665,2584624.0,371056.0,1475712.0,625184.0,854896.0,2240810.6666666665,495936.0,492016.0
1661,320.0,320.0,3609184.0,3834976.0,320.0,351104.0,1048640.0,3834976.0,1863328.0,2335072.0,1048752.0,1048640.0,1512544.0,2447856.0,351104.0,2326896.0,2907616.0,1157616.0,320.0,320.0,320.0,3609184.0,2205936.0,3270384.0,1742256.0,320.0,1282608.0,1044448.0,320.0,1165680.0,3951792.0,2093152.0,2213680.0,314496.0,1262016.0,528304.0,737968.0,1794352.0,419440.0,419440.0
1662,320.0,320.0,3653424.0,3789418.6666666665,320.0,351216.0,1056816.0,3789418.6666666665,1996160.0,2206368.0,1060576.0,1060848.0,1293930.6666666667,2580912.0,351216.0,2210400.0,3060720.0,1185840.0,320.0,320.0,320.0,3653424.0,2242448.0,3200858.6666666665,1770592.0,320.0,1290896.0,1064880.0,320.0,1083946.6666666667,4008352.0,2117232.0,2539178.6666666665,371056.0,1359216.0,621040.0,862960.0,2096752.0,572544.0,500080.0
1663,320.0,320.0,3625088.0,3391232.0,320.0,351216.0,1052784.0,3391232.0,2105136.0,2105136.0,1052784.0,1052784.0,818928.0,2689616.0,351216.0,2105248.0,3161520.0,1169600.0,320.0,320.0,320.0,3625088.0,2221952.0,2806592.0,1758272.0,320.0,1290560.0,1052672.0,320.0,701888.0,3975872.0,2105024.0,2092720.0,366912.0,1229872.0,608832.0,858816.0,2088576.0,741888.0,488096.0
1664,320.0,320.0,4064688.0,3681760.0,320.0,379328.0,1145248.0,3681600.0,2290496.0,2415600.0,1141488.0,1141376.0,891392.0,2919600.0,379328.0,2415488.0,3427744.0,1266480.0,320.0,320.0,320.0,4060656.0,2407536.0,3036528.0,1899392.0,320.0,1399424.0,1133312.0,320.0,766512.0,4439664.0,2282432.0,2088688.0,370944.0,1229872.0,620928.0,862848.0,2092608.0,733936.0,495936.0
1665,320.0,320.0,4371690.666666667,3375216.0,320.0,351104.0,1044608.0,3383280.0,1928138.6666666667,3024384.0,1044944.0,1048640.0,819040.0,2512826.6666666665,351104.0,3028464.0,3137328.0,1161648.0,320.0,320.0,320.0,4371690.666666667,2209856.0,2798640.0,1742144.0,320.0,1270512.0,1052784.0,320.0,702000.0,4714298.666666667,2096960.0,2096752.0,367024.0,1229984.0,608832.0,858816.0,1943882.6666666667,742000.0,487984.0
1666,320.0,320.0,4843200.0,3399744.0,320.0,351104.0,1056704.0,3391680.0,2387488.0,3040896.0,1056704.0,1052672.0,819040.0,2972128.0,351104.0,3044816.0,3169920.0,1173968.0,160.0,320.0,320.0,4843200.0,2221952.0,2811072.0,1762304.0,320.0,1294592.0,878202.6666666666,320.0,702000.0,5202048.0,2109392.0,1794464.0,322560.0,1052352.0,524272.0,627898.6666666666,2008048.0,637392.0,427504.0
1667,320.0,320.0,4899200.0,3383168.0,320.0,351104.0,1048640.0,3383168.0,2443712.0,3032384.0,1048640.0,1048640.0,818816.0,3028352.0,351104.0,3024320.0,3145280.0,1161536.0,320.0,160.0,320.0,4903232.0,2217920.0,2802560.0,1750208.0,320.0,1278464.0,584960.0,320.0,701888.0,5249984.0,2096960.0,2088576.0,366912.0,1229760.0,620928.0,366912.0,2459520.0,733824.0,491904.0
1668,320.0,320.0,4883072.0,3371072.0,320.0,350944.0,1717952.0,3375104.0,2447744.0,3024320.0,1048640.0,1721984.0,810752.0,3024320.0,351104.0,3693632.0,3141248.0,1165568.0,320.0,320.0,320.0,4879040.0,2214000.0,2786544.0,1746288.0,320.0,1278576.0,581152.0,320.0,693824.0,5233968.0,2093040.0,2326464.0,318752.0,1060416.0,524272.0,314608.0,2104704.0,633024.0,419328.0
1669,320.0,320.0,5452032.0,3378490.6666666665,160.0,351104.0,1883264.0,3374458.6666666665,2464208.0,3568752.0,1056928.0,1879232.0,823184.0,3056688.0,351104.0,3883248.0,3140266.6666666665,1677632.0,320.0,320.0,320.0,5448000.0,2230128.0,2797770.6666666665,1762528.0,320.0,1294704.0,589104.0,320.0,710176.0,5802704.0,2087914.6666666667,2951536.0,366912.0,1229872.0,608832.0,375088.0,2459632.0,737856.0,491904.0
1670,320.0,320.0,5697648.0,2673648.0,320.0,351104.0,1859072.0,2677680.0,2447744.0,3838896.0,1048640.0,1863104.0,814784.0,3024320.0,351104.0,3838896.0,2439792.0,1980032.0,320.0,320.0,320.0,5701520.0,2209968.0,2084864.0,1746288.0,320.0,1278576.0,580928.0,320.0,693824.0,6048320.0,1395392.0,2951424.0,371056.0,1229760.0,620928.0,363104.0,2459520.0,737856.0,492016.0
1671,320.0,320.0,6145088.0,2705792.0,320.0,351104.0,1883264.0,2705792.0,2471936.0,4266176.0,1056704.0,1879232.0,826880.0,3060608.0,351104.0,3895232.0,2471936.0,2379200.0,320.0,320.0,320.0,6153152.0,2234000.0,2125296.0,1762416.0,320.0,1294704.0,588992.0,320.0,710064.0,6504048.0,1415552.0,2524032.0,314496.0,1052352.0,830592.0,318640.0,2108848.0,633024.0,419328.0
1672,320.0,320.0,6217776.0,3286400.0,320.0,351216.0,1879344.0,3286400.0,2463872.0,4342896.0,1056704.0,1879344.0,1411520.0,3052656.0,351216.0,3863088.0,2463872.0,2468016.0,320.0,320.0,320.0,6217776.0,2230128.0,2697680.0,1758272.0,320.0,1294704.0,584960.0,320.0,709952.0,6576736.0,1976112.0,2959600.0,370944.0,1229760.0,1108800.0,370944.0,2459520.0,733824.0,496048.0
1673,320.0,320.0,6229984.0,4693904.0,320.0,351104.0,1875200.0,4693904.0,2463984.0,4342896.0,1060848.0,1879232.0,2818800.0,3048512.0,351104.0,3879104.0,2468128.0,2463984.0,320.0,320.0,320.0,6217888.0,2230016.0,4109264.0,1766448.0,320.0,1298624.0,584960.0,160.0,1762256.0,6564640.0,2347168.0,3931200.0,366912.0,1229760.0,1104992.0,367024.0,2459520.0,742112.0,487872.0
1674,320.0,320.0,6008880.0,4677888.0,320.0,351104.0,1871168.0,4677888.0,2451888.0,4141952.0,1048752.0,1867136.0,2802672.0,3036416.0,351104.0,3678160.0,2448080.0,2455920.0,320.0,320.0,320.0,6020976.0,2226320.0,4081040.0,1750320.0,320.0,1101824.0,589216.0,320.0,1754352.0,6536528.0,2334912.0,3487680.0,318640.0,1052352.0,943600.0,318528.0,2104704.0,633024.0,423472.0
1675,320.0,320.0,5504000.0,4677440.0,320.0,351104.0,1871168.0,4673408.0,2455808.0,3625088.0,1052672.0,1871168.0,2806592.0,3040448.0,350944.0,3157376.0,2455808.0,2459840.0,320.0,320.0,320.0,5504000.0,2221952.0,4092800.0,1754240.0,320.0,593024.0,584960.0,320.0,1754240.0,6552320.0,2342912.0,4056192.0,366912.0,1229760.0,1112832.0,366912.0,2463552.0,733824.0,495936.0
1676,320.0,320.0,6178138.666666667,4689872.0,320.0,351104.0,1875200.0,4706000.0,2463984.0,4315242.666666667,1056816.0,1879232.0,2814768.0,3048512.0,355136.0,2787114.6666666665,2476192.0,3520256.0,320.0,320.0,320.0,6174106.666666667,2226208.0,4113296.0,1758272.0,320.0,1645600.0,585184.0,320.0,1758272.0,6182170.666666667,2355344.0,4060224.0,1354864.0,1229760.0,1100848.0,370944.0,2463552.0,741888.0,487984.0
1677,320.0,320.0,5592928.0,4323653.333333333,320.0,351216.0,1863216.0,4311557.333333333,2451776.0,3726112.0,1044720.0,1863216.0,2452581.333333333,3036640.0,347184.0,2213840.0,2439744.0,3496288.0,320.0,320.0,320.0,5605024.0,2214112.0,3734757.3333333335,1746176.0,320.0,1625440.0,585184.0,320.0,1408293.3333333333,5596736.0,2322752.0,3230661.333333333,1266272.0,1052464.0,947520.0,314496.0,2108736.0,633248.0,427504.0
1678,320.0,320.0,5596848.0,4076784.0,320.0,351104.0,1863104.0,4076784.0,8490037.333333334,3734176.0,7098997.333333333,1863104.0,2218032.0,3028352.0,351104.0,2214224.0,8498213.333333334,3500048.0,320.0,320.0,320.0,5588784.0,2213888.0,3496176.0,1750208.0,320.0,1633280.0,584960.0,320.0,1165680.0,5588784.0,2330816.0,3451392.0,1475712.0,1233904.0,1112832.0,366912.0,2455488.0,6136816.0,947744.0
1679,160.0,320.0,5681856.0,4145664.0,320.0,359168.0,1899392.0,4145664.0,4178032.0,3786928.0,2012512.0,1895360.0,2254768.0,3818960.0,359168.0,2246368.0,4174000.0,3544784.0,320.0,320.0,320.0,5689920.0,2250288.0,3552848.0,1774512.0,320.0,1661616.0,588992.0,320.0,1181920.0,5693840.0,2371248.0,3435600.0,1475712.0,1229984.0,1100848.0,371056.0,2463776.0,1498453.3333333333,1475936.0
1680,320.0,320.0,5600880.0,3874464.0,320.0,347072.0,1863104.0,3874464.0,4435744.0,3730032.0,1984400.0,1866976.0,2003728.0,4076784.0,351104.0,2217920.0,4435632.0,3500208.0,320.0,320.0,320.0,5588784.0,2214224.0,3298000.0,1750544.0,320.0,1633616.0,581152.0,320.0,963360.0,5588896.0,2334960.0,2922480.0,1262016.0,1056496.0,951552.0,318640.0,2108848.0,1576624.0,1262016.0
1681,320.0,320.0,5641088.0,2418800.0,320.0,355248.0,1879344.0,2418800.0,4459712.0,3758144.0,1996160.0,1875312.0,539728.0,4117104.0,351216.0,2234160.0,4451648.0,3520256.0,320.0,320.0,320.0,5645120.0,2230016.0,1826096.0,1758272.0,320.0,1641344.0,588992.0,320.0,254336.0,5645120.0,1576112.0,2338784.0,1479968.0,1229984.0,1112944.0,363104.0,2463552.0,1850688.0,1475824.0
1682,320.0,160.0,5599205.333333333,2483162.6666666665,320.0,351104.0,1879232.0,2479130.6666666665,4463856.0,3724213.3333333335,2000304.0,1879232.0,702000.0,4104896.0,351104.0,2234048.0,4374058.666666667,3482293.333333333,320.0,320.0,320.0,5595173.333333333,2230016.0,1902554.6666666667,1762304.0,320.0,1645376.0,593024.0,320.0,487210.6666666667,5595173.333333333,1411632.0,2334528.0,1475712.0,1229760.0,1090885.3333333333,374976.0,2455488.0,1842736.0,1479744.0
1683,320.0,320.0,5262304.0,2822784.0,320.0,351104.0,1863104.0,2822944.0,4560624.0,3254256.0,1976112.0,1867136.0,1072944.0,4217792.0,351104.0,2214000.0,4306608.0,3024320.0,320.0,320.0,320.0,5266336.0,2584832.0,1867360.0,2121152.0,320.0,1762304.0,580928.0,320.0,464224.0,5125216.0,1399424.0,2298240.0,1282176.0,1056384.0,532224.0,314496.0,2116800.0,1576512.0,1262016.0
1684,320.0,320.0,5822704.0,2911760.0,320.0,351104.0,1867136.0,2919824.0,5057130.666666667,3274416.0,1984176.0,1867136.0,1173856.0,4706234.666666667,351104.0,2209856.0,4242554.666666667,3036528.0,320.0,320.0,320.0,5822864.0,2685856.0,1863440.0,2218144.0,320.0,2335072.0,580928.0,320.0,468144.0,5137424.0,1403680.0,2834608.0,2213568.0,1229760.0,609056.0,367136.0,2455488.0,1786746.6666666667,1475712.0
1685,320.0,320.0,6814736.0,2935952.0,320.0,351104.0,1879232.0,2931920.0,5048608.0,4210064.0,1996160.0,1879232.0,1173856.0,4697824.0,351104.0,3141360.0,4222160.0,3052768.0,320.0,320.0,160.0,6826832.0,2697840.0,1879456.0,2225984.0,320.0,3322800.0,589104.0,320.0,472064.0,5161504.0,1407712.0,2826656.0,2213680.0,1229760.0,621040.0,556416.0,2463552.0,1717856.0,1475712.0
1686,320.0,320.0,15911162.666666666,2943792.0,320.0,351104.0,1879232.0,2943792.0,5048384.0,13338746.666666666,1996160.0,1879232.0,1173632.0,4689536.0,351104.0,12298378.666666666,4234032.0,3060720.0,320.0,320.0,320.0,15891002.666666666,2713968.0,1879232.0,2234160.0,320.0,12346714.666666666,588992.0,320.0,468032.0,5173376.0,1407488.0,2423232.0,1895040.0,1052352.0,524160.0,10612224.0,2104704.0,1483776.0,1270080.0
