,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,5_port4,5_port1,5_port5,5_port2,5_port3,6_port1,6_port2,1->3,2->4,1->4,2->3,4->1,4->2,3->2,3->1
22,0.0,0.0,13898304.0,0.0,0.0,0.0,0.0,13898304.0,0.0,0.0,0.0,5080320.0,0.0,8793792.0,0.0,0.0,0.0,0.0,1769472.0,0.0,0.0,0.0,0.0,0.0,0.0,12096.0
23,1000.0,0.0,16750800.0,1000.0,1000.0,0.0,1560.0,16763456.0,1560.0,1000.0,1560.0,8794792.0,13656.0,7981200.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,5432104.0,10355736.0,12656.0,0.0,5407912.0,12096.0,10367272.0,0.0,560.0,5382720.0,9725184.0,0.0,6000616.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,5491584.0,8781696.0,0.0,0.0,5479488.0,0.0,8793792.0,0.0,0.0,5479488.0,8781696.0,0.0,5491584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,5479488.0,8805888.0,0.0,0.0,5479488.0,0.0,8793792.0,0.0,0.0,5491584.0,8805888.0,0.0,5479488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,5479488.0,8757504.0,0.0,0.0,5503680.0,0.0,8769600.0,0.0,0.0,5479488.0,8769600.0,0.0,5491584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,5503680.0,8805888.0,0.0,0.0,5479488.0,0.0,8793792.0,0.0,0.0,5491584.0,8781696.0,0.0,5491584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,12096.0,2434752.0,8781696.0,0.0,12096.0,2471040.0,0.0,8781696.0,0.0,12096.0,2495232.0,8793792.0,0.0,2519424.0,12096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,12096.0,0.0,5323616.0,0.0,0.0,0.0,12096.0,5347808.0,0.0,0.0,0.0,5359904.0,12096.0,0.0,0.0,0.0,0.0,0.0,2020032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,511488.0,12096.0,0.0,0.0,12096.0,535680.0,0.0,0.0,0.0,559872.0,12096.0,0.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,2479680.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,5152896.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6181056.0,7717248.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,5140800.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,5152896.0,12096.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,5152896.0,2999808.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,2576448.0,0.0,0.0,0.0,0.0,2552256.0,0.0,0.0,0.0,2540160.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,5140800.0,3096576.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,4572288.0,0.0,0.0,0.0,0.0,4572288.0,0.0,0.0,0.0,4560192.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,5152896.0,3084480.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,4511808.0,0.0,0.0,0.0,0.0,4511808.0,0.0,0.0,0.0,4511808.0,0.0,0.0,0.0,0.0,0.0,0.0,6181056.0,7717248.0,4632768.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,9059904.0,0.0,0.0,0.0,0.0,9047808.0,0.0,0.0,0.0,4439232.0,0.0,4584384.0,0.0,0.0,0.0,0.0,4112640.0,5140800.0,3084480.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,9955008.0,0.0,0.0,0.0,0.0,9942912.0,0.0,0.0,0.0,4415040.0,0.0,5527872.0,0.0,0.0,0.0,0.0,4124736.0,5140800.0,3096576.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,10269504.0,0.0,0.0,0.0,0.0,10257408.0,0.0,0.0,0.0,4560192.0,0.0,5697216.0,0.0,0.0,0.0,0.0,4100544.0,5152896.0,3084480.0,1935360.0,0.0,0.0,0.0,0.0
45,0.0,0.0,9894528.0,0.0,0.0,0.0,0.0,9906624.0,0.0,0.0,0.0,4402944.0,0.0,5503680.0,0.0,0.0,0.0,0.0,5757696.0,1874880.0,1606608.0,5745600.0,12096.0,0.0,0.0,0.0
46,0.0,0.0,10584000.0,0.0,0.0,0.0,0.0,10571904.0,0.0,0.0,0.0,4415040.0,0.0,6144768.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,4124736.0,0.0,0.0,0.0,0.0
47,0.0,560.0,13245120.0,0.0,0.0,560.0,0.0,13233024.0,0.0,0.0,0.0,4402944.0,0.0,8830640.0,0.0,560.0,560.0,0.0,4124736.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0
48,0.0,0.0,13269312.0,0.0,0.0,0.0,0.0,13269312.0,0.0,0.0,0.0,4427136.0,0.0,8842176.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0
49,0.0,0.0,13257216.0,0.0,560.0,0.0,0.0,13269312.0,0.0,0.0,0.0,4415600.0,0.0,8830080.0,0.0,0.0,0.0,560.0,4124736.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0
