index,1_port1,1_port2,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,4_port3,5_port4,5_port1,5_port2,5_port3,6_port1,6_port4,6_port2,6_port3,7_port1,7_port2,7_port3,8_port1,8_port2,8_port3,9_port1,9_port4,9_port2,9_port3,10_port4,10_port1,10_port2,10_port3,Host_7,Host_8,Host_6,Host_5,Host_1,Host_3,Host_4,Host_2
0,909.3333333333334,909.3333333333334,1096.0,909.3333333333334,909.3333333333334,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,909.3333333333334,1096.0,1096.0,909.3333333333334,1096.0,909.3333333333334,909.3333333333334,909.3333333333334,1096.0,1096.0,6294861.333333333,909.3333333333334,909.3333333333334,6298893.333333333,1096.0,909.3333333333334,936.0,749.3333333333334,6299080.0,749.3333333333334,6172992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,320.0,320.0,320.0,320.0,160.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,160.0,6967456.0,160.0,320.0,6963584.0,320.0,320.0,320.0,320.0,6963584.0,320.0,7205184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,320.0,320.0,605120.0,320.0,320.0,160.0,160.0,320.0,605120.0,320.0,605072.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,609152.0,4073445.3333333335,4352.0,320.0,4085541.3333333335,4352.0,320.0,480.0,320.0,4674213.333333333,4352.0,4810981.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,320.0,320.0,1431680.0,320.0,320.0,320.0,320.0,320.0,1427648.0,320.0,1004288.0,320.0,320.0,419600.0,320.0,320.0,320.0,320.0,320.0,320.0,160.0,1431680.0,320.0,320.0,320.0,320.0,423520.0,480.0,320.0,320.0,1008320.0,320.0,0.0,919296.0,0.0,0.0,0.0,0.0,0.0,0.0
4,320.0,320.0,1500224.0,320.0,320.0,320.0,320.0,320.0,1500224.0,320.0,1040576.0,320.0,160.0,464000.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,1496192.0,432.0,432.0,160.0,432.0,460080.0,320.0,320.0,320.0,1036656.0,432.0,112.0,1104768.0,112.0,491904.0,0.0,0.0,0.0,0.0
5,320.0,320.0,1451680.0,320.0,320.0,320.0,320.0,320.0,1455872.0,320.0,1008320.0,160.0,320.0,447872.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,1455872.0,320.0,320.0,320.0,320.0,447872.0,320.0,320.0,320.0,1008160.0,320.0,0.0,947520.0,0.0,419328.0,0.0,0.0,0.0,0.0
6,160.0,160.0,1540544.0,160.0,320.0,320.0,320.0,320.0,1419584.0,117248.0,984128.0,320.0,320.0,435776.0,320.0,320.0,320.0,113328.0,320.0,320.0,320.0,1540544.0,320.0,320.0,320.0,480.0,556736.0,480.0,320.0,320.0,984128.0,320.0,0.0,1096704.0,0.0,487872.0,0.0,0.0,0.0,0.0
7,506.6666666666667,320.0,1677632.0,506.6666666666667,320.0,320.0,320.0,320.0,1455872.0,222080.0,1008320.0,320.0,506.6666666666667,447872.0,160.0,320.0,160.0,226298.66666666663,320.0,506.6666666666667,320.0,1677632.0,506.6666666666667,320.0,320.0,160.0,669632.0,320.0,320.0,320.0,1008320.0,320.0,0.0,947520.0,213696.0,423360.0,0.0,0.0,0.0,0.0
8,320.0,320.0,1681664.0,320.0,320.0,320.0,320.0,320.0,1455872.0,226112.0,1008320.0,320.0,320.0,447872.0,320.0,346.6666666666667,320.0,221920.0,320.0,320.0,320.0,1681664.0,320.0,506.6666666666667,320.0,320.0,673664.0,160.0,320.0,320.0,1008320.0,320.0,0.0,947520.0,209664.0,419328.0,0.0,0.0,0.0,0.0
9,320.0,320.0,1730048.0,320.0,320.0,320.0,320.0,160.0,1459904.0,270464.0,1008320.0,320.0,320.0,451904.0,320.0,320.0,320.0,270464.0,346.6666666666667,160.0,320.0,1726016.0,6128960.0,320.0,506.6666666666667,6121082.666666667,722048.0,666.6666666666666,320.0,506.6666666666667,7157120.0,506.6666666666667,5568192.0,1100736.0,245952.0,487872.0,0.0,0.0,0.0,0.0
