,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,5_port4,5_port1,5_port2,5_port5,5_port3,6_port1,6_port2,Host_1,Host_2,Host_4,Host_3
624,960.0,15472.0,480.0,13056.0,12576.0,39184.0,480.0,480.0,480.0,12576.0,63376.0,75472.0,480.0,12576.0,480.0,480.0,480.0,960.0,6181056.0,0.0,0.0,0.0
625,480.0,480.0,480.0,480.0,480.0,480.0,960.0,960.0,960.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,4112640.0,0.0,0.0,0.0
626,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,960.0,960.0,480.0,960.0,480.0,4112640.0,0.0,0.0,0.0
627,480.0,480.0,2008896.0,480.0,480.0,480.0,480.0,1984224.0,480.0,480.0,480.0,1972128.0,960.0,480.0,480.0,960.0,480.0,480.0,4112640.0,0.0,0.0,0.0
628,480.0,480.0,4621152.0,960.0,480.0,960.0,480.0,4621152.0,480.0,480.0,960.0,4609056.0,480.0,480.0,480.0,480.0,480.0,960.0,6181056.0,0.0,0.0,0.0
629,960.0,960.0,4633248.0,480.0,480.0,480.0,480.0,4633728.0,960.0,480.0,480.0,4645344.0,480.0,480.0,480.0,480.0,480.0,480.0,4112640.0,0.0,0.0,0.0
630,480.0,480.0,9024096.0,480.0,480.0,480.0,960.0,8999904.0,480.0,960.0,480.0,4621152.0,480.0,960.0,4343424.0,480.0,480.0,480.0,4124736.0,12096.0,0.0,0.0
631,480.0,480.0,10427712.0,480.0,960.0,480.0,480.0,10427232.0,480.0,480.0,480.0,4633728.0,480.0,480.0,5794464.0,480.0,960.0,480.0,4124736.0,3314304.0,0.0,0.0
632,480.0,480.0,10487712.0,480.0,480.0,960.0,480.0,10487712.0,480.0,480.0,960.0,4669536.0,960.0,480.0,5818656.0,960.0,480.0,480.0,6870528.0,8588160.0,0.0,0.0
633,960.0,960.0,10463520.0,960.0,480.0,480.0,480.0,10463520.0,480.0,480.0,480.0,4645344.0,480.0,480.0,5818656.0,480.0,480.0,960.0,4124736.0,5140800.0,0.0,0.0
634,480.0,480.0,11733600.0,480.0,480.0,480.0,960.0,11709888.0,960.0,960.0,480.0,4705824.0,480.0,480.0,6991968.0,480.0,480.0,480.0,4112640.0,5152896.0,0.0,0.0
635,480.0,480.0,13910880.0,480.0,480.0,480.0,480.0,13922976.0,480.0,480.0,480.0,4633728.0,480.0,960.0,9290688.0,480.0,960.0,480.0,4112640.0,5140800.0,0.0,0.0
636,480.0,480.0,14032320.0,480.0,960.0,480.0,480.0,14043936.0,480.0,480.0,960.0,4681632.0,960.0,480.0,9350688.0,960.0,480.0,480.0,6168960.0,7705152.0,0.0,0.0
637,480.0,960.0,14297952.0,960.0,480.0,960.0,480.0,14261664.0,480.0,480.0,480.0,4766304.0,480.0,480.0,9520032.0,480.0,480.0,960.0,4124736.0,959040.0,12096.0,0.0
638,960.0,480.0,13983456.0,480.0,480.0,480.0,960.0,13996032.0,960.0,480.0,480.0,4657440.0,480.0,480.0,9326496.0,480.0,480.0,480.0,4019328.0,0.0,0.0,12096.0
639,480.0,480.0,13947168.0,480.0,480.0,480.0,480.0,13935072.0,480.0,960.0,480.0,4645344.0,480.0,960.0,9290688.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
640,480.0,480.0,14661312.0,480.0,960.0,480.0,480.0,14660832.0,480.0,480.0,480.0,5323200.0,480.0,480.0,9302304.0,480.0,960.0,480.0,0.0,0.0,0.0,0.0
641,480.0,480.0,17634288.0,12576.0,480.0,960.0,12576.0,17658480.0,480.0,480.0,960.0,9326496.0,13056.0,480.0,8368752.0,960.0,480.0,480.0,0.0,0.0,0.0,0.0
642,960.0,5480448.0,10729632.0,960.0,480.0,5455776.0,480.0,10742208.0,960.0,480.0,5431584.0,9967584.0,480.0,480.0,6205728.0,480.0,480.0,960.0,0.0,0.0,0.0,0.0
643,480.0,5975904.0,9544224.0,480.0,480.0,5975904.0,960.0,9556320.0,480.0,960.0,5963808.0,9544224.0,480.0,960.0,5964288.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
644,480.0,5818656.0,9326976.0,480.0,960.0,5818656.0,480.0,9314400.0,480.0,480.0,5830752.0,9314880.0,480.0,480.0,5830752.0,480.0,960.0,480.0,0.0,0.0,0.0,0.0
645,480.0,5818656.0,9314400.0,480.0,480.0,5819136.0,480.0,9314400.0,480.0,480.0,5819136.0,9326496.0,960.0,480.0,5818656.0,960.0,480.0,480.0,0.0,0.0,0.0,0.0
646,960.0,5819136.0,9290208.0,960.0,480.0,5818656.0,480.0,9290208.0,480.0,480.0,5806560.0,9290208.0,480.0,480.0,5806560.0,480.0,480.0,960.0,0.0,0.0,0.0,0.0
647,24672.0,536160.0,8481152.0,480.0,12576.0,560352.0,13056.0,8505824.0,960.0,13056.0,596640.0,8517440.0,12576.0,12576.0,620832.0,480.0,480.0,480.0,0.0,0.0,0.0,5878656.0
648,480.0,480.0,3148896.0,12576.0,480.0,480.0,12576.0,3173088.0,480.0,480.0,480.0,3197760.0,12576.0,960.0,960.0,480.0,960.0,480.0,0.0,0.0,0.0,4124736.0
649,480.0,480.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,0.0,0.0,0.0,4112640.0
