port1,port4,port2,port3
6984.0,7464.0,6984.0,7464.0
605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334
320.0,320.0,506.6666666666667,320.0
792.0,792.0,1117469.3333333333,792.0
320.0,320.0,7491776.0,320.0
320.0,320.0,7411136.0,320.0
320.0,320.0,5920101.333333333,4352.0
160.0,697696.0,8373.333333333334,320.0
605.3333333333334,980568.0,160.0,445.3333333333333
506.6666666666667,976064.0,605.3333333333334,506.6666666666667
320.0,980096.0,320.0,320.0
320.0,980096.0,320.0,320.0
320.0,988160.0,320.0,947840.0
320.0,984128.0,320.0,1064768.0
320.0,1004288.0,320.0,1092992.0
320.0,11910848.0,506.6666666666667,1092992.0
320.0,17749184.0,320.0,976064.0
320.0,19821632.0,320.0,951872.0
160.0,19849856.0,320.0,939776.0
605.3333333333334,14021949.333333334,12541.333333333334,1274557.3333333333
320.0,2038325.3333333333,4352.0,1068800.0
506.6666666666667,984128.0,320.0,1068986.6666666667
320.0,984128.0,320.0,1068800.0
320.0,984128.0,320.0,1064768.0
320.0,984128.0,4352.0,977589.3333333334
320.0,988160.0,320.0,320.0
320.0,984128.0,320.0,320.0
320.0,984128.0,320.0,320.0
320.0,988160.0,7342592.0,320.0
160.0,992032.0,8608640.0,320.0
320.0,988160.0,8564128.0,160.0
320.0,996224.0,2902266.6666666665,1411520.0
320.0,984128.0,506.6666666666667,2137280.0
320.0,988160.0,320.0,2141312.0
320.0,988160.0,320.0,10382720.0
320.0,95994.66666666669,4352.0,12862400.0
320.0,320.0,320.0,12866432.0
320.0,320.0,959936.0,12874496.0
320.0,320.0,1076864.0,2883632.0
605.3333333333334,605.3333333333334,1069085.3333333333,4197917.333333333
160.0,346.6666666666667,7338400.0,8588480.0
320.0,320.0,11620544.0,7706117.333333333
320.0,320.0,12930944.0,6463616.0
320.0,320.0,8639802.666666666,6463616.0
320.0,320.0,4302464.0,6455552.0
320.0,320.0,4298432.0,6451706.666666667
320.0,4352.0,3669898.6666666665,343472.0
506.6666666666667,28544.0,2153408.0,320.0
320.0,1076864.0,1366448.0,320.0
320.0,1080896.0,1076864.0,320.0
320.0,1072832.0,1072832.0,320.0
160.0,1072672.0,1625216.0,320.0
320.0,1080896.0,2161312.0,160.0
320.0,1072832.0,2145344.0,320.0
320.0,1500224.0,2471936.0,320.0
320.0,1742144.0,3157376.0,320.0
320.0,1734080.0,3189632.0,320.0
320.0,1738112.0,3689600.0,320.0
320.0,851530.6666666666,3701696.0,320.0
320.0,665600.0,2757488.0,320.0
320.0,661568.0,2621120.0,1230080.0
320.0,665600.0,2641280.0,2173568.0
160.0,661408.0,2617088.0,2149376.0
320.0,661568.0,2624992.0,2157280.0
320.0,661568.0,2621120.0,2153408.0
320.0,1447808.0,2625152.0,2157440.0
320.0,1661504.0,2621306.6666666665,1695285.3333333333
320.0,1653440.0,2617088.0,320.0
320.0,1657472.0,2625152.0,320.0
320.0,1653440.0,3056576.0,320.0
320.0,1661504.0,3290432.0,209984.0
320.0,1657472.0,3290432.0,548672.0
320.0,1778432.0,3282368.0,552704.0
160.0,2536288.0,3282208.0,552704.0
320.0,2580800.0,3338816.0,560608.0
320.0,2536448.0,2536880.0,552704.0
320.0,8834432.0,1976805.3333333333,556736.0
320.0,9027968.0,1213952.0,552704.0
320.0,9029493.333333334,1226048.0,556736.0
320.0,3398314.6666666665,1226048.0,552704.0
605.3333333333334,661853.3333333334,1206173.3333333333,548957.3333333334
320.0,1867136.0,1217984.0,552704.0
320.0,2814656.0,1213952.0,552704.0
320.0,2814842.6666666665,1209920.0,552704.0
160.0,2822560.0,1213952.0,552704.0
320.0,3439616.0,1213792.0,552544.0
320.0,9362624.0,1226048.0,552704.0
320.0,9423104.0,1234112.0,560768.0
320.0,9318272.0,2475968.0,556736.0
320.0,4581477.333333333,3379136.0,552704.0
320.0,2818688.0,3379136.0,254794.66666666663
320.0,2822720.0,3371072.0,320.0
320.0,2818688.0,3371072.0,320.0
320.0,2822720.0,2307082.6666666665,320.0
320.0,954810.6666666666,1794560.0,320.0
320.0,487098.6666666667,2302592.0,320.0
160.0,160.0,2290336.0,320.0
320.0,320.0,2298560.0,160.0
506.6666666666667,320.0,2294528.0,506.6666666666667
320.0,320.0,2423552.0,320.0
320.0,320.0,3322688.0,320.0
320.0,320.0,3290432.0,320.0
320.0,4352.0,2892069.333333333,320.0
320.0,2721920.0,2649344.0,320.0
320.0,8652992.0,2218378.6666666665,4352.0
320.0,8657024.0,7076480.0,320.0
320.0,8685248.0,9156992.0,320.0
320.0,8697344.0,9169088.0,895424.0
320.0,4351280.0,7348842.666666667,1080896.0
160.0,1076864.0,556736.0,1080896.0
320.0,1088800.0,552544.0,1084928.0
320.0,1084928.0,556736.0,1088800.0
320.0,1109120.0,568832.0,1109120.0
320.0,1084928.0,556736.0,1084928.0
320.0,1105088.0,568832.0,1109120.0
320.0,1121216.0,572864.0,1121216.0
320.0,1097024.0,560768.0,1097024.0
320.0,1088960.0,568832.0,232176.0
4352.0,504778.6666666667,556736.0,320.0
320.0,320.0,552704.0,320.0
320.0,320.0,564800.0,320.0
320.0,320.0,556736.0,320.0
320.0,320.0,552704.0,320.0
320.0,320.0,564800.0,320.0
320.0,320.0,556736.0,320.0
320.0,320.0,556736.0,320.0
160.0,160.0,556736.0,320.0
320.0,320.0,556576.0,160.0
320.0,320.0,556736.0,320.0
320.0,320.0,556736.0,320.0
320.0,320.0,701888.0,320.0
320.0,320.0,742640.0,4352.0
320.0,320.0,713984.0,320.0
320.0,320.0,722048.0,320.0
320.0,320.0,689792.0,320.0
320.0,320.0,677696.0,320.0
320.0,320.0,665600.0,320.0
320.0,320.0,685760.0,320.0
320.0,320.0,681728.0,320.0
320.0,320.0,677882.6666666666,320.0
320.0,320.0,689792.0,320.0
320.0,320.0,1411520.0,320.0
320.0,4352.0,2007536.0,320.0
320.0,320.0,1605056.0,320.0
320.0,859136.0,1584896.0,320.0
160.0,2217920.0,1588928.0,320.0
320.0,2745952.0,9169088.0,320.0
320.0,4500032.0,9872741.333333334,16288.0
320.0,4491968.0,6106949.333333333,6709568.0
320.0,1656144.0,1351040.0,6850688.0
320.0,320.0,1480064.0,142965.33333333334
320.0,320.0,1467968.0,320.0
320.0,794624.0,2234048.0,320.0
320.0,798656.0,2596928.0,320.0
320.0,786560.0,2564672.0,320.0
320.0,802688.0,2604992.0,320.0
320.0,798656.0,2596928.0,320.0
320.0,790592.0,2580800.0,320.0
320.0,786560.0,1988554.6666666667,320.0
320.0,794624.0,1559984.0,4352.0
605.3333333333334,6141341.333333333,1097309.3333333333,605.3333333333334
320.0,9737600.0,1117184.0,320.0
160.0,9826304.0,1125248.0,320.0
320.0,9515680.0,1092992.0,320.0
320.0,9753728.0,1121056.0,160.0
320.0,803765.3333333334,1117184.0,320.0
320.0,459968.0,1092992.0,320.0
320.0,1109120.0,1105088.0,320.0
320.0,1113152.0,1117184.0,320.0
320.0,1113152.0,1113152.0,320.0
320.0,1105088.0,1101056.0,633344.0
320.0,1092992.0,1092992.0,895424.0
320.0,1129280.0,1129280.0,1399424.0
320.0,1113152.0,1113152.0,1484096.0
320.0,1101056.0,1105088.0,1467968.0
320.0,1121216.0,1117184.0,1492160.0
320.0,1109120.0,1959872.0,1480064.0
320.0,1826816.0,2137280.0,1480064.0
160.0,1915520.0,2137280.0,1484096.0
320.0,1875040.0,2100832.0,1451840.0
320.0,1879232.0,2100992.0,1455712.0
320.0,1939712.0,2169536.0,1508288.0
320.0,1875200.0,2105024.0,1455872.0
320.0,1875200.0,2100992.0,1451840.0
320.0,1879232.0,2100992.0,1455872.0
320.0,1875200.0,2105024.0,957429.3333333334
320.0,1875200.0,2096960.0,556736.0
320.0,1875200.0,2100992.0,560768.0
320.0,1875200.0,2467904.0,560768.0
320.0,1883264.0,2686064.0,564800.0
320.0,1883264.0,2109056.0,560768.0
320.0,515781.3333333333,2133248.0,572864.0
320.0,320.0,2105024.0,560768.0
320.0,320.0,2859008.0,564800.0
160.0,320.0,2883200.0,556736.0
506.6666666666667,160.0,2883040.0,560954.6666666666
320.0,320.0,2891264.0,560608.0
320.0,320.0,2895296.0,564800.0
320.0,12416.0,2951744.0,568832.0
320.0,2201792.0,2903360.0,564800.0
320.0,2189696.0,2891264.0,560768.0
320.0,2209856.0,2915456.0,568832.0
320.0,2189696.0,2895296.0,560768.0
320.0,2178058.6666666665,2128122.6666666665,560768.0
320.0,320.0,2274368.0,560768.0
320.0,320.0,2455808.0,564800.0
320.0,320.0,2432074.6666666665,560768.0
320.0,320.0,1665536.0,568832.0
320.0,320.0,8862656.0,560768.0
320.0,4352.0,8166645.333333333,560768.0
320.0,320.0,1669568.0,564800.0
160.0,160.0,1653440.0,560768.0
320.0,320.0,1657312.0,560608.0
320.0,320.0,1665536.0,564800.0
320.0,320.0,1649408.0,560768.0
320.0,320.0,1657472.0,560768.0
320.0,625280.0,1653440.0,560768.0
320.0,786560.0,1661504.0,560768.0
320.0,790592.0,1640624.0,568832.0
320.0,798656.0,14827509.333333334,568832.0
1084928.0,814784.0,48704.0,580928.0
1097024.0,786560.0,8011904.0,560768.0
1097024.0,786560.0,15386432.0,564800.0
1105088.0,790592.0,15406592.0,560768.0
1101056.0,790592.0,15426752.0,568832.0
1101056.0,790592.0,15402560.0,560768.0
97520.0,794624.0,12665584.0,564800.0
320.0,798656.0,3466.6666666666665,564800.0
160.0,802688.0,320.0,572864.0
320.0,794464.0,160.0,564800.0
320.0,786560.0,2661440.0,564640.0
320.0,786560.0,15362240.0,560768.0
320.0,790592.0,9409914.666666666,560768.0
320.0,782528.0,320.0,560768.0
320.0,786560.0,320.0,560768.0
320.0,782528.0,320.0,560768.0
320.0,782528.0,320.0,560768.0
320.0,14422784.0,320.0,560768.0
320.0,16628288.0,320.0,601088.0
320.0,17108096.0,320.0,1383296.0
320.0,11259509.333333334,4352.0,1395392.0
320.0,1355072.0,320.0,1355072.0
320.0,1351040.0,320.0,1347008.0
320.0,1359104.0,320.0,1363136.0
320.0,1351040.0,320.0,1347008.0
320.0,1351040.0,4352.0,859568.0
320.0,1342976.0,320.0,786560.0
160.0,1367168.0,320.0,794624.0
320.0,1346848.0,160.0,786560.0
320.0,1822784.0,320.0,790432.0
320.0,2359040.0,242240.0,786560.0
320.0,2359040.0,1097024.0,786560.0
320.0,2359040.0,1097024.0,786560.0
320.0,2359040.0,1097024.0,786560.0
320.0,2359040.0,1601024.0,786560.0
320.0,2359040.0,2193728.0,786560.0
320.0,2359040.0,2193728.0,786560.0
320.0,2399360.0,2234048.0,798656.0
320.0,5463680.0,2197760.0,786560.0
320.0,10092416.0,2205824.0,794624.0
4352.0,4618944.0,2193728.0,790592.0
320.0,1347008.0,2193728.0,782528.0
320.0,1572800.0,2193728.0,786560.0
160.0,2020352.0,2193728.0,1101056.0
320.0,2024224.0,2193568.0,1568768.0
320.0,2020352.0,2379200.0,1576672.0
320.0,2052608.0,3141248.0,1596992.0
320.0,2040512.0,9239157.333333334,1580864.0
320.0,1468400.0,12983360.0,1580864.0
320.0,1242176.0,13031744.0,1584896.0
320.0,1242176.0,13491392.0,1576832.0
320.0,1250240.0,13688960.0,1592960.0
320.0,1250240.0,6114677.333333333,1596992.0
320.0,1246208.0,2568704.0,1325754.6666666667
320.0,1242176.0,5870912.0,786560.0
320.0,1294592.0,9552128.0,822848.0
320.0,2012288.0,6102261.333333333,790592.0
320.0,3528320.0,2629184.0,806720.0
320.0,3471872.0,2592896.0,798656.0
320.0,3435584.0,2556608.0,786560.0
320.0,3867008.0,2560640.0,786560.0
320.0,4104896.0,2564672.0,1500224.0
4192.0,3840149.3333333335,2621306.6666666665,1842944.0
320.0,1939712.0,2592736.0,1826656.0
320.0,1935680.0,2600960.0,1818752.0
320.0,1951808.0,2604992.0,1834880.0
320.0,1911488.0,2560640.0,1802624.0
320.0,1951808.0,2770304.0,1834880.0
320.0,2056640.0,2303024.0,1935680.0
320.0,1915520.0,2029221.3333333333,1798592.0
320.0,1947776.0,1262336.0,1834880.0
320.0,1951808.0,1258304.0,1834880.0
320.0,1919552.0,1242176.0,1806656.0
320.0,1959872.0,1347008.0,1842944.0
320.0,1943744.0,1943744.0,1830848.0
320.0,1963904.0,1772613.3333333333,1842944.0
320.0,1947776.0,7128896.0,1834880.0
320.0,1923584.0,10076288.0,1810688.0
320.0,1959872.0,10281920.0,1047546.6666666666
320.0,2471936.0,17015200.0,1040576.0
8608640.0,2110581.333333333,20349984.0,1056704.0
10031936.0,1919552.0,16580336.0,1084928.0
9709216.0,1846816.0,580928.0,525285.3333333334
9608576.0,1830848.0,572704.0,320.0
9725504.0,1846976.0,576896.0,160.0
4580704.0,1851008.0,576896.0,4352.0
320.0,1802624.0,564800.0,2012288.0
320.0,1911488.0,597056.0,2326784.0
320.0,1591173.3333333333,980901.3333333334,2246144.0
320.0,1266368.0,923648.0,2250176.0
4352.0,1218416.0,919616.0,2246144.0
320.0,697856.0,931712.0,2278400.0
320.0,693824.0,923648.0,2254208.0
320.0,705920.0,1375232.0,2286464.0
320.0,673664.0,1576832.0,2205824.0
320.0,677696.0,1576832.0,2197760.0
320.0,677696.0,1576832.0,2201792.0
320.0,673664.0,1580864.0,2197760.0
605.3333333333334,677981.3333333334,1580864.0,2206109.333333333
320.0,677696.0,1573085.3333333333,2201792.0
160.0,681728.0,887818.6666666666,2225984.0
320.0,677536.0,673504.0,2197760.0
4352.0,464432.0,677696.0,2197600.0
320.0,320.0,673664.0,2201792.0
320.0,320.0,693824.0,1226480.0
320.0,320.0,673664.0,320.0
320.0,320.0,673664.0,320.0
320.0,320.0,677696.0,320.0
320.0,334976.0,681728.0,320.0
320.0,911552.0,681728.0,320.0
320.0,899456.0,673664.0,320.0
320.0,1222016.0,677696.0,320.0
320.0,1476218.6666666667,15374336.0,320.0
320.0,1472000.0,16172672.0,320.0
320.0,1200069.3333333333,16192832.0,320.0
