00:00:00:00:00:03,00:00:00:00:00:06,00:00:00:00:00:01,00:00:00:00:00:04,00:00:00:00:00:02,00:00:00:00:00:07,00:00:00:00:00:08,00:00:00:00:00:05
32256.0,,,,,,,
8406720.0,,,,,,,
7209216.0,104832.0,,,,,,
6298789.333333333,661248.0,4032.0,,,,,
0.0,624960.0,0.0,7866.666666666667,,,,
0.0,633024.0,0.0,0.0,,,,
0.0,947520.0,0.0,0.0,,,,
0.0,1100736.0,0.0,0.0,6052032.0,,,
0.0,947520.0,0.0,0.0,7205184.0,,,
0.0,947520.0,0.0,0.0,7193088.0,850752.0,,
0.0,947520.0,0.0,0.0,7205184.0,1032192.0,,
0.0,951552.0,0.0,0.0,7209216.0,1028160.0,,
0.0,1161216.0,0.0,0.0,6282288.0,10624320.0,4032.0,
0.0,604800.0,0.0,0.0,0.0,9830016.0,0.0,6076224.0
0.0,947520.0,0.0,0.0,0.0,9128448.0,0.0,10289664.0
0.0,915264.0,0.0,0.0,0.0,9926784.0,0.0,11454912.0
0.0,786240.0,0.0,12096.0,0.0,10249344.0,0.0,292357.3333333333
0.0,955584.0,0.0,0.0,0.0,1695285.3333333333,0.0,0.0
0.0,951552.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,943488.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1108800.0,0.0,0.0,2407104.0,342720.0,0.0,0.0
0.0,943488.0,0.0,0.0,2048256.0,0.0,0.0,0.0
0.0,1253952.0,0.0,0.0,2055600.0,1048320.0,0.0,4032.0
0.0,1798272.0,0.0,0.0,4032.0,1032192.0,4032.0,4032.0
0.0,2068416.0,0.0,0.0,0.0,1189440.0,0.0,0.0
6914880.0,951552.0,0.0,0.0,0.0,0.0,741888.0,0.0
0.0,1790208.0,0.0,0.0,0.0,701568.0,733824.0,0.0
8233344.0,951552.0,0.0,0.0,0.0,842688.0,0.0,0.0
4087354.6666666665,951552.0,0.0,0.0,1040256.0,846720.0,0.0,0.0
0.0,1104768.0,0.0,0.0,2403072.0,0.0,862848.0,0.0
0.0,1790208.0,0.0,0.0,0.0,846720.0,737856.0,0.0
0.0,1044288.0,0.0,0.0,2274048.0,0.0,316741.3333333333,0.0
0.0,1794240.0,0.0,0.0,2060352.0,842688.0,0.0,0.0
0.0,1794240.0,0.0,0.0,0.0,1032192.0,0.0,0.0
0.0,0.0,0.0,0.0,2060352.0,0.0,0.0,0.0
0.0,1302794.6666666667,0.0,0.0,2403072.0,983808.0,0.0,0.0
0.0,858816.0,0.0,0.0,0.0,766080.0,0.0,0.0
5556096.0,7229376.0,0.0,350784.0,2407104.0,0.0,0.0,0.0
4032.0,6177024.0,0.0,0.0,1319269.3333333333,842688.0,0.0,0.0
8237376.0,947520.0,0.0,3088512.0,0.0,842688.0,0.0,0.0
5438074.666666667,6233472.0,0.0,3116736.0,0.0,0.0,4032.0,0.0
0.0,1096704.0,0.0,3576384.0,0.0,314496.0,0.0,0.0
0.0,6177024.0,0.0,0.0,0.0,633024.0,0.0,0.0
0.0,968112.0,0.0,2746250.6666666665,0.0,858816.0,0.0,0.0
0.0,1088640.0,0.0,1181376.0,0.0,725760.0,0.0,0.0
0.0,951552.0,0.0,337968.0,0.0,633024.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028160.0
0.0,0.0,0.0,0.0,0.0,637056.0,0.0,633024.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201536.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028160.0
0.0,0.0,0.0,1028160.0,0.0,633024.0,0.0,947520.0
161280.0,955584.0,4032.0,0.0,324085.3333333333,141925.33333333334,0.0,0.0
0.0,1108800.0,0.0,0.0,0.0,737856.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665216.0
0.0,951552.0,0.0,0.0,0.0,633024.0,0.0,0.0
951552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1104768.0,0.0,0.0,333936.0,0.0,0.0,0.0,0.0
951552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540288.0,0.0,0.0,2108736.0,0.0,0.0,0.0,649152.0
528192.0,0.0,0.0,2060352.0,0.0,0.0,0.0,633024.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4249728.0
878976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6523776.0
4032.0,0.0,1100736.0,2037685.3333333333,0.0,0.0,0.0,733824.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6181056.0
0.0,0.0,947520.0,0.0,0.0,0.0,0.0,633024.0
959616.0,0.0,959616.0,314496.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,951552.0,633024.0,0.0,0.0,0.0,633024.0
0.0,0.0,947520.0,633024.0,0.0,0.0,0.0,633024.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,947520.0,633024.0,0.0,0.0,0.0,628992.0
0.0,0.0,1104768.0,737856.0,4032.0,6084288.0,0.0,737856.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524160.0,0.0,947520.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,114421.33333333331,637056.0,0.0,3508645.333333333,0.0,633024.0
616896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,633024.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,628992.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,737856.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,633024.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,633024.0,0.0,0.0,0.0,2689344.0
528192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,737856.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,633024.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2060352.0,1028160.0,0.0,0.0,0.0
612864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540288.0,0.0,241920.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,633024.0,0.0,0.0,0.0,2689344.0
528192.0,0.0,737856.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,737856.0,0.0,0.0,0.0,1389946.6666666667
0.0,0.0,0.0,633024.0,0.0,0.0,0.0,523066.6666666667
0.0,0.0,737856.0,628992.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,633024.0,0.0,0.0,0.0,0.0
0.0,0.0,737856.0,633024.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,637056.0,0.0,0.0,0.0,0.0
0.0,0.0,951552.0,628992.0,0.0,0.0,0.0,0.0
1475712.0,0.0,737856.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1584576.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9608256.0
0.0,0.0,1600704.0,4794048.0,0.0,0.0,0.0,0.0
1471680.0,0.0,737856.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1838592.0,8390592.0,0.0,0.0,0.0,0.0
0.0,0.0,1560384.0,7018618.666666667,0.0,0.0,0.0,0.0
0.0,0.0,1056384.0,4032.0,0.0,0.0,0.0,1052352.0
0.0,0.0,1197504.0,0.0,0.0,0.0,0.0,1201536.0
0.0,0.0,1028160.0,0.0,0.0,0.0,0.0,1028160.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536256.0,0.0,0.0,0.0,14660352.0,0.0,0.0,0.0
0.0,0.0,1181376.0,0.0,0.0,0.0,0.0,1185408.0
0.0,0.0,802368.0,0.0,15676416.0,0.0,0.0,0.0
0.0,0.0,737856.0,0.0,14414400.0,0.0,0.0,0.0
0.0,0.0,1028160.0,0.0,0.0,0.0,0.0,328624.0
0.0,0.0,657674.6666666666,4032.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,895104.0,370944.0,0.0,0.0
0.0,0.0,0.0,0.0,846720.0,737856.0,475776.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,616896.0,0.0,0.0,983808.0,858816.0,1108800.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,528192.0,0.0,0.0,842688.0,842688.0,0.0,0.0
0.0,524160.0,0.0,0.0,842688.0,842688.0,4032.0,4032.0
0.0,616896.0,0.0,100800.0,983808.0,983808.0,4032.0,16684416.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4032.0
0.0,596736.0,0.0,713664.0,521653.3333333333,0.0,0.0,8158741.333333333
0.0,0.0,0.0,0.0,0.0,963648.0,0.0,5936629.333333333
0.0,576576.0,1729728.0,0.0,0.0,689472.0,1036224.0,0.0
0.0,528192.0,0.0,633024.0,0.0,633024.0,0.0,0.0
0.0,528192.0,0.0,633024.0,0.0,624960.0,4032.0,4032.0
0.0,612864.0,0.0,737856.0,0.0,9589.333333333334,0.0,0.0
0.0,528192.0,0.0,628992.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,528192.0,0.0,633024.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,705600.0,0.0,0.0,0.0,0.0
0.0,528192.0,0.0,527472.0,0.0,0.0,367370.6666666667,4032.0
0.0,528192.0,737856.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,995904.0,689472.0,995904.0,0.0,870912.0
0.0,528192.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1028160.0,2955456.0,1028160.0,0.0,899136.0
0.0,524160.0,0.0,8221248.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4806144.0,0.0,4032.0,0.0
612864.0,592704.0,0.0,0.0,0.0,0.0,0.0,0.0
737856.0,528192.0,0.0,0.0,0.0,0.0,0.0,0.0
737856.0,528192.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,983808.0,0.0,858816.0
1770048.0,524160.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1935360.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1008000.0,0.0,737856.0
0.0,0.0,0.0,0.0,0.0,1201536.0,0.0,862848.0
1519344.0,524160.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1661184.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1201536.0,0.0,862848.0
1028160.0,528192.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9608256.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,540746.6666666666,0.0,0.0,0.0
0.0,0.0,0.0,4032.0,0.0,0.0,0.0,0.0
1028160.0,528192.0,0.0,0.0,528192.0,0.0,0.0,0.0
1201536.0,612864.0,0.0,0.0,620928.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,528192.0,0.0,0.0,737856.0
1197504.0,616896.0,0.0,0.0,616896.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1028160.0,0.0,0.0,536256.0
0.0,0.0,0.0,0.0,1028160.0,0.0,0.0,842688.0
1201536.0,616896.0,0.0,0.0,616896.0,0.0,834624.0,0.0
0.0,0.0,0.0,0.0,1032192.0,0.0,0.0,842688.0
0.0,0.0,0.0,0.0,612864.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,737856.0,0.0
0.0,0.0,0.0,0.0,1201536.0,0.0,0.0,983808.0
1028160.0,528192.0,0.0,0.0,528192.0,0.0,737856.0,0.0
1201536.0,612864.0,0.0,0.0,616896.0,0.0,1012032.0,0.0
0.0,0.0,0.0,0.0,528192.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1475712.0,0.0
1028160.0,939456.0,0.0,0.0,528192.0,0.0,1270080.0,0.0
1201536.0,1229760.0,0.0,0.0,612864.0,0.0,1475712.0,0.0
0.0,0.0,0.0,0.0,1032192.0,0.0,0.0,842688.0
1028160.0,1052352.0,0.0,0.0,528192.0,0.0,1262016.0,0.0
1201536.0,1229760.0,0.0,0.0,612864.0,0.0,1479744.0,0.0
0.0,0.0,0.0,0.0,528192.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1266048.0,0.0
1201536.0,1229760.0,0.0,0.0,612864.0,0.0,1475712.0,0.0
0.0,0.0,0.0,0.0,528192.0,0.0,0.0,0.0
0.0,1229760.0,0.0,0.0,612864.0,0.0,1475712.0,0.0
0.0,0.0,0.0,4032.0,528192.0,0.0,0.0,0.0
0.0,1056384.0,0.0,0.0,528192.0,0.0,1266048.0,0.0
