port1,port2,port3
7144.0,6984.0,7144.0
605.3333333333334,605.3333333333334,445.3333333333333
160.0,506.6666666666667,506.6666666666667
792.0,605.3333333333334,320.0
320.0,160.0,605.3333333333334
320.0,320.0,320.0
320.0,320.0,320.0
506.6666666666667,320.0,506.6666666666667
605.3333333333334,792.0,320.0
320.0,320.0,605.3333333333334
320.0,320.0,320.0
320.0,320.0,160.0
320.0,320.0,320.0
160.0,320.0,320.0
320.0,320.0,320.0
320.0,160.0,320.0
320.0,320.0,506.6666666666667
320.0,320.0,320.0
506.6666666666667,792.0,320.0
605.3333333333334,320.0,605.3333333333334
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,160.0
320.0,320.0,320.0
160.0,320.0,320.0
320.0,320.0,320.0
320.0,160.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,160.0
320.0,320.0,320.0
160.0,320.0,320.0
320.0,320.0,506.6666666666667
320.0,160.0,320.0
320.0,506.6666666666667,320.0
792.0,605.3333333333334,605.3333333333334
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,160.0
320.0,320.0,320.0
160.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,160.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,160.0
320.0,320.0,320.0
160.0,320.0,320.0
320.0,320.0,320.0
320.0,160.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,160.0
320.0,320.0,320.0
160.0,320.0,320.0
320.0,320.0,320.0
320.0,160.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,506.6666666666667
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,160.0
320.0,506.6666666666667,320.0
160.0,320.0,320.0
605.3333333333334,605.3333333333334,605.3333333333334
320.0,160.0,320.0
320.0,320.0,320.0
506.6666666666667,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,160.0
320.0,320.0,320.0
160.0,320.0,320.0
320.0,320.0,320.0
320.0,160.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,160.0
320.0,320.0,320.0
160.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,160.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,1068640.0
770432.0,320.0,1121216.0
786560.0,320.0,1092992.0
778496.0,320.0,1092992.0
778336.0,4352.0,500746.6666666667
778496.0,320.0,320.0
790592.0,320.0,320.0
778496.0,160.0,320.0
778496.0,320.0,320.0
782528.0,320.0,320.0
782528.0,320.0,320.0
778496.0,320.0,320.0
778496.0,320.0,320.0
778496.0,320.0,320.0
778496.0,320.0,320.0
782528.0,320.0,320.0
786560.0,320.0,320.0
814784.0,320.0,320.0
834944.0,320.0,320.0
838976.0,320.0,320.0
1766336.0,320.0,160.0
1806656.0,320.0,320.0
1782464.0,320.0,320.0
1822624.0,320.0,320.0
1818752.0,320.0,320.0
1810688.0,320.0,320.0
1834880.0,160.0,320.0
1818752.0,320.0,320.0
