index,00:00:00:00:00:05,00:00:00:00:00:04,00:00:00:00:00:02,00:00:00:00:00:08,00:00:00:00:00:01,00:00:00:00:00:06,00:00:00:00:00:03,00:00:00:00:00:07
0,842688.0,,,,,,,
1,931392.0,528192.0,,,,,,
2,846720.0,633024.0,471744.0,,,,,
3,842688.0,633024.0,951552.0,,,,,
4,842688.0,633024.0,947520.0,,,,,
5,903168.0,677376.0,1362816.0,,,,,
6,842688.0,633024.0,1580544.0,,,,,
7,1008000.0,753984.0,1886976.0,705600.0,,,,
8,842800.0,633024.0,1580544.0,947520.0,,,,
9,907424.0,681408.0,2124864.0,1024128.0,,,,
10,842688.0,633024.0,2419200.0,947520.0,,,,
11,987840.0,741888.0,2834496.0,1108800.0,,,,
12,842688.0,838656.0,2423232.0,947520.0,,,,
13,854784.0,636336.0,2455488.0,967680.0,,,,
14,481333.3333333333,225792.0,2616768.0,1028160.0,,,,
15,697648.0,229824.0,2616880.0,1020096.0,,,,
16,842800.0,209664.0,2423232.0,947632.0,,,,
17,846720.0,209664.0,2427264.0,951552.0,,,,
18,991872.0,249984.0,2858800.0,1116864.0,423360.0,,,
19,846720.0,213696.0,2435552.0,955584.0,427392.0,5388997.333333333,,
20,899136.0,221760.0,2580480.0,1802304.0,447552.0,4032.0,,
21,842688.0,209664.0,2423232.0,1685376.0,423360.0,0.0,,
22,983808.0,245952.0,2830576.0,1967952.0,491904.0,0.0,,
23,838656.0,209664.0,2403072.0,1673280.0,415296.0,0.0,5638981.333333333,
24,939568.0,237888.0,7754453.333333333,1878912.0,471744.0,0.0,1060416.0,
25,846720.0,209664.0,9696960.0,1689408.0,419328.0,0.0,947520.0,
26,866880.0,217840.0,9995328.0,1733760.0,435456.0,249984.0,979776.0,516096.0
27,878976.0,217728.0,10104192.0,1757952.0,439488.0,10596554.666666666,983808.0,766080.0
28,1016064.0,645120.0,11656512.0,1867621.3333333333,512064.0,201600.0,1145088.0,887040.0
29,891072.0,895104.0,10257408.0,782208.0,447552.0,782208.0,1003968.0,2822400.0
30,850752.0,846720.0,6912693.333333333,742000.0,427616.0,741888.0,955584.0,6955200.0
31,838656.0,838656.0,1471792.0,737856.0,419328.0,737856.0,943488.0,7310128.0
32,987840.0,987840.0,1761984.0,858816.0,491904.0,943488.0,1108800.0,8806000.0
33,842688.0,846720.0,1689520.0,737856.0,423360.0,846720.0,951552.0,7539952.0
34,935536.0,846720.0,1697584.0,745920.0,423360.0,1008000.0,955696.0,7604352.0
35,1600704.0,983808.0,1971648.0,863184.0,491904.0,1354752.0,1104768.0,8721648.0
36,1370880.0,846720.0,1693552.0,737856.0,423360.0,1161216.0,951552.0,1370880.0
37,1628928.0,979776.0,1843541.3333333333,858816.0,492016.0,1350720.0,1104768.0,1600816.0
38,1580544.0,842688.0,1052352.0,737856.0,419328.0,1157296.0,947520.0,1370880.0
39,2476565.333333333,850752.0,1068592.0,741888.0,427504.0,1169280.0,955584.0,1379168.0
40,8184960.0,1000048.0,515002.6666666667,878976.0,504000.0,1374912.0,1124928.0,1210058.6666666667
41,6915104.0,842688.0,209888.0,737968.0,419440.0,1161216.0,947520.0,8656208.0
42,6802096.0,830592.0,205632.0,725760.0,415408.0,1455888.0,935424.0,620928.0
43,2186149.333333333,983808.0,245952.0,862848.0,491904.0,2572416.0,1108800.0,745920.0
