index,portLOCAL,port4,port1,port2,port3
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,160.0,0.0,536442.6666666666,186.66666666666663
3,0.0,0.0,776.0,991872.0,589.3333333333334
4,0.0,776.0,0.0,980365.3333333334,0.0
5,0.0,160.0,0.0,1431360.0,160.0
6,0.0,0.0,0.0,1653120.0,112.0
7,0.0,0.0,0.0,1673280.0,741888.0
8,0.0,0.0,0.0,1673280.0,1003968.0
9,0.0,160.0,0.0,2161152.0,1003968.0
10,0.0,0.0,0.0,2568384.0,1003968.0
11,0.0,4032.0,0.0,2568570.6666666665,1008000.0
12,0.0,217728.0,0.0,2511936.0,979962.6666666666
13,0.0,225792.0,0.0,2576448.0,1008000.0
14,0.0,218317.3333333333,776.0,2532685.333333333,992461.3333333334
15,0.0,967978.6666666666,0.0,2556400.0,999936.0
16,0.0,1116864.0,0.0,2560320.0,1003968.0
17,0.0,1120896.0,0.0,2584512.0,1008160.0
18,0.0,1120896.0,0.0,3024112.0,1008000.0
19,0.0,1096864.0,0.0,2967776.0,6381509.333333333
20,0.0,1096704.0,0.0,2955456.0,987840.0
21,0.0,1116864.0,0.0,3019968.0,1008000.0
22,0.0,1121056.0,0.0,3032176.0,1008336.0
23,0.0,6558437.333333333,4032.0,3060288.0,1020096.0
24,0.0,1105040.0,0.0,2371733.333333333,6838272.0
25,0.0,1112832.0,0.0,2007936.0,9696960.0
26,0.0,2713648.0,0.0,2020032.0,10370304.0
27,0.0,10378986.666666666,0.0,2016000.0,10519488.0
28,0.0,1528128.0,0.0,2032128.0,10391269.333333334
29,0.0,4003776.0,0.0,2032314.6666666667,9571968.0
30,0.0,8410752.0,0.0,2032352.0,6010144.0
31,0.0,8406832.0,0.0,2032240.0,790272.0
32,0.0,8229312.0,0.0,1983744.0,818608.0
33,0.0,8229424.0,0.0,1987888.0,991872.0
34,0.0,8411453.333333334,589.3333333333334,2032829.3333333333,1016653.3333333334
35,0.0,7979760.0,0.0,2020032.0,1008000.0
36,0.0,1814746.6666666667,186.66666666666663,2040304.0,1020096.0
37,0.0,1794352.0,0.0,1879717.3333333333,1044400.0
38,0.0,1757952.0,0.0,1322496.0,1213632.0
39,0.0,1541141.3333333333,0.0,1354976.0,1234016.0
40,0.0,919408.0,0.0,619834.6666666666,625418.6666666666
