index,portLOCAL,port1,port2,port3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,186.66666666666663
3,0.0,186.66666666666663,186.66666666666663,0.0
4,0.0,589.3333333333334,589.3333333333334,589.3333333333334
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,741888.0,0.0
8,0.0,0.0,1008000.0,0.0
9,0.0,0.0,999936.0,0.0
10,0.0,0.0,1008000.0,0.0
11,0.0,0.0,1008000.0,0.0
12,0.0,0.0,1201536.0,0.0
13,0.0,0.0,1229760.0,4218.666666666667
14,0.0,776.0,1214408.0,589.3333333333334
15,0.0,0.0,1967728.0,0.0
16,0.0,0.0,2116800.0,0.0
17,0.0,0.0,2136960.0,0.0
18,0.0,0.0,2124864.0,0.0
19,0.0,0.0,7481605.333333333,0.0
20,0.0,0.0,2076480.0,588672.0
21,0.0,0.0,2128896.0,782208.0
22,0.0,0.0,2129232.0,786240.0
23,0.0,0.0,7578373.333333333,798336.0
24,0.0,0.0,2088688.0,766080.0
25,0.0,0.0,2116800.0,778176.0
26,0.0,0.0,4346608.0,786240.0
27,0.0,0.0,12156938.666666666,786240.0
28,0.0,0.0,3149797.333333333,995904.0
29,0.0,0.0,4802112.0,1580544.0
30,0.0,0.0,9205168.0,1580544.0
31,0.0,0.0,9193072.0,1580544.0
32,0.0,0.0,9003568.0,1544256.0
33,0.0,0.0,8995504.0,1544256.0
34,0.0,589.3333333333334,9209976.0,1746632.0
35,0.0,0.0,8749872.0,2125200.0
36,0.0,0.0,2604672.0,2157120.0
37,0.0,186.66666666666663,2620800.0,2124864.0
38,0.0,0.0,2753856.0,2096752.0
39,0.0,0.0,2545333.333333333,2136960.0
40,0.0,0.0,1310970.6666666667,2173248.0
41,0.0,0.0,1109136.0,2100672.0
42,0.0,0.0,1125040.0,2136960.0
43,0.0,0.0,1100736.0,2096640.0
44,0.0,0.0,1124928.0,2137072.0
45,0.0,0.0,1128960.0,2145024.0
46,0.0,0.0,1104768.0,2177280.0
47,0.0,0.0,1137024.0,2391088.0
48,0.0,0.0,1133104.0,2362752.0
49,0.0,0.0,1584576.0,2322544.0
50,0.0,0.0,1685376.0,2766176.0
51,0.0,0.0,1697584.0,3080672.0
52,0.0,0.0,1669248.0,8029957.333333333
53,0.0,0.0,1657152.0,2790368.0
54,0.0,0.0,1657264.0,2597290.6666666665
55,0.0,0.0,1689520.0,2479904.0
56,0.0,0.0,1899072.0,2524368.0
57,0.0,0.0,2213568.0,2431296.0
58,0.0,0.0,2258032.0,2487744.0
59,0.0,0.0,2254000.0,2479792.0
60,0.0,0.0,2261952.0,2487744.0
61,0.0,0.0,2048714.6666666667,2487744.0
62,0.0,0.0,2032128.0,2487744.0
