index,1_port1,1_port2,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,4_port3,5_port4,5_port1,5_port2,5_port3,6_port1,6_port4,6_port2,6_port3,7_port1,7_port2,7_port3,8_port1,8_port2,8_port3,9_port4,9_port1,9_port2,9_port3,10_port4,10_port1,10_port2,10_port3,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8
21,320,883328,1322816,320,883328,320,320,320,4637120,887360,2544512,883328,883328,2096960,320,160,3310432,883328,320,1548720,320,1326848,320,320,1544688,320,883328,320,480,665712,439808,320,0,1681344,3165120,0,846720,0,633136,419328
22,320,875264,1314752,320,875264,160,320,320,4600944,875264,2512256,875264,875264,2080944,320,320,3286512,875264,320,1532544,320,1314752,320,320,1532704,320,875264,320,640,657760,439808,480,0,1971648,3689392,0,983808,0,738080,491904
23,320,1246208,1310720,320,1246208,320,320,320,4592768,875264,2516288,1246208,875264,2072928,320,320,3286400,875264,320,1899392,320,1310560,160,160,1532480,320,875264,367232,320,653504,439808,320,346752,1685376,3161088,0,842688,0,633024,423360
24,160,1310560,1568768,320,1310720,320,320,320,4846784,875264,2766272,1310720,875104,2080832,320,320,3278336,875264,320,1971968,320,1568768,320,320,1532480,320,1129280,439808,320,657536,435776,320,423360,1685376,3165120,0,1056384,0,633024,419328
25,320,1322816,1011472,320,1322816,320,160,320,4301744,879136,2221392,1322816,879296,2088896,320,320,3294464,879296,320,1980032,320,1007600,320,320,1536512,320,572144,443840,320,657536,439808,320,459648,1846656,3455424,0,668592,0,689472,463680
26,320,1342976,1846976,320,1342976,320,320,160,5205632,895424,2129376,1342976,895424,5229824,320,320,3358976,895610.6667,160,2016320,160,1855040,320,320,1568928,320,1403456,447872,320,673664,447872,320,391104,2705472,2919168,0,391104,786240,584640,387072
27,320,1318970.667,1867322.667,320,1318784,320,320,320,5161120,879296,2084864,1318784,879296,9511808,320,320,3294464,879296,320,1976000,320,1863104,320,320,1536512,320,1427648,439808,160,657376,439808,320,491904,9176832,3689280,0,491904,1104768,737856,491904
28,320,1318896,1867248,506.6666667,1318896,320,320,320,5161578.667,939776,2089008,1318896,947840,9507776,320,320,3290618.667,943808,320,1976112,320,1867248,320,320,1536352,320,1427760,439920,320,661568,439648,160,419328,7745584,3120768,0,415408,935424,624960,415296
29,506.6666667,1318896,2165504,320,1319082.667,320,320,320,5463792,1540656,2085136,1314864,1536810.667,9802112,320,320,3298608,1536624,320,1976112,320,2165504,320,320,1540656,160,1726042.667,435776,320,657536,439994.6667,320,1060416,7955360,3197488,0,637056,959616,641088,427392
30,320,1318784,2528384,320,1318784,320,320,320,5818608,1540656,2096800,1322842.667,1540656,9644042.667,506.6666667,320,3298608,1540656,506.6666667,1984064,320,2532416,320,320,1536512,320,2092928,443840,320,661568,439808,320,1165360,8603194.667,3499888,0,1161216,1048320,697536,467712
31,320,1318784,3286400,160,1318624,320,320,320,5838768,2298672,2089008,1318784,1536624,3737824,160,506.6666667,3302640,2294640,320,1976000,320,3286586.667,506.6666667,320,1540544,320,2846912,439808,320,661568,439808,506.6666667,1060416,1689408,3161088,0,1056384,1608768,633024,419328
32,909.3333333,1319485.333,3408061.333,909.3333333,1319485.333,909.3333333,909.3333333,909.3333333,5815053.333,2412157.333,2085453.333,1319373.333,1541133.333,3734728,1021.333333,749.3333333,3294893.333,2416029.333,909.3333333,1980920,909.3333333,3404029.333,909.3333333,909.3333333,2029304,909.3333333,2964541.333,440557.3333,909.3333333,658125.3333,440397.3333,909.3333333,1116864,1790320,3358880,0,1564416,1899184,673344,447552
33,320,774922.6667,3411616,320,774922.6667,160,320,506.6666667,5826784,2419520,2089082.667,770890.6667,1536512,3734176,320,320,3294464,2419520,320,1431978.667,320,3407584,320,160,1545034.667,320,2968096,440128,320,657536,439808,320,1060416,1266506.667,3185280,0,1588608,1810480,637056,427392
34,320,447872,3435088,320,447872,320,320,320,5890688,2443824,2117232,451904,1560656,3777808,320,320,3334896,2447856,320,1117520,506.6666667,3438960,160,320,1226544,320,2999520,444000,960,670154.6667,443952,320,1233904,979776,3681328,0,1846656,2088080,734160,492016
35,160,443904,3084864,320,444064,506.6666667,320,320,5452266.667,2427584,2045114.667,440032,1544576,3411392,320,320,3246538.667,2423552,320,1097248,320,3080992,320,320,1214176,506.6666667,2645536,439808,320,661568,443840,480,1056384,846832,3153482.667,0,1580544,1471792,633024,419328
36,320,443840,3104960,320,443840,320,346.6666667,320,4887104,2443552,1439744,443840,1552640,3443760,320,320,2669504,2443712,320,1113152,320,3104960,320,320,1217984,320,2661440,444026.6667,506.6666667,665600,443840,320,1052464,846720,2532096,0,1576512,1479856,633024,423360
37,320,439920,3080880,320,439920,320,320,160,3978922.667,2423738.667,1431792,439920,1544576,2547450.667,320,320,1777338.667,2427584,160,1101168,160,3088944,320,320,1218144,320,2637360,5784565.333,320,661568,439808,320,1080576,858928,1837498.667,0,1616944,6884869.333,645120,427392
38,320,440032,3085024,320,440032,320,320,320,3955888,11261808,1427920,440032,10398960,2528608,320,8826480,1762416,2415600,320,1101280,320,3080992,320,320,1209920,320,2641504,440032,160,657376,439808,320,1080800,8060080,1729840,0,1625120,1516032,649152,435456
39,320,439808,3076736,320,439808,320,320,320,3963776,7102197.333,1435712,439808,6207093.333,2536448,320,4699125.333,1762304,2419520,320,1101056,320,3072704,320,506.6666667,1209760,320,2641280,443840,320,661568,439648,160,1185408,7279285.333,1895040,4032,1774080,1653120,709632,471744
40,320,439920,3064752,320,439920,320,320,320,3951680,2415600,1427648,439808,1536512,2520320,432,320,1754240,2415600,320,1097136,320,3080880,320,320,1210144,160,2629136,435728,320,657536,439808,320,1052352,842688,1685488,0,1580656,1479968,633024,423360
