port1,port2
11732,11232
480,740
480,720
480,480
480,480
480,480
480,760
720,480
980,720
760,980
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,760
720,480
480,720
480,480
6696116,480
7209696,980
7191792,720
7228120,480
7185504,480
7197600,480
7203648,480
7209936,720
7191552,480
5705472,480
3091008,480
3084960,480
3085200,480
3091008,720
3084960,480
368808,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,760
480,480
480,480
720,720
480,480
480,480
480,480
480,480
1220,720
480,980
480,480
480,480
480,480
720,720
480,480
480,480
760,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,760
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
980,480
480,980
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
760,480
720,480
480,720
7584672,480
8256000,480
8207616,480
8274144,480
8207856,720
8237856,480
8237856,480
8225760,480
8219712,480
3219984,6768
3078912,480
3084960,480
3091008,480
3084960,480
3085200,480
3091008,720
3084960,480
3103104,480
752680,6528
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,760
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,3792816
480,4324800
480,3907488
480,4113120
480,4094976
720,4131264
480,4131504
480,4107072
480,4113120
480,4113120
480,4101024
720,4125456
480,4119168
480,4107072
980,4113620
480,4119168
720,4113120
6528,348224
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
760,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
5794704,720
6169440,480
6187584,480
6157344,480
6175488,480
6169680,720
6187584,480
6169440,480
6169440,480
6169680,720
6181536,480
6169440,480
6187584,480
3861352,6528
3091248,720
3084960,480
3218016,480
2957952,480
3084960,480
3085200,720
3091008,480
3091008,480
3091008,480
3085200,720
3084960,480
311696,6528
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,760
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
5746320,720
6157344,480
6187584,480
6181536,480
6169440,480
6169680,720
6181536,480
6163392,480
6187584,480
6169680,480
6175488,720
6163392,480
6175488,480
6175488,480
4946864,6768
3084960,480
3091008,480
3084960,480
3091008,480
3085200,720
1841840,6528
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
980,980
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
760,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
4530432,480
5147328,480
1187856,6768
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,480
480,720
480,480
7385088,480
8237856,480
8213664,480
8244144,720
8207616,480
8243904,480
8219712,480
8231808,480
8219952,480
8243904,720
8207616,480
8249952,480
8219712,480
8244144,480
5029136,6768
3091008,480
3084960,480
3242208,480
2927712,480
2703576,6768
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
4675824,480
5141280,720
5153376,480
5141280,480
5147328,480
5141520,720
5153376,480
5141280,480
5147328,480
5147568,480
5141280,720
5141280,480
1711464,6528
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
480,480
720,720
480,480
480,760
480,480
480,480
720,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,720
480,480
480,480
480,480
720,480
480,720
