port1,port2,port3,port4,port5
10992.0,10992.0,11352.0,12212.0,12212.0
980.0,980.0,980.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,720.0,720.0,480.0,720.0
480.0,480.0,480.0,480.0,480.0
1000.0,480.0,760.0,1000.0,480.0
480.0,760.0,480.0,480.0,480.0
480.0,480.0,480.0,980.0,980.0
980.0,980.0,980.0,480.0,760.0
480.0,720.0,720.0,480.0,720.0
720.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
720.0,720.0,480.0,720.0,2655792.0
480.0,480.0,480.0,1101216.0,3097056.0
480.0,480.0,480.0,3084960.0,3078912.0
480.0,480.0,480.0,3084960.0,3091008.0
480.0,480.0,1101456.0,3109152.0,3103344.0
720.0,720.0,3084960.0,3079152.0,3078912.0
480.0,480.0,3091288.0,3091008.0,4572768.0
760.0,760.0,3097056.0,3103384.0,7227840.0
480.0,480.0,3078912.0,4863072.0,7179456.0
720.0,720.0,3091248.0,8250452.0,7137860.0
980.0,980.0,3091508.0,8232048.0,7197600.0
480.0,480.0,3078912.0,8225760.0,7197600.0
480.0,480.0,3097056.0,8256000.0,7222072.0
480.0,480.0,3085200.0,8213664.0,7191552.0
720.0,720.0,3084960.0,8225760.0,7197840.0
480.0,480.0,3084960.0,8238096.0,7203648.0
480.0,480.0,3091008.0,8237856.0,7209696.0
480.0,480.0,3084960.0,8213664.0,7191552.0
480.0,6528.0,3084960.0,8237856.0,5729664.0
480.0,720.0,3091248.0,8231808.0,3085200.0
720.0,480.0,3084960.0,8238096.0,3091008.0
480.0,6528.0,3084960.0,5355208.0,3084960.0
480.0,480.0,3091008.0,3091008.0,3091008.0
480.0,6528.0,924704.0,3084960.0,3084960.0
480.0,6528.0,720.0,3072864.0,381144.0
720.0,720.0,480.0,3097296.0,480.0
480.0,480.0,480.0,3084960.0,480.0
480.0,480.0,480.0,3097056.0,480.0
480.0,6528.0,480.0,898352.0,480.0
480.0,720.0,720.0,480.0,720.0
720.0,696000.0,480.0,720.0,480.0
480.0,1028640.0,480.0,480.0,480.0
480.0,1028640.0,480.0,480.0,480.0
480.0,1028640.0,720.0,480.0,480.0
720.0,1028880.0,480.0,480.0,720.0
480.0,1028640.0,480.0,720.0,683904.0
480.0,1028640.0,158008.0,480.0,1028640.0
480.0,1083072.0,1294752.0,480.0,1077024.0
760.0,980536.0,1966320.0,760.0,980256.0
480.0,1028880.0,2056800.0,480.0,1028880.0
720.0,1040736.0,2080992.0,720.0,1040736.0
480.0,1016544.0,2032608.0,980.0,1023092.0
980.0,1035188.0,2069396.0,480.0,1028640.0
480.0,1022592.0,2050992.0,617376.0,1028640.0
720.0,1028880.0,2050752.0,950256.0,1028880.0
480.0,1034688.0,2068896.0,950016.0,1028640.0
480.0,1028640.0,2056800.0,950016.0,1034968.0
480.0,1028640.0,2056800.0,950016.0,1028640.0
480.0,1028640.0,2057040.0,943968.0,1028880.0
720.0,1034928.0,2062848.0,950256.0,1028640.0
480.0,1585056.0,2056800.0,950016.0,1028640.0
480.0,1869312.0,2056800.0,950016.0,1028640.0
480.0,1869312.0,2062848.0,943968.0,1028640.0
480.0,1875360.0,2057040.0,950016.0,1028880.0
720.0,1869552.0,2341056.0,950256.0,1034688.0
480.0,1875360.0,4119168.0,950016.0,1028640.0
480.0,1875360.0,4119168.0,950016.0,1028640.0
480.0,1875360.0,3940016.0,943968.0,1028640.0
480.0,1875360.0,3085200.0,950016.0,1028880.0
720.0,1869552.0,3097056.0,950256.0,1034688.0
480.0,1869312.0,3084960.0,950016.0,1028640.0
480.0,1875360.0,3084960.0,2262432.0,1028640.0
480.0,1869312.0,3084960.0,3006336.0,1143552.0
480.0,2147520.0,3097296.0,3012384.0,1869312.0
480.0,3925872.0,3084960.0,3000288.0,1875600.0
720.0,3937728.0,3091008.0,3006576.0,1875360.0
480.0,3925632.0,3084960.0,3006336.0,1869312.0
480.0,3925632.0,3084960.0,3012384.0,1875360.0
480.0,3943776.0,3091008.0,3006336.0,1869312.0
