port1,port2,port3,port4,port5
10992,11492,11572,11852,11852
980,480,480,480,480
480,480,720,480,480
720,720,480,720,720
480,480,480,480,480
480,480,480,480,480
480,760,480,480,480
480,480,480,480,480
760,980,1220,980,1500
1220,720,760,1000,480
480,480,480,480,480
480,480,480,480,480
480,480,480,480,480
480,720,720,480,720
720,480,480,720,480
2673696,480,480,480,480
4209888,480,480,480,480
6169440,480,720,480,480
6169680,720,480,480,720
7330656,480,480,720,480
9235776,480,480,480,480
10784064,760,480,480,480
13427040,480,720,480,720
15138864,720,480,720,480
11824600,6720308,980,980,1260
11328884,7203648,480,480,480
11298144,7191552,480,480,480
11346528,7221792,1000,760,720
11298384,7191792,480,720,480
11310240,7197600,480,480,480
11328384,7209696,480,480,480
11322336,7197600,480,480,480
11304192,7197600,720,480,720
11316528,5693616,480,720,6528
11334432,3091008,480,480,480
11310240,3084960,480,480,480
8415496,3084960,480,480,6528
6181536,3091008,720,480,480
3991280,3091248,480,6528,720
3072864,356712,480,720,6528
3103104,480,480,480,480
3084960,480,480,480,480
3091008,480,720,480,480
886496,720,6528,720,720
480,480,480,480,480
480,480,480,689952,480
480,480,480,1028640,480
480,480,720,1028640,720
720,720,480,1028880,480
480,480,480,1028640,480
689952,760,480,1028640,480
1191936,480,480,1034688,480
2377584,720,720,1077024,720
2939808,480,480,980496,480
3091008,480,480,1028640,480
3115200,480,480,1040736,760
3061048,980,980,1017044,980
3097556,720,720,1034688,720
3702096,480,480,1028880,480
4022400,480,480,1022592,480
4046592,480,480,1034688,480
4034496,480,480,1028640,480
4040544,720,720,1028640,720
4034736,480,480,1028880,480
4040544,480,480,1034968,480
4034496,480,551128,1028640,480
4028448,480,841392,1028640,480
4040784,720,847200,1028640,720
4034496,480,841152,1028880,480
4336896,480,841152,1028640,480
6090816,480,847200,1028640,480
6096864,480,841392,1034688,480
5905856,720,847200,1034688,720
5068704,480,841152,1028880,480
5074752,480,847200,1028640,480
5056608,480,841152,1028640,480
6381120,480,841152,1028640,480
7245984,720,847440,1034688,720
7978032,480,841152,1028880,254496
7965696,480,847200,1028640,2056800
7965696,480,841152,1028640,2062848
7959648,480,841152,1028640,2056800
7965696,480,841392,1028640,2056800
7978032,720,847200,1034688,2063088
8491872,480,739024,1028880,2050752
8487032,480,480,1028640,2068896
6768192,480,480,1028640,2062848
6731904,480,480,1028640,2050752
6774480,720,720,1028640,2063088
6744000,480,480,1028880,2056800
6737952,480,480,1028640,2056800
6762144,480,480,1034688,2062848
5426744,480,480,1034688,1784080
4699776,480,121680,322752,720
4693968,720,1028640,720,480
4699776,480,1028640,480,480
4687680,480,1028640,480,480
4693728,480,1028640,480,480
4681632,720,1028880,480,720
4514256,480,1040736,720,480
3671616,480,1028640,480,480
3391768,480,1028640,6528,480
1397136,480,1040736,480,480
841152,480,1028880,480,720
841392,720,1028640,720,480
847200,760,1028640,480,480
841152,480,1034688,480,480
847200,480,1028640,480,480
841152,480,1028880,480,720
841392,720,1028640,720,480
847200,480,1034688,480,480
841152,480,1022592,480,480
847200,480,1034688,480,480
841152,480,1022832,480,1000
841392,720,1034688,720,480
841152,480,1028640,480,480
847200,480,1028640,480,480
841152,480,1028640,480,480
847200,720,1028880,480,720
841672,480,1028640,720,480
841152,980,1029140,980,980
847700,480,1028640,480,480
841152,480,1034688,480,480
358520,720,1083312,480,720
720,480,980256,480,480
480,480,1034688,720,480
480,480,1022592,480,480
480,480,1028640,480,480
480,480,1028880,480,720
720,720,1034688,720,480
480,480,1028640,480,480
480,480,1028640,480,480
480,480,1028640,480,480
6528,720,900232,480,720
720,480,480,720,480
284736,480,480,480,480
3084960,480,480,480,480
3091008,480,480,480,480
4893312,480,720,480,720
6181776,720,480,720,480
6417408,480,480,480,480
9671232,480,760,760,480
13287936,480,480,480,480
16342176,480,720,480,480
10905264,7603056,480,480,720
10312320,8256000,480,720,480
10263936,8207616,480,480,480
10336512,8274144,480,480,480
10263936,8207616,480,480,480
10300464,8244144,720,480,720
10300224,8231808,480,720,480
10276032,8225760,480,480,480
10294176,8231808,480,480,480
10294176,3195552,480,6528,480
10245792,3078912,720,480,720
9966704,3091248,480,720,6528
6169440,3084960,480,480,480
6181536,3091008,480,480,480
6169440,3084960,480,480,480
6181536,3091008,720,480,480
6169680,3085200,480,480,720
6181536,3091008,480,720,480
2984312,752680,6528,12576,480
