,1_port1,1_port2,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,4_port3,5_port4,5_port1,5_port2,5_port3,6_port1,6_port4,6_port2,6_port3,7_port1,7_port2,7_port3,8_port1,8_port2,8_port3,9_port1,9_port4,9_port2,9_port3,10_port4,10_port1,10_port2,10_port3,Host_5,Host_7,Host_3,Host_8,Host_6,Host_1,Host_2,Host_4
0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6824.0,6824.0,6984.0,7304.0,6984.0,6984.0,7304.0,6984.0,7178.666666666667,6984.0,7224.0,6824.0,6824.0,6984.0,6984.0,6984.0,6984.0,6984.0,6877.333333333333,6984.0,7304.0,7224.0,6984.0,6984.0,7277.333333333333,633024.0,4032.0,0.0,0.0,0.0,0.0,0.0,0.0
1,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,445.3333333333333,445.3333333333333,445.3333333333333,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,605.3333333333334,1116864.0,608832.0,1008000.0,0.0,0.0,0.0,0.0,0.0
2,320.0,320.0,320.0,320.0,320.0,320.0,320.0,506.6666666666667,320.0,320.0,320.0,506.6666666666667,506.6666666666667,320.0,320.0,506.6666666666667,320.0,160.0,320.0,320.0,320.0,320.0,506.6666666666667,506.6666666666667,320.0,506.6666666666667,506.6666666666667,320.0,346.6666666666667,160.0,160.0,506.6666666666667,947520.0,528192.0,6177024.0,0.0,0.0,0.0,0.0,0.0
3,792.0,506.6666666666667,859608.0,792.0,792.0,792.0,792.0,605.3333333333334,77114.66666666667,778968.0,792.0,605.3333333333334,605.3333333333334,77400.0,792.0,605.3333333333334,506.6666666666667,774936.0,506.6666666666667,792.0,506.6666666666667,859448.0,445.3333333333333,605.3333333333334,506.6666666666667,605.3333333333334,782528.0,792.0,605.3333333333334,506.6666666666667,81146.66666666667,445.3333333333333,1104768.0,612864.0,7205184.0,0.0,0.0,0.0,0.0,0.0
4,320.0,605.3333333333334,1520224.0,1109120.0,160.0,160.0,320.0,1121216.0,544925.3333333334,976064.0,320.0,320.0,320.0,544640.0,320.0,320.0,1129565.3333333333,980096.0,605.3333333333334,320.0,605.3333333333334,1524416.0,1097024.0,320.0,605.3333333333334,320.0,980381.3333333334,1088960.0,320.0,605.3333333333334,544925.3333333334,320.0,209664.0,524160.0,6168960.0,0.0,0.0,0.0,0.0,0.0
5,320.0,160.0,1689728.0,7056320.0,320.0,320.0,320.0,7056320.0,605120.0,1084928.0,320.0,320.0,160.0,601088.0,320.0,320.0,7056320.0,1084928.0,320.0,320.0,320.0,1685696.0,7056320.0,320.0,160.0,320.0,1080896.0,7056320.0,320.0,320.0,601088.0,320.0,947520.0,528192.0,6177024.0,0.0,0.0,0.0,0.0,0.0
6,320.0,320.0,1544576.0,6475712.0,320.0,320.0,160.0,6471680.0,552704.0,996224.0,320.0,160.0,320.0,552704.0,320.0,320.0,6475712.0,992192.0,320.0,320.0,320.0,1548608.0,6479744.0,160.0,320.0,320.0,996224.0,6475712.0,320.0,320.0,552704.0,320.0,951552.0,528192.0,6193152.0,350784.0,0.0,0.0,0.0,0.0
7,346.6666666666667,320.0,1524416.0,6374752.0,320.0,320.0,320.0,6379130.666666667,544640.0,980096.0,320.0,506.6666666666667,506.6666666666667,544640.0,320.0,506.6666666666667,6374912.0,980096.0,506.6666666666667,320.0,320.0,1524416.0,6375098.666666667,254522.66666666663,320.0,506.6666666666667,1234138.6666666667,6378944.0,506.6666666666667,320.0,544640.0,254336.0,1108800.0,612864.0,7209216.0,612864.0,0.0,0.0,0.0,0.0
8,605.3333333333334,506.6666666666667,1524888.0,6387480.0,605.3333333333334,506.6666666666667,792.0,6383261.333333333,544826.6666666666,980122.6666666666,605.3333333333334,605.3333333333334,605.3333333333334,545112.0,792.0,605.3333333333334,6387194.666666667,984600.0,320.0,792.0,346.6666666666667,1524888.0,6383261.333333333,653789.3333333334,320.0,445.3333333333333,1633280.0,6379416.0,605.3333333333334,506.6666666666667,544826.6666666666,653976.0,947520.0,528192.0,6177024.0,528192.0,0.0,0.0,0.0,0.0
9,320.0,605.3333333333334,1560704.0,6520064.0,506.6666666666667,605.3333333333334,320.0,6524096.0,557021.3333333334,1000541.3333333334,506.6666666666667,320.0,320.0,556736.0,320.0,320.0,6520349.333333333,1000256.0,445.3333333333333,160.0,605.3333333333334,1556672.0,6955520.0,669632.0,792.0,431744.0,1673885.3333333333,6523936.0,320.0,605.3333333333334,992477.3333333334,669632.0,955584.0,532224.0,6233472.0,532224.0,5189184.0,0.0,0.0,0.0
10,320.0,320.0,1560704.0,6540224.0,320.0,320.0,320.0,6536032.0,556576.0,1004288.0,160.0,320.0,320.0,560768.0,320.0,320.0,6540224.0,1004288.0,320.0,320.0,320.0,1560704.0,7096640.0,669632.0,320.0,560768.0,1673600.0,6540224.0,320.0,320.0,1117184.0,669632.0,677376.0,478021.3333333333,6644736.0,568512.0,11071872.0,4032.0,0.0,0.0
11,320.0,320.0,1544576.0,6471680.0,320.0,320.0,320.0,6475712.0,552704.0,996224.0,320.0,320.0,320.0,552544.0,160.0,160.0,6475712.0,996224.0,320.0,320.0,320.0,1548608.0,7028096.0,661568.0,320.0,552704.0,1657472.0,6471680.0,320.0,320.0,1105088.0,661568.0,633024.0,0.0,6177024.0,786240.0,10293696.0,0.0,0.0,0.0
12,320.0,320.0,1548608.0,6479744.0,320.0,320.0,320.0,6479744.0,552704.0,996224.0,320.0,320.0,320.0,552704.0,320.0,320.0,6475552.0,992032.0,320.0,320.0,320.0,1552640.0,7032128.0,7278080.0,320.0,552704.0,8282048.0,6475712.0,160.0,320.0,1105088.0,7257920.0,687685.3333333334,4032.0,6793920.0,1713600.0,11325888.0,0.0,0.0,0.0
13,320.0,320.0,1421829.3333333333,6624896.0,320.0,320.0,320.0,6620864.0,405765.3333333333,1016384.0,320.0,320.0,4352.0,405765.3333333333,320.0,320.0,6620864.0,1020416.0,320.0,320.0,320.0,1417797.3333333333,7181312.0,11701184.0,320.0,564800.0,12721280.0,6624896.0,320.0,160.0,966053.3333333334,11705216.0,4032.0,0.0,7205184.0,1814400.0,12003264.0,0.0,0.0,0.0
14,320.0,320.0,984128.0,6391040.0,320.0,320.0,320.0,6395072.0,320.0,984128.0,320.0,320.0,320.0,320.0,320.0,320.0,6391040.0,980096.0,320.0,320.0,320.0,979936.0,7366624.0,11310080.0,320.0,972032.0,12297920.0,6391040.0,320.0,320.0,980096.0,11309920.0,0.0,0.0,2895728.0,1540224.0,10176768.0,423360.0,0.0,0.0
15,320.0,320.0,1000096.0,6520064.0,160.0,160.0,320.0,6516032.0,320.0,1000256.0,320.0,320.0,320.0,320.0,320.0,506.6666666666667,6520064.0,1004288.0,320.0,320.0,320.0,1004288.0,8165120.0,11449413.333333334,160.0,1645376.0,12449536.0,6524096.0,320.0,320.0,1649408.0,11453445.333333334,0.0,0.0,0.0,1556352.0,10289664.0,0.0,0.0,0.0
16,320.0,160.0,1004288.0,6512000.0,320.0,320.0,320.0,6512000.0,320.0,1000256.0,320.0,320.0,160.0,320.0,320.0,320.0,6512000.0,1000256.0,320.0,320.0,320.0,1000256.0,8153024.0,10846240.0,320.0,1641344.0,11842304.0,6512000.0,320.0,320.0,1637312.0,10838336.0,0.0,0.0,0.0,1473925.3333333333,4032.0,987840.0,0.0,0.0
17,506.6666666666667,320.0,1008320.0,3299088.0,320.0,320.0,160.0,3291370.6666666665,320.0,1012352.0,320.0,346.6666666666667,488378.6666666667,320.0,320.0,320.0,2791216.0,1012352.0,506.6666666666667,320.0,320.0,1012352.0,4964650.666666667,10927226.666666666,320.0,2137466.6666666665,11931008.0,2831536.0,506.6666666666667,320.0,1653440.0,10927040.0,951552.0,0.0,0.0,528192.0,0.0,842688.0,0.0,0.0
18,160.0,320.0,8040128.0,895610.6666666666,605.3333333333334,320.0,320.0,895424.0,7020032.0,1008160.0,605.3333333333334,320.0,895424.0,7012253.333333333,605.3333333333334,605.3333333333334,506.6666666666667,1004288.0,320.0,320.0,506.6666666666667,8048477.333333333,2544512.0,10918976.0,320.0,2544797.333333333,11930848.0,605.3333333333334,320.0,320.0,8713472.0,10923480.0,0.0,0.0,0.0,524160.0,0.0,4032.0,0.0,0.0
19,605.3333333333334,792.0,8665560.0,895709.3333333334,320.0,792.0,792.0,895709.3333333334,7657560.0,1008792.0,320.0,605.3333333333334,899741.3333333334,7653242.666666667,506.6666666666667,320.0,605.3333333333334,1008605.3333333334,605.3333333333334,792.0,445.3333333333333,8665088.0,2168034.6666666665,10923293.333333334,605.3333333333334,2163557.333333333,11931293.333333334,160.0,4637.333333333333,792.0,8917789.333333334,10918976.0,0.0,4032.0,0.0,616896.0,0.0,0.0,3620736.0,0.0
20,320.0,320.0,8657024.0,895424.0,320.0,320.0,320.0,895264.0,7653056.0,1008320.0,320.0,320.0,895424.0,7653056.0,320.0,320.0,320.0,1008506.6666666666,160.0,160.0,320.0,8661242.666666666,1451840.0,10935104.0,506.6666666666667,1455872.0,11943104.0,506.6666666666667,320.0,320.0,8213504.0,10931072.0,0.0,0.0,0.0,528192.0,0.0,633024.0,7209216.0,0.0
21,320.0,320.0,6079482.666666667,959936.0,506.6666666666667,320.0,320.0,968000.0,5930138.666666667,984128.0,346.6666666666667,320.0,963968.0,5938202.666666667,320.0,320.0,826880.0,984128.0,320.0,320.0,320.0,6067386.666666667,1504256.0,10681088.0,320.0,1423616.0,11664896.0,80960.0,320.0,320.0,5611770.666666667,10681088.0,0.0,0.0,4032.0,532224.0,0.0,641088.0,2580480.0,0.0
22,320.0,320.0,1004288.0,1568768.0,320.0,320.0,320.0,1560704.0,1088960.0,4770176.0,320.0,320.0,5338688.0,1092992.0,160.0,160.0,1092832.0,4762112.0,320.0,320.0,320.0,1004288.0,2125184.0,5318074.666666667,320.0,1455872.0,6301882.666666667,669632.0,320.0,320.0,564800.0,5338234.666666667,0.0,0.0,0.0,608832.0,0.0,0.0,0.0,0.0
23,320.0,320.0,996224.0,1544576.0,320.0,320.0,320.0,1544576.0,1080896.0,8556224.0,320.0,320.0,9112640.0,1080896.0,320.0,320.0,1080896.0,8552032.0,320.0,320.0,320.0,996224.0,2105024.0,320.0,320.0,1439744.0,996224.0,665600.0,160.0,160.0,552704.0,320.0,0.0,0.0,0.0,524160.0,0.0,628992.0,0.0,0.0
