,port1,1_port2,port1,2_port2,port1,3_port2,3_port3,port1,4_port2,4_port3,port4,5_port1,5_port2,5_port3,port1,6_port4,6_port2,6_port3,port1,7_port2,7_port3,port1,8_port2,8_port3,port1,9_port4,9_port2,9_port3,port1,10_port4,10_port2,10_port3,Host_8,Host_2,Host_5,Host_3,Host_7,Host_4,Host_6,Host_1
12,160.0,320.0,10542213.333333334,7665152.0,320.0,320.0,320.0,7657088.0,12416.0,10518021.333333334,8384.0,320.0,7661120.0,320.0,320.0,10358528.0,40640.0,159653.33333333334,320.0,320.0,320.0,10558341.333333334,7661120.0,4352.0,320.0,320.0,10419008.0,7665152.0,320.0,4352.0,155781.33333333334,1071045.3333333333,0.0,9555840.0,0.0,0.0,114901.33333333331,520128.0,8064.0,0.0
13,320.0,160.0,10926880.0,7656928.0,320.0,320.0,320.0,7665152.0,7657088.0,10935104.0,7649024.0,320.0,7657088.0,320.0,320.0,10923008.0,7644992.0,320.0,320.0,320.0,320.0,10931072.0,7657088.0,320.0,320.0,320.0,10931072.0,7653056.0,320.0,4352.0,320.0,4352.0,0.0,7584192.0,0.0,7580160.0,0.0,887040.0,318528.0,0.0
14,320.0,320.0,10906880.0,7636928.0,320.0,320.0,320.0,7636928.0,7636768.0,10914944.0,7636928.0,320.0,7636928.0,320.0,320.0,10906880.0,7636928.0,320.0,320.0,320.0,320.0,10906880.0,7636928.0,320.0,320.0,320.0,10910912.0,7636928.0,320.0,320.0,160.0,320.0,0.0,7217280.0,0.0,7221312.0,0.0,846720.0,947520.0,4032.0
15,320.0,320.0,10862528.0,7600640.0,320.0,160.0,320.0,7604672.0,7604672.0,10862528.0,7604672.0,320.0,7604672.0,320.0,320.0,10862528.0,7604672.0,320.0,320.0,320.0,320.0,10862528.0,16857952.0,320.0,320.0,10261760.0,10862528.0,6580544.0,160.0,320.0,12354368.0,320.0,0.0,7201152.0,0.0,7205184.0,0.0,842688.0,0.0,943488.0
16,320.0,320.0,10697216.0,7491776.0,160.0,506.6666666666667,506.6666666666667,7483712.0,7483712.0,10693370.666666666,7487744.0,320.0,7487744.0,320.0,320.0,10697216.0,7487744.0,320.0,346.6666666666667,320.0,320.0,10697216.0,18716864.0,320.0,160.0,13358336.0,10697216.0,5358848.0,320.0,320.0,14975354.666666666,506.6666666666667,0.0,8406720.0,0.0,0.0,0.0,983808.0,0.0,1104768.0
17,320.0,320.0,1061882.6666666667,7596608.0,320.0,320.0,160.0,7600640.0,7588730.666666667,1077664.0,7584512.0,320.0,7584512.0,320.0,320.0,1093952.0,7596608.0,320.0,320.0,346.6666666666667,320.0,1041536.0,18958624.0,320.0,320.0,12398720.0,1021376.0,6560384.0,320.0,506.6666666666667,13774064.0,320.0,0.0,4032.0,0.0,6556784.0,0.0,778176.0,878976.0,878976.0
18,605.3333333333334,320.0,605.3333333333334,8137368.0,506.6666666666667,320.0,320.0,8133149.333333333,7568669.333333333,605.3333333333334,7568856.0,320.0,7568856.0,605.3333333333334,320.0,605.3333333333334,8133149.333333333,792.0,320.0,320.0,346.6666666666667,320.0,11122581.333333334,8570.666666666666,320.0,1421616.0,8224.0,9717912.0,506.6666666666667,605.3333333333334,9957.333333333334,8384.0,0.0,0.0,0.0,4032.0,786240.0,911232.0,1020096.0,1020096.0
19,320.0,605.3333333333334,343040.0,8334464.0,605.3333333333334,605.3333333333334,605.3333333333334,8342714.666666667,7810304.0,320.0,7810144.0,445.3333333333333,7467584.0,320.0,792.0,506.6666666666667,8342528.0,320.0,605.3333333333334,605.3333333333334,605.3333333333334,347357.3333333333,8342813.333333333,605.3333333333334,605.3333333333334,605.3333333333334,347357.3333333333,8342368.0,605.3333333333334,320.0,605.3333333333334,605.3333333333334,0.0,0.0,0.0,0.0,1108800.0,983808.0,1108800.0,1108800.0
20,506.6666666666667,320.0,996224.0,8447360.0,320.0,320.0,320.0,8443168.0,8556224.0,72896.0,8556224.0,506.6666666666667,7636768.0,346.6666666666667,320.0,320.0,8447546.666666666,72896.0,320.0,320.0,320.0,996410.6666666666,8443514.666666666,320.0,506.6666666666667,320.0,996410.6666666666,8447360.0,320.0,320.0,320.0,320.0,5491584.0,0.0,0.0,0.0,947520.0,842688.0,0.0,947520.0
21,320.0,506.6666666666667,1008320.0,8548160.0,320.0,320.0,320.0,8544128.0,8657024.0,1008320.0,8652992.0,320.0,8657024.0,320.0,320.0,320.0,8544128.0,1008320.0,320.0,320.0,320.0,1004128.0,8544128.0,160.0,320.0,320.0,1008320.0,8540096.0,320.0,160.0,320.0,320.0,0.0,0.0,0.0,0.0,951552.0,842688.0,951552.0,951552.0
22,320.0,320.0,984128.0,8334464.0,320.0,320.0,320.0,8346560.0,8455424.0,984128.0,8455424.0,320.0,8451392.0,320.0,160.0,160.0,8342528.0,984128.0,320.0,320.0,320.0,984128.0,8346560.0,320.0,320.0,320.0,984128.0,8346560.0,320.0,320.0,320.0,160.0,0.0,1358784.0,0.0,0.0,955584.0,850752.0,0.0,955584.0
23,160.0,320.0,1008320.0,3596410.6666666665,320.0,320.0,320.0,3576250.6666666665,7496560.0,1008320.0,7512688.0,320.0,3681082.6666666665,320.0,320.0,320.0,7371408.0,1008160.0,320.0,320.0,320.0,1008320.0,3600442.6666666665,320.0,320.0,320.0,1008320.0,3612538.6666666665,320.0,320.0,320.0,320.0,0.0,370944.0,0.0,0.0,1108800.0,983808.0,1108800.0,1108800.0
24,320.0,160.0,996064.0,887200.0,320.0,320.0,320.0,887360.0,1000256.0,996224.0,996224.0,320.0,1000256.0,320.0,320.0,320.0,887360.0,996224.0,320.0,320.0,320.0,1000256.0,1786496.0,320.0,320.0,320.0,996224.0,1786496.0,320.0,320.0,903488.0,320.0,0.0,0.0,0.0,0.0,1104768.0,983808.0,1104768.0,1104768.0
25,320.0,320.0,1004288.0,891392.0,320.0,160.0,320.0,891392.0,1004128.0,1008320.0,1008320.0,320.0,1004288.0,320.0,320.0,320.0,895424.0,1004288.0,320.0,320.0,320.0,1004288.0,1903424.0,320.0,320.0,320.0,1004288.0,1895360.0,320.0,320.0,1004128.0,320.0,0.0,0.0,4032.0,0.0,947520.0,842688.0,951552.0,947520.0
