,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,5_port4,5_port1,5_port5,5_port2,5_port3,6_port1,6_port2
2406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2411,0.0,0.0,14160.0,54432.0,0.0,0.0,66528.0,14160.0,0.0,0.0,0.0,11800.0,66528.0,0.0,0.0,0.0,0.0,0.0
2412,0.0,0.0,4720.0,3036096.0,0.0,0.0,3030048.0,4720.0,0.0,0.0,0.0,7080.0,3042144.0,0.0,0.0,0.0,0.0,0.0
2413,0.0,0.0,4720.0,3072384.0,0.0,0.0,3072384.0,4720.0,0.0,0.0,0.0,4720.0,3072384.0,0.0,0.0,0.0,0.0,0.0
2414,0.0,0.0,4720.0,3078432.0,0.0,0.0,3078432.0,4720.0,0.0,0.0,0.0,4720.0,3072384.0,0.0,0.0,0.0,0.0,0.0
2415,0.0,0.0,4720.0,5177088.0,0.0,0.0,5195232.0,4720.0,0.0,0.0,0.0,4720.0,5201280.0,0.0,0.0,0.0,0.0,0.0
2416,0.0,0.0,4720.0,7197120.0,0.0,0.0,7185024.0,4720.0,0.0,0.0,0.0,4720.0,7185024.0,0.0,0.0,0.0,0.0,0.0
2417,1542240.0,0.0,21240.0,7197120.0,0.0,0.0,8757504.0,21240.0,0.0,0.0,0.0,21240.0,8769600.0,0.0,0.0,0.0,0.0,0.0
2418,5134752.0,0.0,23600.0,7197120.0,0.0,0.0,12325824.0,23600.0,0.0,0.0,0.0,9440.0,12331872.0,14160.0,0.0,0.0,0.0,0.0
2419,7221312.0,0.0,16520.0,7197120.0,0.0,0.0,14442624.0,16520.0,0.0,0.0,0.0,9440.0,14454720.0,4720.0,0.0,0.0,0.0,0.0
2420,10257408.0,0.0,14160.0,7197120.0,0.0,0.0,17442432.0,11800.0,0.0,0.0,0.0,9440.0,17442432.0,4720.0,0.0,0.0,0.0,0.0
2421,8233096.0,4720.0,9440.0,7166880.0,5618592.0,4720.0,9787432.0,9440.0,0.0,5624640.0,4720.0,9440.0,9757192.0,4720.0,5642784.0,0.0,0.0,0.0
2422,4718816.0,4720.0,4720.0,6206456.0,6188312.0,4720.0,4700672.0,7080.0,0.0,6194360.0,4720.0,7080.0,4688576.0,4720.0,6182264.0,0.0,0.0,0.0
2423,6048.0,2360.0,2360.0,2136152.0,2130104.0,2360.0,6048.0,2360.0,0.0,2118008.0,2360.0,4720.0,6048.0,0.0,2111960.0,0.0,0.0,0.0
2424,0.0,2360.0,0.0,6048.0,6048.0,2360.0,0.0,0.0,0.0,6048.0,2360.0,2360.0,0.0,0.0,6048.0,0.0,0.0,0.0
2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,0.0,0.0,628992.0,14160.0,0.0,0.0,14160.0,628992.0,0.0,0.0,0.0,622944.0,14160.0,0.0,0.0,0.0,0.0,0.0
2430,0.0,0.0,2050272.0,4720.0,0.0,0.0,4720.0,2044224.0,0.0,0.0,0.0,2044224.0,4720.0,0.0,280.0,280.0,0.0,0.0
2431,0.0,0.0,2044224.0,4720.0,0.0,0.0,4720.0,2050272.0,0.0,0.0,0.0,2050272.0,4720.0,0.0,0.0,0.0,0.0,0.0
2432,0.0,0.0,2050272.0,4720.0,0.0,0.0,4720.0,2044224.0,0.0,0.0,0.0,2044224.0,4720.0,0.0,0.0,0.0,0.0,0.0
2433,14160.0,0.0,3725568.0,4720.0,0.0,0.0,18880.0,3713472.0,0.0,0.0,0.0,3695328.0,18880.0,0.0,0.0,0.0,0.0,0.0
2434,4720.0,0.0,7185024.0,4720.0,0.0,0.0,9440.0,7185024.0,0.0,0.0,0.0,7191072.0,9440.0,0.0,0.0,0.0,0.0,0.0
2435,4720.0,0.0,7172928.0,4720.0,0.0,0.0,9440.0,7172928.0,0.0,0.0,0.0,7172928.0,9440.0,0.0,0.0,0.0,0.0,0.0
2436,4720.0,0.0,10245312.0,18880.0,0.0,0.0,23600.0,10209024.0,0.0,0.0,0.0,7197120.0,23600.0,2999808.0,0.0,0.0,0.0,0.0
2437,4720.0,0.0,16450560.0,9440.0,0.0,0.0,14160.0,16456608.0,0.0,0.0,0.0,7191072.0,14160.0,9265536.0,0.0,0.0,0.0,0.0
2438,4720.0,7215264.0,9186912.0,9440.0,2360.0,7197120.0,11800.0,9217152.0,0.0,2360.0,7166880.0,7172928.0,11800.0,9205056.0,2360.0,0.0,0.0,0.0
2439,4720.0,9241344.0,7172928.0,9440.0,4720.0,9235296.0,9440.0,7172928.0,0.0,4720.0,9247392.0,7172928.0,9440.0,9241344.0,4720.0,0.0,0.0,0.0
2440,4720.0,9259488.0,7178976.0,9440.0,4720.0,9265536.0,9440.0,7178976.0,0.0,4720.0,9259488.0,7185024.0,9440.0,9253440.0,4720.0,0.0,0.0,0.0
2441,4720.0,1117240.0,7166880.0,7080.0,2360.0,1135384.0,9440.0,7172928.0,0.0,2360.0,1159576.0,7160832.0,9440.0,1189816.0,2360.0,0.0,0.0,0.0
2442,4720.0,0.0,7191072.0,4720.0,0.0,0.0,9440.0,7185024.0,0.0,0.0,0.0,7191072.0,9440.0,0.0,0.0,0.0,0.0,0.0
2443,4720.0,0.0,3085648.0,4720.0,0.0,0.0,9440.0,3103792.0,0.0,0.0,0.0,3121936.0,9440.0,0.0,0.0,0.0,0.0,0.0
2444,0.0,0.0,12096.0,2360.0,0.0,0.0,2360.0,12096.0,0.0,0.0,0.0,12096.0,2360.0,0.0,0.0,0.0,0.0,0.0
2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2450,0.0,0.0,14160.0,459648.0,0.0,0.0,465696.0,14160.0,0.0,0.0,0.0,14160.0,471744.0,0.0,0.0,0.0,0.0,0.0
2451,0.0,0.0,4720.0,2050272.0,0.0,0.0,2044224.0,4720.0,0.0,0.0,0.0,4720.0,2044224.0,0.0,0.0,0.0,0.0,0.0
2452,0.0,0.0,4720.0,2044224.0,0.0,0.0,2050272.0,4720.0,0.0,0.0,0.0,4720.0,2050272.0,0.0,0.0,0.0,0.0,0.0
2453,0.0,0.0,4720.0,2044224.0,0.0,0.0,2044224.0,4720.0,0.0,0.0,0.0,4720.0,2044224.0,0.0,0.0,0.0,0.0,0.0
2454,1191456.0,0.0,18880.0,2050272.0,0.0,0.0,3253824.0,18880.0,0.0,0.0,0.0,18880.0,3265920.0,0.0,0.0,0.0,0.0,0.0
2455,5134752.0,0.0,9440.0,2050272.0,0.0,0.0,7178976.0,9440.0,0.0,0.0,0.0,9440.0,7178976.0,0.0,0.0,0.0,0.0,0.0
2456,5134752.0,0.0,9440.0,2044224.0,0.0,0.0,7185024.0,9440.0,0.0,0.0,0.0,9440.0,7191072.0,0.0,0.0,0.0,0.0,0.0
2457,5146848.0,0.0,23600.0,4227552.0,0.0,0.0,9386496.0,23600.0,0.0,0.0,0.0,9440.0,9410688.0,14160.0,0.0,0.0,0.0,0.0
2458,5134752.0,0.0,14160.0,11291616.0,0.0,0.0,16444512.0,14160.0,0.0,0.0,0.0,9440.0,16438464.0,4720.0,0.0,0.0,0.0,0.0
2459,5140800.0,4720.0,9440.0,11279520.0,7185024.0,4720.0,9241344.0,9440.0,0.0,7209216.0,4720.0,9440.0,9217152.0,4720.0,7233408.0,0.0,0.0,0.0
2460,5140800.0,4720.0,9440.0,11303712.0,9241344.0,4720.0,7185024.0,9440.0,0.0,9247392.0,4720.0,9440.0,7185024.0,4720.0,9247392.0,0.0,0.0,0.0
2461,5128704.0,4720.0,9440.0,11291616.0,9253440.0,4720.0,7172928.0,9440.0,0.0,9247392.0,4720.0,9440.0,7172928.0,4720.0,9241344.0,0.0,0.0,0.0
2462,5128704.0,2360.0,9440.0,4050520.0,1982104.0,2360.0,7172928.0,9440.0,0.0,1957912.0,2360.0,9440.0,7178976.0,2360.0,1939768.0,0.0,0.0,0.0
2463,5128704.0,0.0,9440.0,2044224.0,0.0,0.0,7172928.0,9440.0,0.0,0.0,0.0,9440.0,7172928.0,0.0,0.0,0.0,0.0,0.0
2464,1985472.0,0.0,9440.0,1735216.0,0.0,0.0,3702544.0,9440.0,0.0,0.0,0.0,9440.0,3678352.0,0.0,0.0,0.0,0.0,0.0
2465,0.0,0.0,2360.0,18144.0,0.0,0.0,18144.0,2360.0,0.0,0.0,0.0,2360.0,18144.0,0.0,0.0,0.0,0.0,0.0
2466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2471,0.0,0.0,290304.0,14160.0,0.0,0.0,14160.0,284256.0,0.0,0.0,0.0,278208.0,14160.0,0.0,0.0,0.0,0.0,0.0
2472,0.0,0.0,2044224.0,4720.0,0.0,0.0,4720.0,2044224.0,0.0,0.0,0.0,2044224.0,4720.0,0.0,0.0,0.0,0.0,0.0
2473,0.0,0.0,2044224.0,4720.0,0.0,0.0,4720.0,2044224.0,0.0,0.0,0.0,2044224.0,4720.0,0.0,0.0,0.0,0.0,0.0
2474,0.0,0.0,2044224.0,4720.0,0.0,0.0,4720.0,2050272.0,0.0,0.0,0.0,2050272.0,4720.0,0.0,0.0,0.0,0.0,0.0
2475,14160.0,0.0,2818368.0,4720.0,0.0,0.0,18880.0,2794176.0,0.0,0.0,0.0,2782080.0,18880.0,0.0,0.0,0.0,0.0,0.0
2476,4720.0,0.0,7172928.0,4720.0,0.0,0.0,9440.0,7178976.0,0.0,0.0,0.0,7185024.0,9440.0,0.0,0.0,0.0,0.0,0.0
2477,4720.0,0.0,7408800.0,4720.0,0.0,0.0,9440.0,7408800.0,0.0,0.0,0.0,7408800.0,9440.0,0.0,0.0,0.0,0.0,0.0
2478,4720.0,0.0,8346240.0,18880.0,0.0,0.0,23600.0,8322048.0,0.0,0.0,0.0,6967296.0,23600.0,1330560.0,0.0,0.0,0.0,0.0
2479,4720.0,0.0,16438464.0,9440.0,0.0,0.0,14160.0,16438464.0,0.0,0.0,0.0,7185024.0,14160.0,9253440.0,0.0,0.0,0.0,0.0
2480,4720.0,7233408.0,9199008.0,9440.0,4720.0,7209216.0,9440.0,9223200.0,0.0,4720.0,7185024.0,7178976.0,9440.0,9229248.0,4720.0,0.0,0.0,0.0
2481,4720.0,9247392.0,7172928.0,9440.0,4720.0,9247392.0,9440.0,7178976.0,0.0,4720.0,9253440.0,7178976.0,9440.0,9247392.0,4720.0,0.0,0.0,0.0
2482,4720.0,9259488.0,7185024.0,9440.0,4720.0,9259488.0,9440.0,7185024.0,0.0,4720.0,9253440.0,7185024.0,9440.0,9259488.0,4720.0,0.0,0.0,0.0
2483,4720.0,2768344.0,7166880.0,7080.0,2360.0,2792536.0,9440.0,7160832.0,0.0,2360.0,2816728.0,7154784.0,9440.0,2834872.0,2360.0,0.0,0.0,0.0
2484,4720.0,0.0,7178976.0,4720.0,0.0,0.0,9440.0,7178976.0,0.0,0.0,0.0,7178976.0,9440.0,0.0,0.0,0.0,0.0,0.0
2485,4720.0,0.0,4337584.0,4720.0,0.0,0.0,9440.0,4355728.0,0.0,0.0,0.0,4379920.0,9440.0,0.0,0.0,0.0,0.0,0.0
2486,0.0,0.0,24192.0,2360.0,0.0,0.0,2360.0,24192.0,0.0,0.0,0.0,24192.0,2360.0,0.0,0.0,0.0,0.0,0.0
2487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2493,0.0,0.0,235872.0,14160.0,0.0,0.0,14160.0,223776.0,0.0,0.0,0.0,217728.0,14160.0,0.0,0.0,0.0,0.0,0.0
2494,0.0,0.0,4106592.0,4720.0,0.0,0.0,4720.0,4112640.0,0.0,0.0,0.0,4106592.0,4720.0,0.0,0.0,0.0,0.0,0.0
2495,14160.0,0.0,4402944.0,4720.0,0.0,0.0,18880.0,4390848.0,0.0,0.0,0.0,4106592.0,18880.0,272160.0,0.0,0.0,0.0,0.0
2496,4720.0,0.0,9235296.0,4720.0,0.0,0.0,9440.0,9241344.0,0.0,0.0,0.0,4106592.0,9440.0,5140800.0,0.0,0.0,0.0,0.0
2497,4720.0,0.0,9259488.0,4720.0,0.0,0.0,9440.0,9247392.0,0.0,0.0,0.0,4106592.0,9440.0,5134752.0,0.0,0.0,0.0,0.0
2498,4720.0,0.0,10928736.0,21240.0,0.0,0.0,25960.0,10928736.0,0.0,0.0,0.0,4100544.0,25960.0,6822144.0,0.0,0.0,0.0,0.0
2499,4720.0,0.0,12386304.0,9440.0,0.0,0.0,14160.0,12380256.0,0.0,0.0,0.0,4130784.0,14160.0,8249472.0,0.0,0.0,0.0,0.0
2500,4720.0,0.0,12265344.0,9440.0,0.0,0.0,14160.0,12265344.0,0.0,0.0,0.0,4088448.0,14160.0,8182944.0,0.0,0.0,0.0,0.0
2501,18880.0,0.0,12591936.0,9440.0,0.0,0.0,28320.0,12579840.0,0.0,0.0,0.0,4348512.0,28320.0,8213184.0,0.0,0.0,0.0,0.0
2502,9440.0,0.0,15905160.0,9440.0,0.0,0.0,18880.0,15917256.0,0.0,0.0,0.0,9301824.0,18880.0,6621480.0,0.0,0.0,0.0,0.0
2503,9440.0,3973536.0,10299744.0,4720.0,4720.0,3967488.0,9440.0,10317888.0,0.0,4720.0,3955392.0,9186912.0,9440.0,5092416.0,4720.0,0.0,0.0,0.0
2504,9440.0,5140800.0,9253440.0,4720.0,4720.0,5134752.0,9440.0,9241344.0,0.0,4720.0,5134752.0,9235296.0,9440.0,5134752.0,4720.0,0.0,0.0,0.0
2505,7080.0,2868480.0,4774288.0,4720.0,4720.0,2880576.0,7080.0,4798480.0,0.0,4720.0,2892672.0,4822672.0,7080.0,2904768.0,4720.0,0.0,0.0,0.0
2506,0.0,0.0,24192.0,2360.0,0.0,0.0,2360.0,24192.0,0.0,0.0,0.0,24192.0,2360.0,0.0,0.0,0.0,0.0,0.0
2507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6048.0,0.0,0.0,0.0,0.0,0.0
2514,0.0,0.0,16520.0,3949344.0,0.0,0.0,3955392.0,16520.0,0.0,0.0,0.0,16520.0,3961440.0,0.0,0.0,0.0,0.0,0.0
2515,0.0,0.0,4720.0,4106592.0,0.0,0.0,4106592.0,4720.0,0.0,0.0,0.0,4720.0,4106592.0,0.0,0.0,0.0,0.0,0.0
2516,4941216.0,0.0,21240.0,4106592.0,0.0,0.0,9065952.0,21240.0,0.0,0.0,0.0,4720.0,9078048.0,16520.0,0.0,0.0,0.0,0.0
2517,5134752.0,0.0,9440.0,4106592.0,0.0,0.0,9241344.0,9440.0,0.0,0.0,0.0,4720.0,9241344.0,4720.0,0.0,0.0,0.0,0.0
2518,5128704.0,0.0,23600.0,5503680.0,0.0,0.0,10644480.0,23600.0,0.0,0.0,0.0,4720.0,10650528.0,18880.0,0.0,0.0,0.0,0.0
2519,5140800.0,0.0,14160.0,7191072.0,0.0,0.0,12325824.0,14160.0,0.0,0.0,0.0,4720.0,12337920.0,9440.0,0.0,0.0,0.0,0.0
2520,5140800.0,0.0,14160.0,7191072.0,0.0,0.0,12343968.0,14160.0,0.0,0.0,0.0,4720.0,12331872.0,9440.0,0.0,0.0,0.0,0.0
2521,5128704.0,0.0,14160.0,7166880.0,0.0,0.0,12283488.0,14160.0,0.0,0.0,0.0,4720.0,12283488.0,9440.0,0.0,0.0,0.0,0.0
