,1_port1,1_port2,1_port3,1_port4,1_port5,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port1,5_port2,5_port3,5_port4,5_port5
0,10952.0,10712.0,11432.0,11152.0,11432.0,10952,10952,10952,10952,10952,10952,10952,10952,11312,11312,11312
1,480.0,720.0,720.0,720.0,720.0,480,480,480,480,480,480,480,480,480,480,480
2,720.0,480.0,760.0,480.0,480.0,760,480,720,480,720,480,720,480,480,760,760
3,760.0,760.0,480.0,760.0,760.0,480,760,760,1000,760,1000,760,760,760,480,480
4,980.0,980.0,980.0,980.0,980.0,1220,1220,980,980,980,980,980,980,1220,980,1220
5,480.0,480.0,480.0,480.0,480.0,480,480,480,480,480,480,480,480,480,480,480
6,480.0,480.0,720.0,480.0,480.0,480,480,480,480,480,480,480,720,480,720,480
7,720.0,720.0,480.0,720.0,720.0,480,480,480,480,480,480,480,480,480,480,480
8,480.0,480.0,480.0,480.0,480.0,480,480,720,480,720,480,720,480,480,480,480
9,480.0,480.0,480.0,480.0,480.0,720,720,480,720,480,720,480,480,480,480,760
10,480.0,480.0,760.0,760.0,480.0,760,480,480,480,480,480,480,720,720,760,720
11,480.0,1000.0,720.0,480.0,720.0,480,480,480,480,480,480,480,760,480,720,480
12,1500.0,980.0,980.0,1220.0,1260.0,980,1260,1220,980,980,1260,1260,980,980,980,980
13,480.0,480.0,480.0,480.0,480.0,480,480,760,760,1000,720,720,480,760,480,480
14,480.0,480.0,480.0,480.0,480.0,720,720,480,720,480,480,480,480,720,480,480
15,480.0,480.0,480.0,480.0,480.0,480,480,480,480,480,480,480,720,480,720,720
16,480.0,720.0,720.0,480.0,720.0,480,480,480,480,480,480,480,480,480,480,480
17,720.0,480.0,480.0,720.0,480.0,480,480,720,480,480,480,720,480,480,480,480
18,480.0,480.0,480.0,480.0,480.0,480,480,480,720,720,720,480,480,480,480,480
19,480.0,480.0,480.0,480.0,480.0,720,720,480,480,480,480,480,480,720,480,480
20,480.0,480.0,720.0,480.0,480.0,480,480,480,480,480,480,480,720,480,720,720
21,480.0,720.0,480.0,720.0,720.0,480,480,480,480,480,480,480,480,480,480,480
22,720.0,480.0,480.0,480.0,480.0,480,480,720,480,720,480,720,480,480,480,480
23,480.0,480.0,480.0,480.0,480.0,480,720,480,720,480,720,480,480,480,480,480
24,480.0,480.0,760.0,480.0,480.0,720,480,480,480,480,480,480,720,720,480,720
25,480.0,720.0,720.0,480.0,480.0,480,480,480,480,480,480,480,480,480,720,760
26,720.0,760.0,480.0,1000.0,720.0,480,480,720,480,480,480,480,480,480,760,480
27,480.0,480.0,480.0,480.0,480.0,760,480,480,480,720,720,720,760,480,480,480
28,980.0,980.0,980.0,980.0,1260.0,1220,1500,980,1220,980,980,980,980,1220,980,980
29,760.0,480.0,480.0,480.0,480.0,480,480,480,480,480,760,760,720,480,720,720
30,480.0,720.0,720.0,720.0,720.0,480,480,760,480,760,480,480,480,480,480,480
31,720.0,480.0,480.0,480.0,480.0,480,480,720,760,480,480,720,480,760,480,480
32,480.0,480.0,480.0,480.0,480.0,480,480,480,720,720,720,480,480,480,480,480
33,480.0,480.0,480.0,480.0,480.0,720,720,480,480,480,480,480,480,720,480,480
34,480.0,480.0,480.0,480.0,480.0,480,480,480,480,480,480,480,720,480,720,720
35,480.0,720.0,720.0,720.0,720.0,480,480,480,480,480,480,480,480,480,480,480
36,720.0,480.0,480.0,480.0,480.0,480,480,720,480,480,480,720,480,480,480,480
37,480.0,480.0,480.0,480.0,480.0,480,720,480,720,720,720,480,480,480,480,480
38,480.0,480.0,480.0,480.0,480.0,720,480,480,480,480,480,480,480,720,480,720
39,480.0,720.0,720.0,480.0,480.0,480,480,480,480,480,480,480,720,480,720,480
40,720.0,480.0,480.0,720.0,720.0,480,480,480,480,480,480,480,480,480,480,480
41,480.0,480.0,480.0,480.0,480.0,480,480,720,480,720,720,720,480,480,480,480
