,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port4,5_port1,5_port2,5_port3
40,841392.0,480.0,1367328.0,1028640.0,480.0,480.0,1881408.0,1373376.0,480.0,480.0,1373376.0,1869312.0,720.0,720.0
41,847200.0,480.0,1373376.0,1028640.0,480.0,480.0,1869312.0,1373376.0,720.0,720.0,1367568.0,1869552.0,480.0,480.0
42,841152.0,720.0,1367328.0,1034688.0,480.0,480.0,1869552.0,1367568.0,480.0,480.0,1373376.0,1875360.0,480.0,480.0
43,853248.0,480.0,702736.0,1028880.0,720.0,720.0,1881408.0,702736.0,480.0,480.0,696688.0,1881408.0,480.0,480.0
44,841392.0,480.0,635760.0,1028640.0,480.0,480.0,1869312.0,629472.0,480.0,480.0,635520.0,1875360.0,480.0,720.0
45,841152.0,480.0,629472.0,1028640.0,480.0,480.0,1875360.0,635520.0,480.0,480.0,629712.0,1869552.0,720.0,480.0
46,841152.0,720.0,635520.0,299120.0,480.0,480.0,1140032.0,635520.0,720.0,720.0,635520.0,1133744.0,480.0,6528.0
47,847200.0,480.0,635520.0,480.0,480.0,720.0,841152.0,635760.0,480.0,480.0,629472.0,841152.0,480.0,480.0
48,841152.0,480.0,629712.0,720.0,720.0,480.0,841152.0,629472.0,480.0,480.0,635520.0,847200.0,480.0,480.0
49,841392.0,480.0,635520.0,480.0,480.0,480.0,847200.0,635520.0,480.0,480.0,629472.0,841152.0,720.0,720.0
50,847200.0,480.0,629472.0,480.0,480.0,480.0,841152.0,629472.0,720.0,720.0,635760.0,847440.0,480.0,480.0
51,847200.0,720.0,635520.0,480.0,480.0,480.0,847440.0,635760.0,480.0,480.0,635520.0,841152.0,480.0,480.0
52,841152.0,480.0,635800.0,720.0,720.0,720.0,841152.0,629472.0,480.0,480.0,629472.0,847200.0,480.0,480.0
53,841392.0,480.0,629712.0,480.0,480.0,480.0,847200.0,635520.0,480.0,480.0,635520.0,841152.0,480.0,720.0
54,847200.0,760.0,635520.0,480.0,480.0,480.0,841152.0,635800.0,480.0,480.0,629712.0,841392.0,1000.0,480.0
55,841152.0,720.0,629472.0,480.0,480.0,480.0,841152.0,629472.0,720.0,720.0,635520.0,847200.0,480.0,480.0
56,804304.0,480.0,641568.0,480.0,480.0,720.0,804544.0,641808.0,480.0,480.0,635520.0,798256.0,480.0,480.0
57,480.0,480.0,629712.0,720.0,720.0,760.0,480.0,629472.0,480.0,480.0,635520.0,480.0,480.0,480.0
58,720.0,480.0,635520.0,760.0,480.0,480.0,760.0,635520.0,480.0,480.0,629472.0,480.0,720.0,720.0
59,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,629472.0,480.0,720.0,635760.0,720.0,480.0,480.0
60,908.0,1148.0,635948.0,908.0,908.0,908.0,1148.0,636188.0,1148.0,1188.0,635948.0,908.0,908.0,908.0
61,480.0,480.0,635520.0,480.0,720.0,720.0,480.0,629472.0,480.0,480.0,629472.0,480.0,480.0,480.0
62,720.0,480.0,629712.0,720.0,480.0,480.0,480.0,635520.0,760.0,480.0,635800.0,480.0,480.0,480.0
63,480.0,480.0,635520.0,480.0,760.0,480.0,480.0,629472.0,480.0,480.0,629712.0,480.0,720.0,720.0
64,480.0,720.0,629472.0,480.0,480.0,480.0,480.0,635520.0,720.0,720.0,635520.0,720.0,480.0,480.0
65,760.0,480.0,635520.0,480.0,480.0,720.0,720.0,629712.0,480.0,480.0,629472.0,480.0,480.0,480.0
66,480.0,480.0,629712.0,720.0,720.0,480.0,480.0,635520.0,480.0,480.0,629472.0,480.0,480.0,480.0
67,720.0,480.0,635520.0,480.0,480.0,480.0,480.0,629472.0,480.0,480.0,635520.0,480.0,720.0,1000.0
