,1_port_1,1_port_2,1_port_3,1_port_4,1_port_5,2_port_1,2_port_2,2_port_3,2_port_4,2_port_5,3_port_1,3_port_2,3_port_3,3_port_4,3_port_5,4_port_1,4_port_2,4_port_3,4_port_4,4_port_5,5_port_1,5_port_2,5_port_3,5_port_4,5_port_5
0,10904.0,10664.0,11384.0,11024.0,11104.0,10304.0,10664.0,11384.0,11024.0,11104.0,10904.0,10664.0,11384.0,11024.0,11104.0,10904.0,10904.0,11384.0,11024.0,11104.0,10664.0,10664.0,11384.0,10744.0,11024.0
1,480.0,480.0,720.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,720.0,720.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
2,760.0,1000.0,480.0,720.0,720.0,760.0,720.0,480.0,720.0,720.0,760.0,760.0,480.0,720.0,720.0,480.0,480.0,480.0,720.0,720.0,480.0,480.0,760.0,760.0,760.0
3,480.0,480.0,760.0,760.0,760.0,720.0,760.0,760.0,760.0,760.0,480.0,480.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,1000.0,720.0,480.0,720.0
4,1148.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,1148.0,908.0,908.0,908.0,908.0,1148.0,908.0,908.0,1148.0,908.0
5,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,720.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
6,480.0,720.0,720.0,480.0,720.0,480.0,480.0,720.0,480.0,720.0,480.0,480.0,720.0,480.0,720.0,480.0,480.0,720.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0
7,480.0,480.0,480.0,720.0,480.0,720.0,720.0,480.0,720.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,720.0,480.0,480.0
8,480.0,480.0,480.0,480.0,480.0,240.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,240.0,480.0,480.0
9,480.0,480.0,480.0,480.0,1978176.0,1000.0,480.0,480.0,480.0,1978176.0,1984224.0,480.0,480.0,480.0,1978176.0,480.0,480.0,480.0,480.0,1978176.0,1990272.0,480.0,720.0,480.0,760.0
10,760.0,760.0,480.0,480.0,2062848.0,480.0,480.0,480.0,480.0,2062848.0,2063128.0,760.0,480.0,480.0,2062848.0,760.0,760.0,480.0,480.0,2062848.0,2063088.0,720.0,760.0,720.0,720.0
11,720.0,480.0,480.0,1482240.0,2056800.0,480.0,480.0,480.0,1482240.0,2056800.0,3544608.0,480.0,480.0,1482240.0,2056800.0,720.0,720.0,480.0,1482240.0,2056800.0,3550656.0,480.0,480.0,760.0,480.0
12,908.0,908.0,1428.0,3079340.0,2057748.0,908.0,1188.0,1428.0,3079340.0,2057748.0,5141948.0,1148.0,1428.0,3079340.0,2057748.0,908.0,908.0,1428.0,3079340.0,2057748.0,5141988.0,1188.0,908.0,908.0,908.0
13,480.0,720.0,480.0,3091528.0,2056800.0,480.0,720.0,480.0,3091528.0,2056800.0,5141280.0,480.0,480.0,3091528.0,2056800.0,480.0,480.0,480.0,3091528.0,2056800.0,5141280.0,480.0,480.0,480.0,480.0
14,480.0,480.0,2945856.0,3091008.0,2062848.0,720.0,480.0,2945856.0,3091008.0,2062848.0,8104800.0,480.0,2945856.0,3091008.0,2062848.0,480.0,480.0,2945856.0,3091008.0,2062848.0,8116896.0,720.0,720.0,480.0,480.0
15,720.0,480.0,4542528.0,3091008.0,2062848.0,480.0,480.0,4542528.0,3091008.0,2062848.0,9701472.0,480.0,4542528.0,3091008.0,2062848.0,480.0,480.0,4542528.0,3091008.0,2062848.0,9701712.0,480.0,480.0,720.0,720.0
16,480.0,480.0,6175488.0,3091008.0,2056800.0,480.0,480.0,6175488.0,3091008.0,2056800.0,11328624.0,480.0,6175488.0,3091008.0,2056800.0,720.0,720.0,6175488.0,3091008.0,2056800.0,11328384.0,480.0,480.0,480.0,480.0
17,480.0,720.0,6169680.0,3084960.0,2057040.0,480.0,480.0,6169680.0,3084960.0,2057040.0,11310240.0,720.0,6169680.0,3084960.0,2057040.0,480.0,480.0,6169680.0,3084960.0,2057040.0,11310240.0,480.0,480.0,480.0,480.0
18,480.0,480.0,6181536.0,5032656.0,2062848.0,720.0,720.0,6181536.0,5032656.0,2062848.0,13287936.0,480.0,6181536.0,5032656.0,2062848.0,480.0,480.0,6181536.0,5032656.0,2062848.0,13306080.0,480.0,480.0,480.0,480.0
19,480.0,480.0,6181536.0,7221792.0,2062848.0,480.0,480.0,6181536.0,7221792.0,2062848.0,15453120.0,480.0,6181536.0,7221792.0,2062848.0,480.0,480.0,6181536.0,7221792.0,2062848.0,15447312.0,720.0,720.0,480.0,720.0
20,720.0,480.0,6169440.0,7197600.0,2056800.0,480.0,480.0,6169440.0,7197600.0,2056800.0,15428928.0,480.0,6169440.0,7197600.0,2056800.0,720.0,480.0,6169440.0,7197600.0,2056800.0,15422880.0,480.0,480.0,720.0,480.0
21,480.0,480.0,6175488.0,7203648.0,2056800.0,480.0,480.0,6175488.0,7203648.0,2056800.0,15435216.0,720.0,6175488.0,7203648.0,2056800.0,480.0,720.0,6175488.0,7203648.0,2056800.0,15447072.0,480.0,480.0,480.0,480.0
22,480.0,720.0,6175728.0,7209936.0,2057040.0,480.0,480.0,6175728.0,7209936.0,2057040.0,15441024.0,480.0,6175728.0,7209936.0,2057040.0,480.0,480.0,6175728.0,7209936.0,2057040.0,15434976.0,480.0,480.0,480.0,480.0
23,480.0,480.0,6163392.0,7185504.0,2056800.0,720.0,720.0,6163392.0,7185504.0,2056800.0,15380544.0,480.0,6163392.0,7185504.0,2056800.0,480.0,480.0,6163392.0,7185504.0,2056800.0,15380544.0,480.0,720.0,480.0,760.0
24,480.0,480.0,6235968.0,7270176.0,2080992.0,760.0,480.0,6235968.0,7270176.0,2080992.0,15610368.0,760.0,6235968.0,7270176.0,2080992.0,480.0,480.0,6235968.0,7270176.0,2080992.0,15610608.0,720.0,480.0,480.0,720.0
25,720.0,480.0,6121056.0,7149216.0,2038656.0,480.0,480.0,6121056.0,7149216.0,2038656.0,15314296.0,480.0,6121056.0,7149216.0,2038656.0,720.0,480.0,6121056.0,7149216.0,2038656.0,15307968.0,480.0,760.0,720.0,480.0
26,760.0,760.0,6163632.0,7185504.0,2056800.0,480.0,480.0,6163632.0,7185504.0,2056800.0,15411024.0,720.0,6163632.0,7185504.0,2056800.0,760.0,720.0,6163632.0,7185504.0,2056800.0,15404736.0,480.0,480.0,480.0,480.0
27,480.0,720.0,6181536.0,7209936.0,2057040.0,480.0,480.0,6181536.0,7209936.0,2057040.0,15441024.0,480.0,6181536.0,7209936.0,2057040.0,480.0,760.0,6181536.0,7209936.0,2057040.0,15447072.0,480.0,480.0,480.0,480.0
28,908.0,908.0,6181964.0,7216172.0,2063276.0,1148.0,1428.0,6181964.0,7216172.0,2063276.0,15459596.0,908.0,6181964.0,7216172.0,2063276.0,908.0,908.0,6181964.0,7216172.0,2063276.0,15465644.0,1428.0,1148.0,1188.0,908.0
29,480.0,480.0,6175768.0,7209696.0,2057080.0,480.0,480.0,6175768.0,7209696.0,2057080.0,15434976.0,480.0,6175768.0,7209696.0,2057080.0,480.0,480.0,6175768.0,7209696.0,2057080.0,15435496.0,480.0,480.0,720.0,720.0
30,480.0,6528.0,3129024.0,7185504.0,2056800.0,480.0,480.0,3129024.0,7185504.0,2056800.0,12358272.0,6528.0,3129024.0,7185504.0,2056800.0,480.0,480.0,3129024.0,7185504.0,2056800.0,12364320.0,480.0,480.0,6528.0,480.0
31,720.0,480.0,3078912.0,7179736.0,2050752.0,480.0,480.0,3078912.0,7179736.0,2050752.0,12326304.0,480.0,3078912.0,7179736.0,2050752.0,720.0,720.0,3078912.0,7179736.0,2050752.0,12314208.0,480.0,480.0,480.0,480.0
32,480.0,6528.0,3097296.0,5267168.0,2068896.0,480.0,480.0,3097296.0,5267168.0,2068896.0,10414256.0,6768.0,3097296.0,5267168.0,2068896.0,480.0,480.0,3097296.0,5267168.0,2068896.0,10401920.0,480.0,480.0,6528.0,480.0
33,480.0,720.0,3091008.0,3091248.0,2057040.0,480.0,720.0,3091008.0,3091248.0,2057040.0,8231808.0,480.0,3091008.0,3091248.0,2057040.0,480.0,480.0,3091008.0,3091248.0,2057040.0,8231808.0,480.0,480.0,480.0,480.0
34,480.0,480.0,3091008.0,3091008.0,2062848.0,720.0,480.0,3091008.0,3091008.0,2062848.0,8243904.0,480.0,3091008.0,3091008.0,2062848.0,480.0,480.0,3091008.0,3091008.0,2062848.0,8237856.0,720.0,720.0,480.0,720.0
35,720.0,6528.0,3084960.0,1554216.0,2056800.0,480.0,480.0,3084960.0,1554216.0,2056800.0,6682920.0,6528.0,3084960.0,1554216.0,2056800.0,480.0,480.0,3084960.0,1554216.0,2056800.0,6683160.0,480.0,480.0,6768.0,480.0
36,480.0,480.0,3084960.0,480.0,2056800.0,480.0,480.0,3084960.0,480.0,2056800.0,5147568.0,480.0,3084960.0,480.0,2056800.0,720.0,720.0,3084960.0,480.0,2056800.0,5153376.0,480.0,480.0,480.0,480.0
37,480.0,720.0,3097296.0,480.0,2063088.0,480.0,480.0,3097296.0,480.0,2063088.0,5159424.0,720.0,3097296.0,480.0,2063088.0,480.0,480.0,3097296.0,480.0,2063088.0,5153376.0,480.0,480.0,480.0,480.0
38,480.0,480.0,3078912.0,720.0,2050752.0,720.0,720.0,3078912.0,720.0,2050752.0,5129184.0,480.0,3078912.0,720.0,2050752.0,480.0,480.0,3078912.0,720.0,2050752.0,5129184.0,480.0,720.0,480.0,480.0
