port1,port2,port3
6984.0,6984.0,7144.0
605.3333333333334,605.3333333333334,445.3333333333333
320.0,320.0,320.0
792.0,792.0,792.0
320.0,320.0,320.0
320.0,516416.0,320.0
160.0,976064.0,320.0
320.0,976064.0,320.0
792.0,7266456.0,792.0
320.0,9467296.0,320.0
320.0,8246565.333333333,306752.0
320.0,980096.0,653344.0
320.0,984128.0,657536.0
320.0,980096.0,653504.0
234176.0,980096.0,653504.0
875264.0,984128.0,653504.0
871072.0,976064.0,653504.0
871232.0,980096.0,1028480.0
871232.0,984128.0,1198010.6666666667
940061.3333333334,1548920.0,1198109.3333333333
1528634.6666666667,1746176.0,1201856.0
1544576.0,1770368.0,1213952.0
1528448.0,1883264.0,1205728.0
1528448.0,2395328.0,1197824.0
793904.0,2403392.0,1201856.0
653504.0,2407424.0,1205888.0
657536.0,2403392.0,1201856.0
653344.0,2399360.0,1201856.0
657536.0,2407424.0,1201856.0
657536.0,2420896.0,2169536.0
661568.0,2423392.0,8753792.0
657536.0,2411456.0,8693312.0
657536.0,2407424.0,8685248.0
1613120.0,1737018.6666666667,8870560.0
1645376.0,1427648.0,8709440.0
1641344.0,1467968.0,8701376.0
1645376.0,2080832.0,8705408.0
1645376.0,2084864.0,8705408.0
1806496.0,2080832.0,8701376.0
2548829.333333333,2113373.333333333,8810712.0
2524352.0,2088896.0,7307056.0
2520320.0,2080672.0,1205888.0
2524352.0,2089082.6666666667,844533.3333333334
2774336.0,2080832.0,657536.0
3173690.6666666665,2088896.0,661408.0
3189632.0,2084864.0,1637312.0
3185600.0,2092928.0,8181248.0
3209792.0,2096960.0,9064256.0
3193664.0,2092928.0,9177152.0
3290272.0,2157440.0,9467456.0
3242048.0,2975936.0,9193280.0
3963776.0,2971904.0,3911792.0
3955712.0,2963680.0,1649408.0
3967808.0,2971904.0,2451776.0
3959744.0,2975936.0,2645312.0
3959744.0,2963840.0,2633056.0
4008128.0,17113653.333333332,2681600.0
4056512.0,2891264.0,2701760.0
4395200.0,2318720.0,1819210.6666666667
4991936.0,2330816.0,1661504.0
4419850.666666667,2326784.0,1665536.0
4298272.0,2306624.0,1649408.0
4294400.0,2314688.0,1653440.0
4049253.3333333335,2342912.0,1669568.0
3415424.0,2314688.0,863626.6666666666
2754634.6666666665,1884629.3333333333,661568.0
2653376.0,1746176.0,665600.0
2641280.0,2092928.0,661408.0
2645312.0,2096960.0,661568.0
8121226.666666667,2096960.0,661568.0
8286080.0,2137280.0,673664.0
8132864.0,2100992.0,665600.0
8124640.0,1799024.0,585392.0
8124800.0,1322816.0,320.0
9467888.0,1208133.3333333333,320.0
14289728.0,665600.0,320.0
14305856.0,665440.0,320.0
15225152.0,665600.0,705920.0
9891621.333333334,665600.0,1085114.6666666667
8677184.0,1068800.0,1076704.0
8697629.333333334,1218269.3333333333,1081181.3333333333
8689280.0,1213952.0,1080896.0
8121200.0,1363136.0,4717760.0
7364997.333333333,1774400.0,7584512.0
7285984.0,1766954.6666666667,4666869.333333333
7588090.666666667,1113152.0,1088960.0
1217984.0,1105088.0,1080896.0
1217984.0,1105088.0,1080896.0
1222016.0,1113152.0,1084928.0
1213952.0,1104928.0,1080896.0
1217984.0,1109120.0,22005.33333333333
1431680.0,1113152.0,320.0
1766336.0,1105088.0,160.0
1794560.0,1121216.0,320.0
1655152.0,1137344.0,4352.0
2092928.0,1105088.0,320.0
2258240.0,2209856.0,320.0
2234048.0,2242112.0,320.0
2245984.0,2246144.0,320.0
2246144.0,2238080.0,488192.0
2201792.0,4866944.0,556736.0
2238080.0,11072192.0,1028480.0
2225984.0,11019776.0,1234112.0
2201792.0,10898656.0,1226048.0
2246144.0,11660864.0,1250240.0
2262272.0,13407178.666666666,1266368.0
2250176.0,12322112.0,1250240.0
1723509.3333333333,12972789.333333334,1270240.0
1137344.0,13568000.0,1246208.0
784053.3333333334,14145328.0,837189.3333333334
568832.0,5391104.0,568832.0
1209920.0,5274176.0,556736.0
1480064.0,5407232.0,568832.0
1483936.0,5403200.0,568832.0
1443776.0,4581477.333333333,560768.0
1484096.0,3189632.0,568832.0
1520384.0,3278336.0,584960.0
1447808.0,3967808.0,556736.0
1496192.0,4266016.0,576896.0
1455872.0,14914688.0,560768.0
886640.0,4822592.0,580928.0
572864.0,4237952.0,572864.0
556736.0,4129088.0,1165568.0
576896.0,4221824.0,876629.3333333334
580928.0,4306496.0,701888.0
568832.0,4193600.0,677696.0
2326784.0,4197632.0,681728.0
7217600.0,4176378.6666666665,681728.0
11926976.0,3617024.0,903488.0
14160704.0,3713792.0,1419584.0
9098842.666666666,3661376.0,2060672.0
6705376.0,3661376.0,2056640.0
6552320.0,2940453.333333333,2008256.0
6536192.0,2677568.0,2008256.0
6697472.0,2742080.0,2060672.0
6693440.0,2742080.0,2060672.0
6681344.0,2733856.0,2048576.0
6693440.0,2742080.0,9640832.0
6681344.0,2738048.0,11384181.333333334
533296.0,2729984.0,4261984.0
2391296.0,2726757.333333333,4322624.0
6701504.0,2056640.0,4294400.0
15850112.0,2064704.0,4306496.0
7604672.0,2117120.0,4056970.6666666665
6544256.0,2012288.0,3407360.0
7721600.0,2100992.0,3568640.0
7443392.0,2012288.0,3411392.0
7604672.0,1109552.0,3483968.0
6437077.333333333,1008320.0,4310528.0
895424.0,1012352.0,4051386.6666666665
911552.0,1020416.0,2161472.0
891392.0,1125248.0,2117120.0
895424.0,1560544.0,1965429.3333333333
895424.0,1568768.0,2213888.0
891392.0,1560704.0,2568704.0
895424.0,1564736.0,2564858.6666666665
899456.0,1572800.0,2584672.0
1484096.0,992624.0,2568704.0
1560704.0,556736.0,2576768.0
1565021.3333333333,561053.3333333334,2564672.0
1576832.0,564800.0,2593181.333333333
1564736.0,709952.0,2568704.0
1568768.0,1564736.0,2208762.6666666665
1580704.0,1580864.0,1919552.0
1564736.0,1560704.0,1145866.6666666667
1568768.0,1568768.0,1193792.0
1564736.0,1564922.6666666667,1677632.0
1596992.0,1596992.0,1713920.0
1572800.0,1572640.0,10410944.0
1572800.0,2266304.0,17015360.0
1621184.0,2754176.0,17583872.0
1625216.0,2201792.0,3710192.0
1576832.0,2113088.0,7853674.666666667
1584896.0,2125184.0,11951168.0
1588928.0,2129216.0,12067936.0
1019322.6666666666,2105024.0,12834176.0
669632.0,2105024.0,3839216.0
